Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Tim Federowicz\federti01,7,0,6,6,2,2,0,0,1,2,0,0,0,0,.333,.333,.833,1.167,5,1,0,0,0,0,0,.200,137,205
2,Joe Panik\panikjo01,73,71,313,278,36,89,16,2,10,36,3,1,25,30,.320,.378,.500,.878,139,4,4,1,5,2,2,.325,128,139
3,Brandon Belt\beltbr01,54,50,231,195,31,50,14,2,10,33,2,1,34,59,.256,.368,.503,.871,98,0,1,0,1,2,2,.315,111,137
4,Buster Posey\poseybu01,71,70,302,265,32,79,16,0,9,28,3,1,31,38,.298,.381,.460,.841,122,12,5,0,1,6,3,.320,95,131
5,Madison Bumgarner\bumgama01,7,7,19,18,2,4,0,0,2,3,0,0,1,3,.222,.263,.556,.819,10,1,0,0,0,0,1,.154,123,117
6,Denard Span\spande01,60,54,253,233,36,68,15,3,6,21,6,2,19,34,.292,.348,.459,.807,107,4,1,0,0,0,1,.321,113,120
7,Eduardo Nunez\nunezed02,39,39,165,156,21,49,12,0,3,13,9,2,7,17,.314,.341,.449,.790,70,4,0,1,1,0,2,.336,98,115
8,Nick Hundley\hundlni01,48,35,154,147,17,40,16,0,5,18,0,0,6,37,.272,.299,.483,.782,71,4,0,0,1,1,5,.330,126,110
9,Carlos Moncrief\moncrca01,13,2,18,16,2,5,1,0,0,2,0,0,2,4,.313,.389,.375,.764,6,0,0,0,0,0,0,.417,210,113
10,Mac Williamson\willima11,16,12,46,42,6,10,0,0,3,5,1,1,4,13,.238,.304,.452,.757,19,2,0,0,0,1,2,.269,119,105
11,Gorkys Hernandez\hernago01,62,44,190,167,21,45,12,1,0,13,8,3,19,38,.269,.349,.353,.702,59,4,2,1,1,2,1,.346,115,95
12,Hunter Pence\pencehu01,69,63,284,260,23,63,3,2,9,38,0,2,22,56,.242,.303,.373,.676,97,8,1,0,1,0,1,.276,93,85
13,Brandon Crawford\crawfbr01,71,68,292,270,28,63,15,0,8,31,1,3,19,57,.233,.281,.378,.659,102,12,0,0,3,2,4,.264,86,79
14,Austin Slater\slateau01,20,19,80,74,10,17,1,0,3,10,0,0,5,18,.230,.288,.365,.652,27,3,1,0,0,0,0,.264,76,79
15,Justin Ruggiano\ruggiju01,10,5,27,24,1,5,1,0,1,3,0,0,1,6,.208,.259,.375,.634,9,0,1,0,1,0,1,.222,121,72
16,Kelby Tomlinson\tomlike01,46,19,105,90,16,22,2,1,0,4,2,0,12,22,.244,.327,.289,.616,26,3,0,1,2,1,1,.314,91,73
17,Ryder Jones\jonesry01,22,16,65,59,5,12,4,0,1,1,1,0,5,22,.203,.277,.322,.599,19,0,1,0,0,1,0,.306,132,65
18,Christian Arroyo\arroych01,17,16,67,62,6,13,4,0,1,9,0,0,5,17,.210,.269,.323,.591,20,1,0,0,0,1,0,.273,117,62
19,Aaron Hill\hillaa01,20,8,43,36,3,5,2,0,1,6,0,0,7,6,.139,.279,.278,.557,10,2,0,0,0,0,0,.138,130,55
