Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Curt Casali\casalcu01,6,2,10,6,2,2,0,0,1,3,0,0,3,3,.333,.500,.833,1.333,5,0,0,0,1,0,0,.333,133,241
2,Colby Rasmus\rasmuco01,20,16,71,66,12,18,2,1,6,16,0,0,5,25,.273,.324,.606,.930,40,1,0,0,0,2,0,.343,107,136
3,Kevin Kiermaier\kiermke01,50,49,212,191,29,57,7,2,8,24,13,5,16,46,.298,.362,.482,.844,92,1,3,2,0,1,1,.358,114,119
4,Evan Longoria\longoev01,78,78,334,304,38,90,20,1,10,48,5,1,23,49,.296,.347,.467,.814,142,7,3,0,4,2,2,.321,121,111
5,Corey Dickerson\dickeco01,73,66,297,272,41,72,15,1,14,32,1,1,20,80,.265,.318,.482,.799,131,5,2,0,2,5,2,.322,96,106
6,Steven Souza Jr.\souzast01,75,72,303,248,36,54,7,2,14,36,8,2,50,90,.218,.358,.431,.789,107,4,4,1,0,1,4,.278,96,106
7,Peter Bourjos\bourjpe01,49,22,94,85,13,24,6,1,2,9,3,2,7,20,.282,.333,.447,.780,38,1,0,1,1,0,2,.344,139,102
8,Mallex Smith\smithma05,42,37,145,127,17,38,3,2,2,9,11,1,16,26,.299,.375,.402,.777,51,1,0,1,1,0,4,.360,127,105
9,Wilson Ramos\ramoswi01,31,27,100,97,6,29,5,0,3,12,0,0,2,17,.299,.310,.443,.753,43,6,0,0,1,1,0,.333,106,95
10,Logan Morrison\morrilo01,73,66,287,251,27,55,10,1,11,35,1,0,32,80,.219,.310,.398,.709,100,9,2,0,2,3,1,.272,65,84
11,Taylor Featherston\feathta01,9,6,26,21,3,4,1,0,1,3,1,0,4,12,.190,.308,.381,.689,8,0,0,0,1,0,0,.333,117,80
12,Jesus Sucre\sucreje01,32,26,99,89,14,23,3,0,3,13,2,0,4,16,.258,.296,.393,.689,35,2,2,1,3,0,0,.274,99,79
13,Tim Beckham\beckhti01,41,41,165,154,16,40,2,1,5,17,2,1,9,49,.260,.305,.383,.688,59,3,1,1,0,0,0,.350,77,79
14,Brad Miller\millebr02,56,52,213,174,20,35,5,1,6,21,3,2,36,60,.201,.338,.345,.683,60,3,1,0,2,4,2,.264,106,81
15,Shane Peterson\petersh01,11,10,38,34,7,9,1,0,1,5,1,0,1,9,.265,.297,.382,.680,13,2,1,0,1,0,0,.320,93,77
16,Rickie Weeks\weeksri01,15,11,47,42,7,9,4,0,1,5,1,0,4,19,.214,.298,.381,.679,16,0,1,0,0,0,1,.364,105,77
17,Derek Norris\norride01,26,26,94,84,13,17,1,0,5,13,1,0,7,26,.202,.277,.393,.669,33,2,2,0,1,0,1,.222,111,73
18,Adeiny Hechavarria\hechaad01,36,34,124,116,13,25,3,2,4,9,3,1,6,31,.216,.258,.379,.637,44,1,1,0,1,1,0,.256,83,64
19,Daniel Robertson\roberda10,39,36,132,116,15,22,4,1,4,9,1,1,13,42,.190,.280,.345,.625,40,2,2,0,1,0,1,.254,97,63
20,Cesar Puello\puellce01,8,5,19,16,4,4,0,0,0,0,0,0,2,6,.250,.368,.250,.618,4,1,1,0,0,0,0,.400,141,68
21,Lucas Duda\dudalu01,26,24,99,87,6,12,3,0,4,9,0,0,9,40,.138,.232,.310,.543,27,1,2,0,1,1,0,.182,35,41
22,Trevor Plouffe\plouftr01,24,17,70,59,5,9,1,0,1,3,0,1,10,21,.153,.286,.220,.506,13,2,1,0,0,0,1,.216,74,36
23,Michael Martinez\martimi02,5,3,13,12,0,2,0,0,0,0,0,0,1,4,.167,.231,.167,.397,2,0,0,0,0,0,0,.250,77,8
24,Danny Espinosa\espinda01,3,3,10,10,0,1,0,0,0,0,0,0,0,5,.100,.100,.100,.200,1,0,0,0,0,0,0,.200,-23,-47
25,Tommy Hunter\hunteto02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
,Team Total,829,729,3002,2661,344,651,103,16,106,331,57,18,280,776,.245,.321,.415,.736,1104,54,29,7,23,21,22,.302,100,91
