Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Ryan Zimmerman\zimmery01,69,65,276,249,48,86,17,0,19,54,1,0,23,49,.345,.399,.643,1.041,160,11,1,0,3,0,3,.364,124,167
2,Adam Eaton\eatonad02,10,9,44,38,9,14,5,0,1,5,1,0,5,8,.368,.432,.579,1.011,22,0,0,0,1,0,1,.433,135,162
3,Anthony Rendon\rendoan01,73,70,298,253,48,80,22,1,14,55,5,0,39,40,.316,.413,.577,.990,146,2,4,0,2,2,1,.328,111,156
4,Brian Goodwin\goodwbr01,37,30,141,127,24,38,11,0,9,18,2,0,14,39,.299,.369,.598,.967,76,1,0,0,0,2,1,.367,138,148
5,Bryce Harper\harpebr03,58,57,256,218,43,69,14,0,12,42,2,1,36,47,.317,.410,.546,.956,119,8,0,0,2,6,1,.354,91,148
6,Adam Lind\lindad01,60,31,154,138,21,48,7,0,7,30,1,0,12,18,.348,.390,.551,.940,76,3,0,0,4,3,1,.350,115,143
7,Michael A. Taylor\taylomi02,59,53,217,198,33,62,12,2,11,35,10,5,17,63,.313,.369,.561,.929,111,1,1,0,1,2,2,.408,131,139
8,Howie Kendrick\kendrho01,28,19,89,82,12,26,4,1,4,15,0,1,6,21,.317,.360,.537,.896,44,2,0,0,1,0,1,.379,111,131
9,Adrian Sanchez\sanchad01,21,10,50,46,6,16,6,0,0,9,0,1,1,13,.348,.375,.478,.853,22,2,1,2,0,0,1,.485,161,122
10,Victor Robles\roblevi01,9,3,16,14,2,4,1,1,0,2,0,1,0,2,.286,.333,.500,.833,7,2,1,1,0,0,0,.333,117,115
11,Trea Turner\turnetr01,47,47,218,197,37,59,10,2,6,20,24,3,18,39,.299,.362,.462,.824,91,2,2,0,1,0,4,.346,110,115
12,Daniel Murphy\murphda08,73,66,284,258,39,78,19,0,6,37,1,0,23,38,.302,.363,.446,.808,115,6,2,0,1,7,1,.335,77,111
13,Jayson Werth\werthja01,32,31,130,111,15,27,5,0,6,11,3,2,19,28,.243,.354,.450,.804,50,2,0,0,0,1,0,.273,124,109
14,Ryan Raburn\raburry01,14,5,29,25,3,7,1,1,0,3,0,0,4,12,.280,.379,.400,.779,10,0,0,0,0,0,0,.538,118,106
15,Wilmer Difo\difowi01,67,41,197,181,28,57,6,2,3,10,7,0,12,39,.315,.356,.420,.776,76,4,0,3,1,3,3,.386,125,103
16,Stephen Drew\drewst01,25,10,54,46,7,12,5,0,1,10,0,0,6,10,.261,.333,.435,.768,20,2,0,0,2,0,1,.297,132,100
17,Alejandro De Aza\deazaal01,14,7,36,32,4,8,1,2,0,7,0,0,1,9,.250,.265,.406,.671,13,1,0,2,1,1,0,.333,144,73
18,Matt Wieters\wietema01,63,56,230,207,21,51,6,0,5,30,0,0,20,47,.246,.313,.348,.661,72,5,1,0,2,2,2,.293,110,74
19,Raudy Read\readra01,4,1,7,7,0,2,0,0,0,0,0,0,0,2,.286,.286,.286,.571,2,0,0,0,0,0,1,.400,110,51
20,Chris Heisey\heisech01,18,3,25,23,4,3,1,0,1,3,0,0,2,6,.130,.200,.304,.504,7,1,0,0,0,0,0,.125,106,30
21,Andrew Stevenson\stevean01,23,8,45,38,3,7,1,0,0,1,0,0,5,14,.184,.279,.211,.490,8,0,0,2,0,0,0,.292,121,32
22,Joe Ross\rossjo01,13,9,26,23,0,5,1,0,0,1,0,0,0,12,.217,.217,.261,.478,6,1,0,3,0,0,0,.455,113,25
23,A.J. Cole\coleaj01,7,4,9,7,0,1,0,0,0,0,0,0,2,2,.143,.333,.143,.476,1,0,0,0,0,0,0,.200,133,33
24,Max Scherzer\scherma01,15,15,34,31,1,6,0,0,0,2,0,0,2,10,.194,.242,.194,.436,6,0,0,1,0,0,0,.286,107,17
25,Jose Lobaton\lobatjo01,26,22,80,71,5,9,3,0,1,4,0,0,6,19,.127,.203,.211,.414,15,4,1,1,1,1,2,.154,58,9
26,Rafael Bautista\bautira01,10,2,15,15,2,3,0,0,0,0,0,0,0,2,.200,.200,.200,.400,3,1,0,0,0,0,0,.231,115,6
27,Stephen Strasburg\strasst01,14,14,32,31,3,4,0,0,1,2,0,0,1,8,.129,.156,.226,.382,7,0,0,0,0,0,0,.136,91,-1
28,Pedro Severino\severpe01,12,2,15,15,0,2,1,0,0,2,0,0,0,6,.133,.133,.200,.333,3,0,0,0,0,0,0,.222,56,-14
29,Edwin Jackson\jacksed01,10,7,12,12,2,2,0,0,0,0,0,0,0,9,.167,.167,.167,.333,2,0,0,0,0,0,0,.667,252,-12
30,Tanner Roark\roarkta01,17,15,30,25,0,3,1,0,0,0,0,0,0,10,.120,.120,.160,.280,4,0,0,5,0,0,1,.200,159,-27
31,Gio Gonzalez\gonzagi01,15,15,33,31,1,2,0,0,0,1,0,0,1,14,.065,.094,.065,.158,2,0,0,1,0,0,0,.118,37,-57
32,Erick Fedde\feddeer01,2,2,3,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,1,0,0,0,,,-100
33,Jacob Turner\turneja01,10,0,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
