last_name, first_name,player_id,year,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,
Colon, Bartolo,112526,2016,44.6,31,44.1,57.8,31.1,26,45,44,102,55.2,18,58,56,130,
Ortiz, David,120074,2016,68.6,12.1,26.5,31.8,67.9,124,390,59.4,1470,87.6,83,688,40.6,1003,
Rodriguez, Alex,121347,2016,66.1,24.3,33.2,39.5,60.5,62,157,51.7,473,75.7,71,292,48.3,442,
Beltre, Adrian,134181,2016,64.7,11,34.4,22.2,77.8,99,445,52.9,1292,89,82,744,47.1,1150,
Beltran, Carlos,136860,2016,66.5,12.9,28.3,32.8,67.2,111,338,54.6,1195,87.1,85,660,45.4,993,
Werth, Jayson,150029,2016,52.8,16.4,22.4,32.1,67.9,97,302,48.3,1346,83.6,125,760,51.7,1439,
Pierzynski, A.J.,150229,2016,76.5,9.8,43.5,32.4,67.6,60,185,52.3,425,89.2,29,296,47.7,387,
Rollins, Jimmy,276519,2016,62.8,16.6,28.6,30.8,68.2,33,107,54.1,374,81.9,33,199,45.9,317,
Vogelsong, Ryan,285064,2016,54.7,17.2,36.4,33.3,50,4,12,38.4,33,72.4,5,29,61.6,53,
Uribe, Juan,346874,2016,75.7,14.6,31.3,36,64,54,150,51.4,480,85.4,50,343,48.6,453,
Suzuki, Ichiro,400085,2016,62.3,11.3,25.6,26.5,70.8,49,185,49.9,722,87.2,51,452,50.1,726,
Martinez, Victor,400121,2016,65.3,11.7,30.5,27.1,72.9,104,384,54.3,1257,88.3,81,690,45.7,1056,
Utley, Chase,400284,2016,58.8,10.9,21.5,40.1,59.9,93,232,49.5,1081,88.4,71,649,50.5,1104,
Pujols, Albert,405395,2016,62.4,9.7,30.9,26.9,73.1,109,405,52.4,1312,90.3,72,743,47.6,1190,
Byrd, Marlon,407781,2016,75.5,25.7,39.8,49,51,50,102,51.9,256,74.3,46,179,48.1,237,
Lackey, John,407793,2016,63.4,18.8,32.7,54.5,42.4,18,33,43,101,71.8,16,85,57,134,
Holliday, Matt,407812,2016,71.2,14,29.6,34.1,65.9,87,255,55.1,861,86,70,500,44.9,702,
De La Rosa, Jorge,407822,2016,65.3,24.5,49.5,40.8,55.1,20,49,56.9,99,73.5,12,49,43.1,75,
Teixeira, Mark,407893,2016,63.2,15.8,25,39.2,60.8,94,240,53.9,959,84.2,82,519,46.1,821,
Mauer, Joe,408045,2016,50.8,11.2,21.1,24.6,74.6,66,268,51.5,1270,88,68,607,48.5,1196,
Morneau, Justin,408047,2016,78.6,14.1,38,41.8,58.2,76,182,57.1,479,85.9,40,283,42.9,360,
Cabrera, Miguel,408234,2016,70.9,15.9,30.7,35,65,148,423,55,1377,84.1,127,799,45,1127,
Gonzalez, Adrian,408236,2016,71.2,15.8,30.1,35.6,63.9,143,402,56.5,1335,84,116,732,43.5,1028,
Peavy, Jake,408241,2016,58.1,19.4,25.5,38.5,61.5,5,13,45.1,51,75,7,36,54.9,62,
Phillips, Brandon,408252,2016,75.4,11.9,40.9,31.4,68.6,138,440,51.5,1077,87.7,91,765,48.5,1015,
Infante, Omar,408299,2016,61.9,13.6,33.2,42.9,56,36,84,48.1,253,85.8,23,169,51.9,273,
Crawford, Carl,408307,2016,77.3,15.2,32.7,30.2,67.9,16,53,55.9,162,84.8,15,99,44.1,128,
Reyes, Jose,408314,2016,61.1,14.3,32.4,28.9,70,55,190,54.9,586,84.7,42,294,45.1,481,
Ross, David,424325,2016,68.5,22.3,24.5,52.9,46.2,55,104,49.9,425,76,65,292,50.1,426,
Crisp, Coco,424825,2016,60.3,11.6,25.5,33.6,65.6,82,244,50.3,956,87,66,569,49.7,943,
Peralta, Jhonny,425509,2016,69.4,14.3,25.9,34.7,65.3,58,167,53.3,645,85.7,56,392,46.7,565,
Loney, James,425766,2016,76.3,6.8,31,21,78.5,46,219,56.7,707,93.2,28,413,43.3,541,
Mathis, Jeff,425772,2016,70.6,22.3,30.2,55,41.7,33,60,44.5,199,76.6,39,175,55.5,248,
Choo, Shin-Soo,425783,2016,54.8,15.9,22.7,38.5,61.5,37,96,50,423,82.8,37,232,50,423,
Rivera, Rene,425784,2016,68.6,17.8,35.4,48.5,51.5,65,134,50.1,378,82.2,46,258,49.9,376,
Wainwright, Adam,425794,2016,77.4,20.8,34,42.9,57.1,15,35,45.4,103,75,20,96,54.6,124,
Francoeur, Jeff,425796,2016,72,24.2,44.1,41.7,58.3,125,300,55.3,681,75.5,96,396,44.7,550,
Upton Jr., B.J.,425834,2016,69.4,29.6,28.2,48.9,50.8,130,266,46.4,942,70,223,754,53.6,1087,
Greinke, Zack,425844,2016,69,15,34.1,41.4,58.6,12,29,42.3,85,77.5,12,80,57.7,116,
