Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Mike Trout\troutmi01,56,56,255,200,44,60,16,1,13,33,10,1,51,52,.300,.447,.585,1.032,117,4,3,0,1,11,2,.346,94,182
2,Alex Meyer\meyeral01,1,1,2,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,1,0,0,0,0,0,0,1.000,100,178
3,Kaleb Cowart\cowarka01,27,12,53,45,10,12,3,1,1,5,2,2,5,11,.267,.365,.444,.810,20,2,2,1,0,0,1,.333,133,122
4,Justin Upton\uptonju01,15,15,69,59,12,14,3,0,3,10,2,0,10,21,.237,.348,.441,.789,26,0,0,0,0,1,0,.314,78,116
5,Andrelton Simmons\simmoan01,79,79,333,306,33,89,25,2,4,38,5,3,20,39,.291,.333,.425,.758,130,9,2,0,5,0,2,.317,102,107
6,Luis Valbuena\valbulu01,56,48,210,182,20,37,8,0,12,34,0,1,26,60,.203,.300,.445,.745,81,2,0,0,2,1,0,.223,105,102
7,Yunel Escobar\escobyu01,43,42,189,172,20,46,11,1,3,19,0,2,16,29,.267,.333,.395,.729,68,13,1,0,0,0,1,.307,100,100
8,Nick Franklin\frankni01,7,3,14,10,1,2,1,0,0,1,0,0,3,1,.200,.429,.300,.729,3,0,1,0,0,0,0,.222,166,107
9,Cameron Maybin\maybica01,45,43,192,163,32,37,10,1,4,10,16,2,28,38,.227,.344,.374,.718,61,2,1,0,0,0,2,.273,111,98
10,Kole Calhoun\calhoko01,78,78,338,290,37,67,7,2,11,39,4,0,39,64,.231,.325,.383,.708,111,5,4,0,5,3,3,.255,95,95
11,Martin Maldonado\maldoma01,69,65,241,220,24,51,10,1,9,24,0,1,9,59,.232,.286,.409,.695,90,7,8,3,1,0,1,.275,115,89
12,Albert Pujols\pujolal01,71,71,310,286,26,72,8,0,10,46,2,0,19,42,.252,.297,.385,.681,110,16,1,0,4,4,0,.261,104,86
13,C.J. Cron\croncj01,48,44,182,172,19,38,6,1,8,28,0,0,5,52,.221,.249,.407,.656,70,1,2,0,2,0,3,.263,75,76
14,Cliff Pennington\pennicl01,41,25,105,92,13,22,5,0,1,7,2,1,10,26,.239,.305,.326,.631,30,0,0,0,3,0,3,.309,99,75
