Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Mike Trout\troutmi01,58,58,252,202,48,63,9,2,20,39,12,3,43,38,.312,.437,.673,1.110,136,4,4,0,3,4,3,.293,106,185
2,Justin Upton\uptonju01,12,12,46,39,7,10,4,0,4,5,2,0,7,12,.256,.370,.667,1.036,26,3,0,0,0,0,0,.261,126,164
3,Eric Young Jr.\younger03,22,14,60,52,12,16,2,0,3,8,5,1,3,14,.308,.390,.519,.909,27,0,4,1,0,0,1,.371,140,136
4,C.J. Cron\croncj01,52,48,191,167,20,46,8,0,8,28,3,2,17,44,.275,.358,.467,.825,78,4,5,0,1,0,0,.328,124,115
5,Brandon Phillips\phillbr01,9,9,37,37,4,12,6,0,0,3,0,0,0,12,.324,.324,.486,.811,18,1,0,0,0,0,0,.480,118,109
6,Andrelton Simmons\simmoan01,79,79,314,283,44,75,13,0,10,31,14,3,27,28,.265,.328,.417,.745,118,11,1,0,3,0,5,.262,98,94
7,Kole Calhoun\calhoko01,77,75,316,279,40,72,16,0,8,32,1,1,32,70,.258,.342,.401,.743,112,5,4,0,1,1,3,.317,105,95
8,Yunel Escobar\escobyu01,46,46,192,178,23,50,9,0,4,12,1,2,13,22,.281,.333,.399,.732,71,2,1,0,0,0,2,.303,101,91
9,Luis Valbuena\valbulu01,61,47,191,165,22,32,7,0,10,31,0,1,22,46,.194,.288,.418,.706,69,4,1,0,3,0,0,.196,95,82
10,Ben Revere\reverbe01,54,33,152,144,20,42,6,2,0,14,10,3,6,14,.292,.316,.361,.677,52,4,0,0,2,0,5,.318,108,78
11,Albert Pujols\pujolal01,78,77,326,307,27,71,9,0,13,55,1,0,18,51,.231,.276,.388,.664,119,10,1,0,0,1,1,.239,97,72
12,Danny Espinosa\espinda01,36,32,122,109,18,22,4,0,5,18,0,2,10,36,.202,.279,.376,.655,41,2,2,0,1,0,0,.246,149,70
13,Cameron Maybin\maybica01,48,45,195,173,25,42,9,0,2,12,13,3,20,40,.243,.323,.329,.653,57,9,1,0,1,1,2,.303,92,72
14,Cliff Pennington\pennicl01,46,25,112,102,10,27,1,0,2,14,1,0,6,32,.265,.306,.333,.640,34,2,1,1,2,0,0,.357,101,68
15,Kaleb Cowart\cowarka01,23,16,64,57,8,11,2,0,2,6,2,0,5,17,.193,.270,.333,.603,19,2,1,1,0,1,0,.237,73,57
16,Martin Maldonado\maldoma01,69,66,230,209,19,44,9,0,5,14,0,1,6,60,.211,.267,.325,.592,68,5,10,5,0,1,2,.271,85,55
17,Jefry Marte\marteje01,21,17,70,66,2,14,3,0,1,5,0,0,4,15,.212,.257,.303,.560,20,1,0,0,0,0,1,.260,94,47
18,Cesar Puello\puellce01,1,1,4,4,0,1,0,0,0,1,2,0,0,1,.250,.250,.250,.500,1,0,0,0,0,0,0,.333,103,32
19,Juan Graterol\grateju01,23,13,46,45,4,9,2,0,0,5,0,0,0,5,.200,.196,.244,.440,11,2,0,0,1,0,2,.220,92,15
20,Shane Robinson\robinsh01,11,5,16,14,2,2,0,0,0,1,1,0,1,2,.143,.188,.143,.330,2,0,0,0,1,0,1,.154,47,-11
21,Nick Franklin\frankni01,6,5,16,14,1,1,0,0,0,1,0,0,2,2,.071,.188,.071,.259,1,0,0,0,0,0,0,.083,-5,-27
22,Ramon Flores\florera02,3,3,9,8,0,1,0,0,0,1,0,0,0,1,.125,.111,.125,.236,1,0,0,0,1,0,0,.125,100,-38
23,Carlos Perez\perezca02,5,2,9,9,0,1,0,0,0,1,0,0,0,3,.111,.111,.111,.222,1,0,0,0,0,0,0,.167,22,-41
24,Nolan Fontana\fontano01,2,1,6,5,0,0,0,0,0,0,0,0,1,4,.000,.167,.000,.167,0,0,0,0,0,0,0,.000,-4,-50
,Team Total,842,729,2976,2668,356,664,119,4,97,337,68,22,243,569,.249,.318,.406,.723,1082,71,36,8,20,9,28,.280,103,89
