Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Colin Moran\moranco01,7,2,12,11,3,4,0,1,1,3,0,0,1,1,.364,.417,.818,1.235,9,0,0,0,0,0,0,.333,100,228
2,Jose Altuve\altuvjo01,75,73,333,294,65,112,23,3,15,46,13,3,34,32,.381,.449,.633,1.081,186,6,3,1,1,2,1,.391,125,194
3,Marwin Gonzalez\gonzama01,64,58,256,221,32,72,18,0,8,43,4,2,29,38,.326,.416,.516,.932,114,7,5,1,0,4,3,.366,108,155
4,Carlos Correa\correca01,58,58,269,236,51,71,12,1,13,44,1,1,30,61,.301,.379,.525,.905,124,6,1,0,2,1,8,.354,92,146
5,George Springer\springe01,69,66,313,277,61,81,13,0,18,43,3,2,29,60,.292,.367,.534,.902,148,4,5,0,2,1,3,.313,102,144
6,Max Stassi\stassma01,9,3,19,14,4,3,1,0,1,3,0,0,4,3,.214,.368,.500,.868,7,1,0,0,1,0,0,.182,123,136
7,Alex Bregman\bregmal01,79,75,328,290,46,84,26,3,10,41,7,3,28,53,.290,.360,.503,.863,146,7,6,0,4,2,3,.320,108,134
8,Brian McCann\mccanbr01,52,51,215,188,28,50,10,1,11,43,1,0,21,34,.266,.344,.505,.850,95,3,3,0,3,1,1,.267,122,130
9,Yuli Gurriel\gourryu01,70,70,294,276,39,86,20,1,10,42,2,2,12,36,.312,.340,.500,.840,138,7,2,0,4,0,2,.325,105,127
10,Cameron Maybin\maybica01,13,8,38,34,5,7,1,1,3,8,1,2,3,9,.206,.270,.559,.829,19,1,0,1,0,0,0,.182,138,120
11,Brad Peacock\peacobr01,4,3,8,7,1,2,1,0,0,2,0,0,1,3,.286,.375,.429,.804,3,0,0,0,0,0,0,.500,100,121
12,Nori Aoki\aokino01,38,29,126,112,20,34,7,1,2,12,4,1,10,16,.304,.357,.438,.795,49,5,1,0,3,1,0,.330,118,118
13,Josh Reddick\reddijo01,65,60,283,250,44,72,16,1,7,46,3,0,25,38,.288,.346,.444,.790,111,4,0,0,5,1,4,.310,87,116
14,Evan Gattis\gattiev01,41,37,165,154,25,39,9,0,8,36,0,1,5,24,.253,.291,.468,.758,72,4,4,0,2,0,1,.250,96,104
15,J.D. Davis\davisjd01,13,7,36,31,5,5,2,0,2,4,0,0,4,12,.161,.278,.419,.697,13,3,1,0,0,0,0,.176,86,88
16,Derek Fisher\fishede01,27,17,74,63,10,13,0,1,2,6,0,1,9,24,.206,.324,.333,.658,21,0,2,0,0,0,1,.297,99,82
17,Jake Marisnick\marisja01,58,32,139,123,26,23,5,0,6,18,3,2,12,55,.187,.273,.374,.647,46,5,3,0,1,1,1,.270,61,76
18,Carlos Beltran\beltrca01,62,57,254,234,28,53,14,0,6,26,0,0,17,54,.226,.280,.363,.643,85,4,1,0,2,1,3,.267,94,76
19,Tyler White\whitety01,12,5,34,31,2,7,3,0,0,2,0,0,3,10,.226,.294,.323,.617,10,0,0,0,0,0,0,.333,51,70
20,Tony Kemp\kempto01,11,6,25,23,4,5,0,0,0,3,1,0,1,5,.217,.280,.217,.497,5,0,1,0,0,0,0,.278,99,40
21,Juan Centeno\centeju01,11,5,20,20,1,4,0,0,0,1,0,0,0,8,.200,.200,.200,.400,4,0,0,0,0,0,0,.333,28,11
22,Lance McCullers Jr.\mcculla02,1,1,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,1,.000,,-100
23,Collin McHugh\mchugco01,1,1,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
24,Charlie Morton\mortoch02,1,1,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
25,Chris Devenski\devench02,3,0,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
26,Tony Sipp\sippto01,5,0,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
27,Dallas Keuchel\keuchda01,1,1,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
28,Michael Feliz\felizmi01,3,0,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
