Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Tyler White\whitety01,10,8,33,30,5,10,3,0,3,8,0,1,1,6,.333,.364,.733,1.097,22,0,1,0,1,0,1,.318,151,177
2,Jake Marisnick\marisja01,48,33,120,107,24,33,5,0,10,17,6,2,8,35,.308,.373,.636,1.008,68,0,3,2,0,0,0,.371,145,158
3,Carlos Correa\correca01,51,51,212,186,31,62,13,0,11,40,1,0,23,31,.333,.406,.581,.986,108,6,1,0,2,4,1,.349,110,155
4,Josh Reddick\reddijo01,69,61,257,227,33,78,18,3,6,36,4,3,18,34,.344,.381,.529,.910,120,5,0,1,7,0,2,.371,114,136
5,Marwin Gonzalez\gonzama01,70,62,259,234,35,66,16,0,15,47,4,1,20,61,.282,.339,.543,.881,127,1,1,2,2,0,0,.319,92,126
6,George Springer\springe01,71,71,316,271,51,74,16,0,16,42,2,5,35,51,.273,.366,.509,.875,138,7,6,0,2,0,5,.282,97,127
7,Jose Altuve\altuvjo01,78,78,329,296,47,92,16,1,9,35,19,3,24,52,.311,.371,.463,.834,137,13,6,0,3,1,3,.349,75,118
8,J.D. Davis\davisjd01,11,7,32,31,3,9,2,0,2,3,1,1,0,8,.290,.281,.548,.830,17,0,0,0,1,0,1,.318,114,110
9,Yuli Gurriel\gourryu01,69,67,270,253,30,72,23,0,8,33,1,0,10,26,.285,.322,.470,.793,119,5,5,0,2,1,5,.290,94,104
10,Alex Bregman\bregmal01,76,73,298,266,42,74,13,2,9,30,10,2,27,44,.278,.343,.444,.787,118,8,1,1,3,0,1,.301,91,105
11,Evan Gattis\gattiev01,43,39,160,146,16,40,13,0,4,19,0,0,13,26,.274,.331,.445,.776,65,6,0,0,1,0,0,.308,104,101
12,Juan Centeno\centeju01,11,10,37,32,4,8,0,0,2,3,0,0,4,4,.250,.333,.438,.771,14,2,0,1,0,1,0,.231,143,100
13,Carlos Beltran\beltrca01,67,61,255,233,32,55,15,0,8,25,0,0,16,48,.236,.286,.403,.690,94,5,2,0,4,2,3,.260,106,78
14,Derek Fisher\fishede01,26,22,92,83,11,18,4,0,3,11,3,2,8,30,.217,.293,.373,.667,31,1,1,0,0,1,1,.300,100,73
15,Brian McCann\mccanbr01,45,45,184,161,19,34,2,0,7,19,0,0,17,24,.211,.299,.354,.653,57,6,4,0,2,2,3,.205,74,71
16,Max Stassi\stassma01,5,3,12,10,1,1,0,0,1,1,0,0,2,1,.100,.250,.400,.650,4,1,0,0,0,0,0,.000,65,67
17,Nori Aoki\aokino01,32,27,98,90,8,21,5,0,0,7,1,1,5,13,.233,.278,.289,.567,26,6,1,1,1,0,2,.269,57,50
18,Tony Kemp\kempto01,6,4,14,14,2,3,1,0,0,1,0,0,0,0,.214,.214,.286,.500,4,0,0,0,0,0,0,.214,101,30
19,Cameron Maybin\maybica01,8,6,25,25,1,4,0,0,1,5,3,1,0,7,.160,.160,.280,.440,7,0,0,0,0,0,2,.176,27,12
20,AJ Reed\reedaj01,2,1,6,6,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
21,Ken Giles\gileske01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
,Team Total,799,729,3009,2701,395,754,165,6,115,382,55,22,231,502,.279,.340,.472,.812,1276,72,32,8,31,12,30,.302,97,110
