Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Daniel Mengden\mengdda01,1,1,4,2,1,1,0,0,0,0,0,0,1,0,.500,.667,.500,1.167,1,0,0,1,0,0,0,.500,100,230
2,Matt Olson\olsonma02,32,25,115,96,13,22,0,0,12,22,0,0,15,34,.229,.357,.604,.961,58,4,4,0,0,1,0,.200,94,158
3,Joey Wendle\wendljo01,5,2,8,8,2,2,0,0,1,4,0,0,0,1,.250,.250,.625,.875,5,0,0,0,0,0,0,.167,72,129
4,Boog Powell\powelbo02,14,11,43,38,5,13,2,0,1,2,0,1,4,9,.342,.395,.474,.869,18,0,0,0,1,0,0,.414,128,138
5,Khris Davis\daviskh01,74,73,317,278,35,67,12,0,17,42,3,0,33,104,.241,.331,.468,.799,130,7,5,0,1,0,3,.316,87,117
6,Jed Lowrie\lowrije01,76,71,320,278,42,74,24,2,6,34,0,1,40,45,.266,.356,.432,.788,120,8,0,0,2,1,3,.297,95,116
7,Bruce Maxwell\maxwebr01,40,30,132,113,11,31,6,0,3,12,0,0,18,33,.274,.374,.407,.781,46,7,0,1,0,0,0,.364,136,116
8,Matt Joyce\joycema01,71,65,285,253,39,59,14,0,14,34,2,0,28,58,.233,.312,.455,.767,115,6,2,0,2,0,0,.246,89,108
9,Yonder Alonso\alonsyo01,49,45,195,167,22,41,7,0,7,19,1,0,28,47,.246,.354,.413,.767,69,4,0,0,0,5,1,.301,79,111
10,Dustin Garneau\garnedu01,10,8,26,21,3,5,0,0,1,3,0,0,5,4,.238,.385,.381,.766,8,1,0,0,0,0,0,.250,163,113
11,Chad Pinder\pindech01,42,36,152,137,16,35,6,0,5,14,1,1,12,53,.255,.329,.409,.738,56,3,3,0,0,0,1,.380,102,102
12,Renato Nunez\nunezre01,5,2,9,8,1,1,0,0,1,3,0,0,1,5,.125,.222,.500,.722,4,0,0,0,0,0,0,.000,114,90
13,Stephen Vogt\vogtst01,28,23,95,89,7,21,5,1,3,13,0,0,6,16,.236,.284,.416,.700,37,1,0,0,0,0,1,.257,98,90
14,Josh Phegley\phegljo01,28,20,71,66,5,15,4,0,3,5,0,0,3,12,.227,.268,.424,.692,28,0,1,0,1,0,0,.231,131,86
15,Adam Rosales\rosalad01,34,26,103,94,7,25,4,0,2,8,1,1,5,28,.266,.314,.372,.686,35,0,2,1,1,0,3,.354,126,88
16,Ryon Healy\healyry01,76,75,318,306,29,76,14,0,11,36,0,1,9,75,.248,.274,.402,.676,123,8,2,0,1,0,8,.294,80,83
