Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Joey Wendle\wendljo01,3,1,6,5,1,2,1,0,0,1,0,0,1,2,.400,.500,.600,1.100,3,0,0,0,0,1,0,.667,138,188
2,Matt Olson\olsonma02,27,23,101,93,20,27,2,0,12,23,0,0,7,26,.290,.347,.699,1.045,65,2,1,0,0,0,0,.273,106,164
3,Yonder Alonso\alonsyo01,51,42,176,152,30,44,10,0,15,30,0,0,22,41,.289,.386,.651,1.038,99,2,2,0,0,1,1,.302,136,165
4,Ryan Lavarnway\lavarry01,4,2,7,6,0,2,1,0,0,2,0,0,1,3,.333,.429,.500,.929,3,0,0,0,0,0,0,.667,149,143
5,Khris Davis\daviskh01,79,79,335,288,56,73,16,1,26,68,1,0,40,91,.253,.340,.587,.927,169,13,1,0,6,1,4,.266,112,136
6,Matt Chapman\chapmma01,43,43,165,148,25,42,10,2,8,24,0,3,14,47,.284,.352,.541,.892,80,1,2,0,1,0,2,.362,127,130
7,Boog Powell\powelbo02,15,11,49,43,13,13,3,0,2,8,0,0,5,12,.302,.367,.512,.879,22,1,0,0,1,0,1,.367,130,127
8,Matt Joyce\joycema01,70,58,259,216,39,55,19,0,11,34,2,1,38,55,.255,.359,.495,.854,107,4,0,0,5,0,0,.284,112,121
9,Ryon Healy\healyry01,73,71,287,270,37,80,15,0,14,42,0,0,14,67,.296,.334,.507,.842,137,8,2,0,1,0,1,.347,123,116
10,Jed Lowrie\lowrije01,77,75,325,289,44,83,25,1,8,35,0,0,33,55,.287,.363,.464,.827,134,2,2,0,1,1,1,.330,104,115
11,Trevor Plouffe\plouftr01,30,27,103,94,12,24,4,0,6,12,1,0,9,31,.255,.320,.489,.810,46,5,0,0,0,0,0,.316,171,108
12,Marcus Semien\semiema01,40,40,180,152,28,39,10,1,5,24,6,1,24,36,.257,.352,.434,.786,66,0,0,1,3,0,2,.298,117,105
13,Chad Pinder\pindech01,45,36,157,145,20,32,9,1,10,28,1,0,6,39,.221,.256,.503,.760,73,4,2,0,3,0,4,.222,98,92
14,Franklin Barreto\barrefr02,13,8,34,32,6,7,1,2,1,3,2,0,2,14,.219,.265,.469,.733,15,0,0,0,0,0,1,.353,139,87
15,Rajai Davis\davisra01,55,41,186,174,33,46,13,2,3,13,15,4,11,39,.264,.308,.414,.722,72,6,0,1,0,1,1,.326,124,87
16,Jaycob Brugman\brugmja01,24,20,78,67,7,17,0,0,2,8,0,1,11,19,.254,.359,.343,.702,23,1,0,0,0,1,2,.326,104,86
17,Mark Canha\canhama01,28,22,90,82,8,17,4,1,3,6,0,0,4,23,.207,.267,.390,.657,32,2,3,0,1,0,0,.246,104,70
18,Jaff Decker\deckeja01,10,9,35,28,3,6,1,1,0,1,1,0,4,9,.214,.333,.321,.655,9,0,1,2,0,0,0,.316,127,74
19,Jake Smolinski\smolija01,5,3,10,10,1,3,0,0,0,0,0,0,0,2,.300,.300,.300,.600,3,0,0,0,0,0,0,.375,98,59
20,Renato Nunez\nunezre01,3,1,7,7,0,2,0,0,0,0,0,0,0,3,.286,.286,.286,.571,2,0,0,0,0,0,0,.500,86,51
21,Stephen Vogt\vogtst01,26,20,79,68,5,13,3,0,1,7,0,1,10,15,.191,.291,.279,.571,19,0,0,0,1,1,0,.226,68,51
22,Adam Rosales\rosalad01,37,33,120,111,8,23,7,0,2,19,0,0,5,38,.207,.237,.324,.562,36,2,0,2,2,0,0,.288,83,45
23,Bruce Maxwell\maxwebr01,36,32,121,106,10,21,6,0,0,10,0,0,13,30,.198,.281,.255,.536,27,3,0,0,2,0,0,.269,62,43
24,Josh Phegley\phegljo01,29,25,90,83,9,15,7,0,0,5,0,1,6,14,.181,.244,.265,.510,22,4,1,0,0,0,1,.217,75,34
25,Dustin Garneau\garnedu01,9,7,26,23,2,2,1,0,0,0,0,0,3,8,.087,.192,.130,.323,3,1,0,0,0,0,0,.133,12,-13
26,Santiago Casilla\garcija01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
,Team Total,833,729,3026,2692,417,688,168,12,129,403,29,12,283,719,.256,.327,.471,.798,1267,61,17,6,27,7,21,.299,111,106
