Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Darrell Ceciliani\cecilda01,2,1,5,5,2,2,1,0,1,3,0,0,0,0,.400,.400,1.200,1.600,6,0,0,0,0,0,0,.250,100,315
2,Marcus Stroman\stromma01,3,2,7,7,2,2,1,0,1,1,0,0,0,4,.286,.286,.857,1.143,6,0,0,0,0,0,0,.500,100,196
3,Josh Donaldson\donaljo02,57,57,267,223,40,62,13,0,19,45,2,2,41,67,.278,.390,.592,.981,132,0,1,0,2,0,1,.309,107,165
4,Nori Aoki\aokino01,6,3,16,14,3,3,1,0,2,5,0,0,1,4,.214,.250,.714,.964,10,0,0,0,1,0,0,.111,156,151
5,Rafael Lopez\lopezra02,11,7,25,23,3,6,1,0,2,7,0,0,2,9,.261,.320,.565,.885,13,1,0,0,0,0,0,.333,127,137
6,Justin Smoak\smoakju01,78,71,319,283,41,76,16,0,19,43,0,0,35,65,.269,.348,.527,.874,149,7,0,0,1,2,2,.285,98,136
7,Ezequiel Carrera\carreez01,65,35,154,130,19,38,7,1,2,6,6,1,20,27,.292,.395,.408,.802,53,1,2,2,0,0,1,.356,111,123
8,Steve Pearce\pearcst01,47,40,183,167,21,45,10,0,7,16,0,0,12,38,.269,.333,.455,.788,76,7,4,0,0,0,2,.311,108,114
9,Kevin Pillar\pillake01,74,71,319,295,41,80,16,1,10,25,6,5,21,46,.271,.322,.434,.756,128,8,1,2,0,0,2,.293,115,106
10,Kendrys Morales\moralke01,77,71,321,299,32,76,11,0,15,55,0,0,17,59,.254,.302,.441,.744,132,14,4,0,1,1,1,.270,97,101
11,Chris Coghlan\coghlch01,20,12,56,48,7,12,2,0,1,4,0,0,7,14,.250,.357,.354,.711,17,1,1,0,0,0,0,.333,152,98
12,Jose Bautista\bautijo02,80,78,363,312,46,69,12,0,13,35,3,3,44,93,.221,.320,.385,.704,120,9,3,0,4,2,2,.267,109,93
13,Dwight Smith Jr.\smithdw02,8,4,21,19,1,5,2,0,0,0,0,0,1,9,.263,.333,.368,.702,7,0,1,0,0,0,0,.500,63,93
14,Teoscar Hernandez\hernate01,14,12,51,46,5,9,2,0,3,9,0,0,4,19,.196,.255,.435,.690,20,0,0,0,1,0,0,.240,56,85
15,Devon Travis\travide01,24,21,95,91,12,22,6,0,3,8,2,2,3,16,.242,.274,.407,.680,37,3,1,0,0,0,0,.264,87,84
16,Ryan Goins\goinsry01,70,59,237,219,21,53,12,0,6,36,0,1,14,56,.242,.284,.379,.663,83,10,0,1,3,0,2,.294,106,81
17,Darwin Barney\barneda01,67,48,198,181,19,41,8,0,4,12,4,0,13,39,.227,.282,.337,.619,61,9,1,3,0,0,4,.268,106,70
18,Russell Martin\martiru01,49,47,212,174,26,29,5,0,5,15,1,2,35,51,.167,.316,.282,.598,49,8,3,0,0,0,1,.203,65,67
19,Troy Tulowitzki\tulowtr01,29,28,123,118,4,27,5,0,2,10,0,1,5,24,.229,.260,.322,.582,38,4,0,0,0,0,1,.272,72,59
20,Miguel Montero\montemi01,18,13,57,49,6,7,2,0,1,5,0,0,7,10,.143,.246,.245,.491,12,3,0,0,1,0,1,.154,50,36
21,Michael Saunders\saundmi01,9,3,17,16,0,3,0,0,0,1,0,0,1,4,.188,.235,.188,.423,3,0,0,0,0,0,0,.250,46,19
22,Anthony Alford\alforan01,4,2,8,8,0,1,1,0,0,0,0,0,0,3,.125,.125,.250,.375,2,0,0,0,0,0,0,.200,100,-1
23,Luke Maile\mailelu01,22,16,65,62,5,7,3,0,1,3,0,0,1,22,.113,.138,.210,.348,13,0,1,0,1,0,2,.150,69,-6
24,Rob Refsnyder\refsnro01,13,5,22,17,2,1,0,0,0,0,2,1,4,4,.059,.273,.059,.332,1,0,1,0,0,1,1,.077,38,0
25,Richard Urena\urenari01,11,10,44,38,2,3,1,0,0,0,1,0,5,17,.079,.186,.105,.291,4,0,0,1,0,0,0,.143,3,-16
26,Jarrod Saltalamacchia\saltaja01,4,4,17,16,1,1,0,0,0,0,0,0,1,7,.063,.118,.063,.180,1,0,0,0,0,0,0,.111,211,-48
27,Joe Biagini\biagijo01,4,2,3,2,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,.000,0,0,0,1,0,0,0,.000,,-100
28,Marco Estrada\estrama01,2,2,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
29,Mike Ohlman\ohlmami01,2,0,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,-100,-100
30,Mat Latos\latosma01,1,1,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
31,Nick Tepesch\tepesni01,1,1,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
32,Ian Parmley\parmlia01,3,1,4,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,1,0,0,0,.000,,-100
33,Ryan Tepera\teperry01,6,0,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
34,Casey Lawrence\lawreca01,1,1,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,1,0,0,0,.000,,-100
35,J.A. Happ\happja01,1,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
36,Joe Smith\smithjo05,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
37,Matt Dermody\dermoma01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
38,Tim Mayza\mayzati01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
39,Jason Grilli\grillja01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
40,Roberto Osuna\osunaro01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
41,J.P. Howell\howeljp01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
42,Dominic Leone\leonedo01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
43,Danny Barnes\barneda02,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
44,Aaron Loup\loupaa01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
,Team Total,912,729,3224,2879,361,680,138,2,117,345,27,18,294,716,.236,.311,.407,.718,1173,85,24,12,15,6,23,.273,99,96
