Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Dwight Smith Jr.\smithdw02,4,2,8,8,1,5,0,0,0,1,1,0,0,1,.625,.625,.625,1.250,5,0,0,0,0,0,0,.714,192,231
2,Teoscar Hernandez\hernate01,12,10,44,42,11,14,4,0,5,11,0,1,2,17,.333,.364,.786,1.149,33,0,0,0,0,0,1,.450,150,189
3,Richard Urena\urenari01,10,7,31,30,4,11,3,0,1,4,0,0,1,11,.367,.387,.567,.954,17,0,0,0,0,0,0,.556,227,146
4,Russell Martin\martiru01,42,40,153,133,23,39,7,0,8,20,0,0,15,32,.293,.382,.526,.908,70,5,4,1,0,0,1,.333,147,135
5,Josh Donaldson\donaljo02,56,55,229,192,25,50,8,0,14,33,0,0,35,44,.260,.380,.521,.901,100,5,2,0,0,1,0,.269,92,133
6,Justin Smoak\smoakju01,80,76,318,277,44,75,13,1,19,47,0,1,38,63,.271,.362,.531,.892,147,10,2,0,1,1,1,.286,102,130
7,Nori Aoki\aokino01,6,4,18,18,1,6,0,0,1,3,0,0,0,1,.333,.333,.500,.833,9,0,0,0,0,0,0,.313,127,115
8,Devon Travis\travide01,26,25,102,94,10,26,12,0,2,16,2,0,4,22,.277,.307,.468,.775,44,2,1,1,2,0,1,.333,112,99
9,Troy Tulowitzki\tulowtr01,37,36,137,123,12,33,5,0,5,16,0,0,12,16,.268,.336,.431,.767,53,6,1,0,1,1,1,.272,126,100
10,Kendrys Morales\moralke01,73,70,287,258,35,63,14,0,13,30,0,0,26,73,.244,.314,.450,.763,116,8,1,0,2,1,5,.287,103,97
11,Ezequiel Carrera\carreez01,66,36,171,157,19,43,3,0,6,14,4,0,10,48,.274,.321,.408,.729,64,3,1,3,0,0,0,.359,90,90
12,Steve Pearce\pearcst01,45,43,165,146,17,34,7,1,6,21,0,0,15,30,.233,.303,.418,.721,61,4,1,0,3,1,2,.248,90,87
13,Rafael Lopez\lopezra02,13,10,38,31,6,6,0,0,2,5,0,0,5,12,.194,.297,.387,.684,12,0,0,0,1,0,0,.222,81,78
14,Kevin Pillar\pillake01,80,77,313,292,31,70,21,0,6,17,9,1,12,49,.240,.279,.373,.652,109,5,5,1,3,0,5,.267,85,69
15,Jose Bautista\bautijo02,77,77,323,275,46,50,15,0,10,30,3,0,40,77,.182,.294,.345,.640,95,7,5,0,3,1,1,.209,90,67
16,Ryan Goins\goinsry01,73,59,222,199,16,46,9,1,3,26,3,1,17,40,.231,.289,.332,.621,66,4,0,4,2,0,2,.272,94,63
17,Darwin Barney\barneda01,62,48,164,155,15,37,6,0,2,13,3,2,5,25,.239,.265,.316,.582,49,4,1,2,1,0,3,.271,93,52
18,Rob Refsnyder\refsnro01,19,9,36,34,3,9,1,0,0,0,0,0,1,5,.265,.286,.294,.580,10,2,0,0,0,0,0,.310,152,53
19,Mike Ohlman\ohlmami01,5,3,12,12,1,3,0,0,0,1,0,0,0,2,.250,.250,.250,.500,3,0,0,0,0,0,0,.300,117,32
20,Miguel Montero\montemi01,14,10,44,38,6,5,1,0,1,3,0,0,5,13,.132,.250,.237,.487,9,0,1,0,0,0,0,.167,49,29
21,Luke Maile\mailelu01,24,20,71,68,5,12,2,0,1,4,1,0,2,13,.176,.211,.250,.461,17,2,1,0,0,0,2,.204,128,21
22,Michael Saunders\saundmi01,3,0,3,2,1,0,0,0,0,0,0,0,1,0,.000,.333,.000,.333,0,0,0,0,0,0,1,.000,30,0
23,Chris Coghlan\coghlch01,16,10,32,27,0,3,0,0,0,1,0,0,2,8,.111,.194,.111,.305,3,1,1,1,1,0,0,.150,7,-16
24,Jarrod Saltalamacchia\saltaja01,6,2,9,9,0,0,0,0,0,0,0,0,0,9,.000,.000,.000,.000,0,0,0,0,0,0,0,,-100,-100
25,Darrell Ceciliani\cecilda01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
,Team Total,850,729,2930,2620,332,640,131,3,105,316,26,6,248,611,.244,.314,.417,.731,1092,68,27,13,20,6,26,.278,102,90
