Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Aaron Blair\blairaa01,1,1,2,1,0,1,0,0,0,0,0,0,1,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,0,1.000,100,455
2,Freddie Freeman\freemfr01,63,62,285,247,52,74,21,2,17,40,7,2,33,54,.300,.393,.607,1.000,150,7,5,0,0,9,2,.324,101,170
3,Lane Adams\adamsla01,31,8,53,49,12,16,1,1,3,8,4,0,4,17,.327,.377,.571,.949,28,1,0,0,0,0,0,.448,133,156
4,Kurt Suzuki\suzukku01,40,35,154,138,19,38,6,0,11,28,0,0,9,18,.275,.344,.558,.902,77,2,6,0,1,2,0,.245,102,143
5,Matt Adams\adamsma01,45,30,143,132,21,38,12,0,7,30,0,0,8,33,.288,.322,.538,.860,71,3,0,0,3,3,0,.326,104,131
6,Ozzie Albies\albieoz01,25,25,111,102,18,32,1,1,5,16,7,1,7,13,.314,.355,.490,.845,50,1,0,1,1,0,0,.318,108,130
7,Tyler Flowers\flowety01,53,45,199,167,20,48,8,0,6,26,0,0,19,42,.287,.397,.443,.840,74,4,12,0,1,1,2,.350,105,132
8,Matt Kemp\kempma01,60,58,258,245,27,70,15,1,12,43,0,1,12,52,.286,.318,.502,.820,123,15,0,0,1,3,1,.319,108,121
9,Nick Markakis\markani01,80,78,345,293,40,89,19,1,4,35,0,2,46,47,.304,.403,.416,.819,122,7,4,0,2,6,3,.348,122,127
10,Johan Camargo\camarjo01,32,25,108,102,15,28,13,0,2,8,0,0,6,20,.275,.315,.461,.776,47,3,0,0,0,1,0,.325,97,110
11,Sean Rodriguez\rodrise01,9,5,29,23,5,4,0,0,2,3,0,0,5,10,.174,.321,.435,.756,10,1,0,1,0,1,0,.182,164,106
12,Ender Inciarte\inciaen01,77,75,357,325,47,91,18,2,5,31,16,4,29,57,.280,.337,.394,.731,128,3,0,1,2,2,0,.325,93,101
13,Brandon Phillips\phillbr01,57,55,240,223,29,58,13,1,3,22,6,3,8,32,.260,.305,.368,.673,82,11,7,1,1,0,2,.291,84,85
14,Adonis Garcia\garciad01,29,25,114,106,12,26,3,0,3,12,3,0,6,15,.245,.298,.358,.657,38,5,2,0,0,0,5,.261,112,80
15,Dansby Swanson\swansda01,74,71,296,269,30,61,14,1,4,26,1,2,26,71,.227,.294,.331,.625,89,4,0,0,1,5,4,.292,96,72
16,Rio Ruiz\ruizri01,22,18,77,67,9,13,4,0,2,9,1,0,8,19,.194,.273,.343,.616,23,2,0,0,2,0,1,.229,108,69
17,Jace Peterson\peterja01,45,21,115,101,8,20,6,2,0,8,1,0,12,24,.198,.289,.297,.587,30,2,1,1,0,1,1,.260,85,62
18,Micah Johnson\johnsmi04,9,1,8,7,0,2,0,0,0,0,0,0,0,3,.286,.286,.286,.571,2,0,0,1,0,0,0,.500,186,59
19,Danny Santana\santada01,37,17,91,84,10,15,5,2,1,9,4,0,5,18,.179,.233,.321,.555,27,2,1,1,0,0,2,.215,86,51
20,Jaime Garcia\garcija02,7,7,18,15,1,2,0,0,1,5,0,0,1,4,.133,.188,.333,.521,5,0,0,2,0,0,1,.100,129,39
21,Chase d'Arnaud\darnach01,6,0,4,4,2,1,0,0,0,0,0,0,0,2,.250,.250,.250,.500,1,0,0,0,0,0,0,.500,94,39
22,David Freitas\freitda01,3,2,7,7,1,1,1,0,0,1,0,0,0,2,.143,.143,.286,.429,2,1,0,0,0,0,0,.200,42,14
23,Julio Teheran\teherju01,15,13,37,28,3,5,0,0,0,6,0,0,1,10,.179,.226,.179,.404,5,0,1,6,1,0,0,.263,163,14
24,R.A. Dickey\dicker.01,12,12,31,26,0,5,0,0,0,3,0,0,0,4,.192,.192,.192,.385,5,0,0,5,0,0,0,.227,160,7
25,Emilio Bonifacio\bonifem01,19,2,21,16,1,2,0,0,0,0,0,0,1,4,.125,.176,.125,.301,2,0,0,4,0,0,1,.167,77,-15
26,Lucas Sims\simslu01,7,6,12,10,1,1,0,0,0,0,0,0,0,3,.100,.100,.100,.200,1,0,0,2,0,0,0,.143,199,-45
27,Mike Foltynewicz\foltymi01,16,15,27,23,1,2,0,0,0,0,0,0,0,14,.087,.087,.087,.174,2,0,0,4,0,0,1,.222,263,-52
28,Max Fried\friedma01,6,3,8,7,1,0,0,0,0,0,0,0,1,3,.000,.125,.000,.125,0,0,0,0,0,0,1,.000,,-61
