Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Chase d'Arnaud\darnach01,5,1,6,4,3,2,0,0,0,0,0,0,2,1,.500,.667,.500,1.167,2,0,0,0,0,0,0,.667,357,215
2,Freddie Freeman\freemfr01,54,54,229,193,32,61,14,0,11,31,1,3,32,41,.316,.415,.560,.974,108,2,2,0,2,5,2,.350,99,153
3,Kurt Suzuki\suzukku01,41,36,155,138,19,40,7,0,8,22,0,0,8,21,.290,.357,.514,.872,71,3,7,1,1,0,0,.291,98,125
4,Matt Adams\adamsma01,55,39,171,159,21,41,8,1,12,28,0,0,11,38,.258,.310,.547,.857,87,2,1,0,0,2,0,.266,102,118
5,Brandon Phillips\phillbr01,63,58,259,247,39,79,14,0,8,30,4,5,11,25,.320,.351,.474,.825,117,8,1,0,0,1,2,.332,124,114
6,Tyler Flowers\flowety01,46,41,171,150,21,41,8,0,6,23,0,1,12,40,.273,.357,.447,.803,67,2,8,0,1,0,4,.333,95,110
7,Johan Camargo\camarjo01,50,35,148,139,15,44,8,2,2,19,0,0,6,31,.317,.342,.446,.789,62,2,0,2,1,1,2,.393,102,105
8,Ender Inciarte\inciaen01,80,79,361,337,46,110,9,3,6,26,6,5,20,37,.326,.362,.424,.786,143,5,0,2,2,1,3,.351,107,106
9,Ozzie Albies\albieoz01,32,32,133,115,16,30,8,4,1,12,1,0,14,23,.261,.353,.426,.779,49,2,3,0,1,0,0,.315,93,104
10,Matt Kemp\kempma01,55,49,209,193,20,51,8,0,7,21,0,1,15,47,.264,.317,.415,.732,80,10,0,0,0,2,3,.317,89,90
11,David Freitas\freitda01,3,3,10,10,1,3,1,0,0,1,0,0,0,2,.300,.300,.400,.700,4,0,0,0,0,0,0,.375,141,82
12,Lane Adams\adamsla01,54,5,69,60,7,14,3,0,2,12,6,0,6,20,.233,.309,.383,.692,23,2,1,1,1,0,1,.308,73,81
13,Jace Peterson\peterja01,44,23,100,85,7,20,3,0,2,9,2,0,15,24,.235,.350,.341,.691,29,2,0,0,0,2,0,.305,118,83
14,Danny Santana\santada01,32,9,61,59,6,14,4,0,2,13,2,0,2,15,.237,.262,.407,.669,24,0,0,0,0,1,1,.286,122,72
15,Nick Markakis\markani01,80,77,325,300,36,74,20,0,4,41,0,0,22,63,.247,.302,.353,.655,106,9,2,0,1,2,3,.299,77,72
16,Dansby Swanson\swansda01,70,64,255,219,29,52,9,1,2,25,2,1,33,49,.237,.333,.315,.648,69,3,0,0,3,5,2,.292,104,72
17,Rio Ruiz\ruizri01,31,23,96,83,13,16,1,0,2,10,0,0,11,22,.193,.292,.277,.569,23,2,1,0,1,1,0,.233,93,51
18,Adonis Garcia\garciad01,23,15,69,67,7,15,1,0,2,7,1,0,1,8,.224,.232,.328,.560,22,4,0,0,1,0,0,.224,80,45
19,Sean Rodriguez\rodrise01,6,4,18,14,1,2,1,0,0,0,1,0,3,9,.143,.333,.214,.548,3,0,1,0,0,0,0,.400,93,49
20,Jaime Garcia\garcija02,8,8,17,16,1,3,1,0,0,2,0,0,0,3,.188,.188,.250,.438,4,0,0,1,0,0,0,.231,98,14
21,Emilio Bonifacio\bonifem01,19,0,23,22,1,3,1,1,0,3,0,0,0,5,.136,.130,.273,.403,6,1,0,0,1,0,0,.167,116,2
22,Anthony Recker\reckean01,3,1,6,6,1,1,0,0,0,0,0,0,0,0,.167,.167,.167,.333,1,1,0,0,0,0,0,.167,134,-12
23,R.A. Dickey\dicker.01,18,18,37,35,0,4,0,0,0,2,0,0,0,8,.114,.114,.114,.229,4,0,0,2,0,0,1,.148,54,-40
24,Julio Teheran\teherju01,20,17,35,29,1,3,0,0,0,0,0,0,0,7,.103,.103,.103,.207,3,0,0,6,0,0,3,.136,35,-46
25,Sean Newcomb\newcose01,12,12,21,17,1,1,0,0,0,0,0,0,1,10,.059,.111,.059,.170,1,1,0,3,0,0,0,.143,167,-53
26,Micah Johnson\johnsmi04,9,0,3,3,2,0,0,0,0,0,1,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,-100,-100
27,Lucas Sims\simslu01,7,4,6,5,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,0,0,0,1,0,0,0,,-100,-100
28,Luiz Gohara\goharlu01,3,3,5,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,1,0,1,0,0,0,.000,,-100
29,Sam Freeman\freemsa01,30,0,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
30,Matt Wisler\wislema01,11,1,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,1,0,0,0,.000,,-100
31,Mike Foltynewicz\foltymi01,12,12,22,19,0,0,0,0,0,0,0,0,0,13,.000,.000,.000,.000,0,0,0,3,0,0,0,.000,-100,-100
32,Ian Krol\krolia01,24,0,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
33,Bartolo Colon\colonba01,5,5,7,7,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
34,Jim Johnson\johnsji04,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
35,Jose Ramirez\ramirjo02,36,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
36,A.J. Minter\minteaj01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
37,Dan Winkler\winklda01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
38,Arodys Vizcaino\vizcaar01,36,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
39,Max Fried\friedma01,4,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,,,
40,Josh Collmenter\collmjo01,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
41,Akeel Morris\morriak01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
42,Rex Brothers\brothre01,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
43,Luke Jackson\jackslu01,26,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,,,
44,Jason Hursh\hurshja01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
45,Eric O'Flaherty\oflaher01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
46,Jason Motte\motteja01,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
,Team Total,1220,729,3034,2739,346,724,129,12,77,337,27,16,225,576,.264,.325,.405,.729,1108,62,27,26,16,23,27,.308,98,90
