Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Brandon Woodruff\woodrbr01,1,1,2,2,1,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0,0,0,0,0,0,1.000,766,455
2,Jesus Aguilar\aguilje01,63,28,155,137,23,40,7,1,12,34,0,0,13,44,.292,.361,.620,.982,85,5,3,0,2,1,1,.337,132,163
3,Travis Shaw\shawtr01,70,69,297,262,43,75,18,1,18,53,5,0,33,64,.286,.368,.569,.937,149,9,1,1,0,3,1,.317,116,153
4,Domingo Santana\santado01,72,67,298,257,38,78,17,0,11,34,5,3,35,84,.304,.393,.498,.891,128,8,4,0,2,1,0,.409,105,144
5,Ryan Braun\braunry02,48,45,199,176,26,46,11,1,10,26,8,2,18,30,.261,.332,.506,.837,89,8,2,0,3,0,1,.259,103,126
6,Eric Thames\thameer01,66,59,272,237,40,59,16,4,11,25,1,0,32,75,.249,.346,.489,.835,116,3,3,0,0,1,2,.318,91,127
7,Brett Phillips\phillbr02,19,13,56,48,5,12,2,0,2,5,2,0,7,22,.250,.345,.417,.762,20,0,0,1,0,1,0,.417,91,109
8,Manny Pina\pinama01,53,40,177,160,22,44,13,0,3,16,1,0,14,46,.275,.341,.413,.753,66,4,2,1,0,0,0,.369,102,107
9,Orlando Arcia\arciaor01,76,71,285,260,26,71,7,1,7,27,11,6,21,55,.273,.325,.388,.714,101,4,0,2,2,4,4,.320,96,96
10,Hernan Perez\perezhe01,61,49,221,211,23,57,6,1,7,23,5,3,8,38,.270,.295,.408,.703,86,4,0,1,1,1,2,.299,101,91
11,Neil Walker\walkene01,19,16,73,60,7,14,3,0,1,6,0,1,13,15,.233,.370,.333,.703,20,3,0,0,0,0,0,.295,78,97
12,Keon Broxton\broxtke01,68,56,232,206,31,44,6,1,10,24,10,2,20,99,.214,.294,.398,.692,82,1,4,1,1,0,1,.347,93,88
13,Eric Sogard\sogarer01,43,27,141,116,18,27,6,0,1,8,2,1,22,16,.233,.369,.310,.679,36,3,3,0,0,1,1,.263,76,91
14,Lewis Brinson\brinsle01,10,6,29,25,2,3,0,0,2,3,1,0,3,9,.120,.241,.360,.601,9,0,1,0,0,0,0,.071,132,63
15,Jonathan Villar\villajo01,56,39,193,178,18,38,7,0,4,14,10,3,12,53,.213,.262,.320,.582,57,4,0,2,1,1,4,.279,75,60
16,Stephen Vogt\vogtst01,22,16,62,58,3,10,3,0,3,10,0,0,2,11,.172,.197,.379,.576,22,1,0,1,1,0,0,.156,59,53
17,Jett Bandy\bandyje01,27,21,90,80,4,15,1,0,2,6,0,0,9,24,.188,.278,.275,.553,22,3,1,0,0,0,1,.241,76,54
18,Zach Davies\davieza02,15,15,37,23,3,4,1,0,0,2,0,0,3,7,.174,.269,.217,.487,5,1,0,11,0,0,2,.250,144,37
19,Nick Franklin\frankni01,28,9,52,48,3,9,0,1,0,4,0,0,4,11,.188,.250,.229,.479,11,1,0,0,0,0,1,.243,74,34
20,Andrew Susac\susacan01,3,1,5,5,0,1,0,0,0,0,0,0,0,1,.200,.200,.200,.400,1,0,0,0,0,0,0,.250,382,11
21,Wily Peralta\peralwi01,8,2,6,5,0,1,0,0,0,0,0,0,0,1,.200,.200,.200,.400,1,0,0,1,0,0,0,.250,57,11
22,Brent Suter\suterbr01,7,4,8,7,1,1,0,0,0,0,0,0,0,3,.143,.250,.143,.393,1,0,1,0,0,0,0,.250,104,13
23,Matt Garza\garzama01,9,9,16,14,1,2,0,0,0,0,0,0,0,6,.143,.200,.143,.343,2,0,1,1,0,0,0,.250,247,-3
24,Chase Anderson\anderch01,13,13,30,27,1,4,0,0,0,2,0,0,0,14,.148,.148,.148,.296,4,1,0,3,0,0,1,.308,106,-18
25,Jimmy Nelson\nelsoji02,12,12,30,29,0,4,0,0,0,1,0,0,0,18,.138,.138,.138,.276,4,0,0,1,0,0,1,.364,146,-23
26,Tommy Milone\milonto01,2,2,4,3,0,0,0,0,0,0,0,0,1,1,.000,.250,.000,.250,0,0,0,0,0,0,0,.000,-8,-21
27,Kirk Nieuwenhuis\nieuwki01,7,2,12,10,0,0,0,0,0,0,0,0,1,6,.000,.167,.000,.167,0,0,1,0,0,0,0,.000,-35,-48
28,Michael Blazek\blazemi01,4,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
29,Aaron Wilkerson\wilkeaa01,2,2,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
30,Quintin Berry\berryqu01,6,0,3,3,0,0,0,0,0,0,2,1,0,2,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
