Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Tommy Pham\phamth01,66,61,284,244,52,83,15,0,17,45,11,3,33,59,.340,.431,.611,1.042,149,8,6,1,0,0,3,.393,122,183
2,Harrison Bader\baderha01,14,7,36,33,7,10,0,0,3,9,1,0,1,8,.303,.333,.576,.909,19,0,1,0,1,1,0,.304,171,144
3,Jose Martinez\martijo08,52,34,162,143,27,45,10,0,6,19,2,0,18,29,.315,.391,.510,.902,73,5,0,1,0,0,1,.361,102,146
4,Matt Carpenter\carpema01,74,71,312,247,48,60,11,2,14,36,1,1,57,65,.243,.394,.474,.867,117,3,5,2,1,3,2,.272,108,138
5,Stephen Piscotty\piscost01,53,46,203,173,21,45,8,1,8,25,1,2,27,40,.260,.365,.457,.821,79,5,2,0,1,2,0,.294,131,125
6,Dexter Fowler\fowlede01,62,57,258,225,34,59,13,5,7,32,5,2,30,58,.262,.353,.458,.810,103,4,2,0,1,2,6,.323,91,121
7,Jedd Gyorko\gyorkje01,63,56,249,224,26,59,11,1,11,35,5,1,22,54,.263,.329,.469,.798,105,8,1,0,2,1,3,.298,96,117
8,Yadier Molina\molinya01,70,68,282,260,33,70,13,1,11,37,4,2,15,34,.269,.313,.454,.767,118,8,3,1,3,1,3,.271,104,108
9,Aledmys Díaz\diazal02,36,30,134,126,13,37,11,0,2,10,2,0,7,15,.294,.328,.429,.757,54,1,0,0,1,0,1,.318,123,107
10,Magneuris Sierra\sierrma01,13,10,43,40,9,14,0,0,0,3,1,1,3,6,.350,.395,.350,.745,14,0,0,0,0,0,2,.412,120,109
11,Randal Grichuk\grichra01,57,47,212,195,26,44,16,1,9,27,3,1,14,65,.226,.283,.456,.739,89,4,2,0,1,1,1,.287,96,99
12,Paul DeJong\dejonpa01,59,58,250,238,28,55,8,0,14,35,0,0,9,82,.231,.264,.441,.705,105,5,2,0,1,0,2,.287,64,89
13,Adam Wainwright\wainwad01,12,10,25,21,3,5,1,0,1,5,0,0,1,6,.238,.273,.429,.701,9,2,0,3,0,0,0,.286,93,89
14,Matt Adams\adamsma01,14,3,25,25,3,7,0,0,1,3,0,0,0,8,.280,.280,.400,.680,10,0,0,0,0,0,0,.375,64,84
15,Greg Garcia\garcigr01,64,25,142,122,13,29,5,2,1,11,1,1,18,30,.238,.340,.336,.676,41,4,1,1,0,0,1,.308,94,88
16,Kolten Wong\wongko01,55,50,213,186,27,44,11,1,1,23,4,0,19,27,.237,.324,.323,.647,60,1,6,0,2,5,1,.269,65,80
