Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Marco Gonzales\gonzama02,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,0,1.000,300,430
2,Chad Huffman\huffmch01,7,0,7,6,1,2,0,1,0,0,0,0,1,4,.333,.429,.667,1.095,4,0,0,0,0,0,0,1.000,184,182
3,Paul DeJong\dejonpa01,49,46,193,179,27,64,18,1,11,30,1,0,12,42,.358,.404,.654,1.058,117,3,2,0,0,1,1,.421,147,171
4,Kolten Wong\wongko01,53,49,198,168,28,57,16,2,3,19,4,2,22,33,.339,.431,.512,.943,86,3,6,1,1,6,0,.406,139,147
5,Dexter Fowler\fowlede01,56,52,233,195,34,52,9,4,11,32,2,1,33,43,.267,.373,.523,.896,102,6,2,0,3,4,1,.285,110,132
6,Jose Martinez\martijo08,54,29,145,129,20,39,3,1,8,27,2,0,14,31,.302,.366,.527,.893,68,4,0,0,2,2,3,.337,98,131
7,Luke Voit\voitlu01,29,12,64,58,7,14,4,0,4,9,0,0,5,11,.241,.313,.517,.830,30,2,1,0,0,0,0,.233,123,112
8,Jedd Gyorko\gyorkje01,62,55,232,202,26,57,10,1,9,32,1,1,25,51,.282,.353,.475,.829,96,4,0,0,5,0,0,.327,104,115
9,Matt Carpenter\carpema01,71,70,310,250,43,60,20,0,9,33,1,0,52,60,.240,.374,.428,.802,107,2,4,0,4,1,0,.276,92,110
10,Tommy Pham\phamth01,62,55,246,200,43,53,7,2,6,28,14,4,38,58,.265,.388,.410,.798,82,10,4,1,3,0,5,.338,73,111
11,Matt Adams\adamsma01,17,5,28,23,1,7,2,0,0,4,0,0,4,9,.304,.393,.391,.784,9,0,0,0,1,0,0,.467,98,108
12,Randal Grichuk\grichra01,65,53,230,217,27,54,9,2,13,32,3,0,12,68,.249,.287,.488,.775,106,5,0,0,1,2,1,.299,104,98
13,Adam Wainwright\wainwad01,12,11,25,21,4,6,1,0,1,6,0,0,0,9,.286,.286,.476,.762,10,0,0,4,0,0,0,.455,108,95
14,Yadier Molina\molinya01,66,65,261,241,27,67,14,0,7,45,5,2,13,40,.278,.310,.423,.734,102,6,1,0,6,3,0,.300,96,90
15,Greg Garcia\garcigr01,69,27,148,119,14,32,4,0,1,9,1,0,19,34,.269,.389,.328,.717,39,2,5,4,1,0,1,.365,105,92
16,Jhonny Peralta\peraljh01,9,6,25,23,2,7,0,0,0,0,0,0,2,8,.304,.360,.304,.664,7,0,0,0,0,0,0,.467,188,78
17,Aledmys Díaz\diazal02,43,39,167,160,18,37,6,0,5,10,2,1,6,27,.231,.259,.363,.622,58,8,0,1,0,1,1,.250,82,61
18,Stephen Piscotty\piscost01,54,46,198,168,19,35,8,0,1,14,2,4,25,47,.208,.318,.274,.592,46,6,3,0,2,0,2,.279,68,58
19,Mike Leake\leakemi01,14,14,29,23,1,5,1,0,0,1,0,0,2,6,.217,.280,.261,.541,6,2,0,4,0,0,0,.294,164,44
20,Magneuris Sierra\sierrma01,9,4,21,20,1,5,0,0,0,2,1,1,1,8,.250,.286,.250,.536,5,0,0,0,0,0,0,.417,59,43
21,Harrison Bader\baderha01,18,13,56,52,3,10,3,0,0,1,1,1,4,16,.192,.250,.250,.500,13,1,0,0,0,0,0,.278,55,32
22,Tyler Lyons\lyonsty01,24,0,2,1,0,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,0,0,0,0,0,0,0,,,51
23,Eric Fryer\fryerer01,17,8,41,33,3,4,1,0,0,2,0,0,7,7,.121,.293,.152,.444,5,3,1,0,0,0,0,.154,83,23
24,Carlos Martinez\martica04,16,15,33,29,3,4,1,0,0,3,0,0,1,8,.138,.194,.172,.366,5,1,1,2,0,0,0,.190,72,-2
25,Alex Mejia\mejiaal01,17,5,26,25,3,3,0,0,1,2,0,0,0,6,.120,.120,.240,.360,6,0,0,1,0,0,2,.111,120,-9
26,Carson Kelly\kellyca02,16,8,35,31,1,4,0,0,0,2,0,0,3,4,.129,.229,.129,.358,4,2,1,0,0,0,0,.148,55,-2
27,Luke Weaver\weavelu01,8,6,10,8,1,1,0,0,0,1,0,0,1,4,.125,.222,.125,.347,1,0,0,1,0,0,0,.250,90,-5
28,Lance Lynn\lynnla01,15,15,29,25,1,3,1,0,0,0,0,0,1,10,.120,.185,.160,.345,4,0,1,2,0,0,0,.200,217,-8
29,Michael Wacha\wachami01,16,16,31,26,1,1,0,0,0,2,0,0,0,16,.038,.037,.038,.075,1,0,0,4,1,0,1,.091,47,-80
30,Breyvic Valera\valerbr01,1,1,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,-100,-100
31,Jack Flaherty\flaheja01,3,2,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
32,Alberto Rosario\rosaral01,3,0,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,1,0,0,0,0,0,.000,,-100
33,John Gant\gantjo01,3,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
34,Matt Bowman\bowmama01,37,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,,,
35,Sandy Alcantara\alcansa01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
36,Juan Nicasio\nicasju01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
37,Ryan Sherriff\sherrry01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
38,Josh Lucas\lucasjo02,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
