Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Tommy La Stella\lasteto01,37,14,86,71,11,23,4,0,5,16,0,0,11,9,.324,.417,.592,1.008,42,2,1,0,1,0,0,.310,133,174
2,Kris Bryant\bryankr01,72,71,323,266,49,88,23,2,11,32,5,3,46,61,.331,.437,.556,.993,148,2,7,0,4,4,3,.389,110,171
3,Mike Freeman\freemmi01,7,3,14,12,2,4,2,0,0,0,0,0,2,3,.333,.429,.500,.929,6,0,0,0,0,0,0,.444,409,155
4,Willson Contreras\contrwi01,58,48,219,189,28,51,15,0,11,37,5,2,26,49,.270,.367,.524,.891,99,6,3,1,0,0,6,.310,108,142
5,Ian Happ\happia01,53,43,198,179,26,49,12,1,9,29,2,3,14,54,.274,.332,.503,.834,90,5,2,2,1,1,2,.342,99,126
6,Addison Russell\russead02,61,50,216,200,33,56,15,1,7,27,0,1,13,49,.280,.333,.470,.803,94,2,3,0,0,2,1,.340,122,118
7,Alex Avila\avilaal01,14,11,51,40,6,10,1,1,1,6,0,0,10,18,.250,.400,.400,.800,16,1,0,1,0,0,0,.429,93,122
8,Anthony Rizzo\rizzoan01,77,75,347,290,47,66,10,1,17,52,4,4,45,45,.228,.349,.445,.794,129,12,10,0,2,4,1,.213,77,117
9,Javier Baez\baezja01,71,63,256,237,30,65,13,0,10,37,2,0,15,80,.274,.319,.456,.775,108,4,1,2,1,7,2,.372,96,110
10,Jason Heyward\heywaja01,59,54,235,210,28,55,6,2,7,36,1,2,22,33,.262,.335,.410,.744,86,4,1,2,0,1,3,.282,108,104
11,Jon Jay\jayjo02,75,47,233,216,29,62,8,0,1,15,3,2,12,45,.287,.336,.338,.674,73,4,4,1,0,0,2,.359,80,87
12,Kyle Schwarber\schwaky01,61,52,239,209,29,35,6,1,12,23,1,1,27,73,.167,.272,.378,.650,79,4,3,0,0,1,0,.185,67,77
13,Albert Almora\almoral01,66,41,181,167,19,41,6,0,4,13,1,0,11,33,.246,.292,.353,.645,59,6,0,3,0,1,2,.285,66,77
14,Ben Zobrist\zobribe01,59,46,225,195,26,37,10,0,7,27,0,0,27,31,.190,.289,.349,.638,68,8,1,0,2,1,4,.189,84,75
15,Mike Montgomery\montgmi01,16,5,13,11,2,2,0,0,1,1,0,0,0,4,.182,.182,.455,.636,5,0,0,2,0,0,0,.167,135,67
16,Taylor Davis\davista01,2,1,5,5,0,1,1,0,0,1,0,0,0,3,.200,.200,.400,.600,2,0,0,0,0,0,0,.500,117,59
17,Miguel Montero\montemi01,22,15,60,54,3,12,1,0,1,1,1,0,6,16,.222,.300,.296,.596,16,2,0,0,0,1,0,.297,82,66
18,Brett Anderson\anderbr04,2,2,6,5,0,1,0,0,0,1,0,0,1,3,.200,.333,.200,.533,1,0,0,0,0,0,0,.500,173,53
19,Victor Caratini\caratvi01,15,7,37,35,5,7,0,0,1,1,0,0,1,6,.200,.243,.286,.529,10,3,1,0,0,0,0,.214,53,45
20,Jon Lester\lestejo01,12,12,31,26,1,4,3,0,0,2,1,0,3,13,.154,.241,.269,.511,7,0,0,2,0,0,0,.308,123,41
21,Jake Arrieta\arrieja01,18,17,40,38,2,6,0,1,1,4,0,0,1,20,.158,.179,.289,.469,11,0,0,1,0,0,0,.294,159,26
22,Jeimer Candelario\candeje01,10,7,32,29,2,3,1,0,1,2,0,0,1,12,.103,.188,.241,.429,7,0,2,0,0,0,1,.125,9,17
23,Rene Rivera\riverre01,8,5,21,17,0,2,1,0,0,1,0,0,3,10,.118,.250,.176,.426,3,0,0,1,0,0,0,.286,23,21
24,John Lackey\lackejo01,15,15,33,28,2,5,0,0,0,1,0,0,2,12,.179,.233,.179,.412,5,0,0,3,0,0,0,.313,149,16
25,Matt Szczur\szczuma01,7,0,8,7,2,1,0,0,0,0,0,0,1,2,.143,.250,.143,.393,1,0,0,0,0,0,0,.200,12,13
26,Kyle Hendricks\hendrky01,10,10,24,24,2,4,1,0,0,3,0,0,0,11,.167,.167,.208,.375,5,0,0,0,0,0,0,.308,240,3
27,Eddie Butler\butleed01,5,5,10,8,0,1,0,0,0,0,0,0,1,5,.125,.222,.125,.347,1,0,0,1,0,0,0,.333,264,0
28,Leonys Martín\martile01,10,1,10,7,2,0,0,0,0,0,1,0,3,2,.000,.300,.000,.300,0,0,0,0,0,0,0,.000,29,-6
29,Mark Zagunis\zagunma01,7,4,18,14,0,0,0,0,0,1,2,0,4,6,.000,.222,.000,.222,0,0,0,0,0,0,1,.000,,-30
30,Jose Quintana\quintjo01,5,5,12,11,0,1,0,0,0,0,0,0,0,8,.091,.091,.091,.182,1,0,0,1,0,0,0,.333,96,-50
31,Dylan Floro\florody01,1,0,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
32,Brian Duensing\duensbr01,31,0,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
33,Justin Grimm\grimmju01,23,0,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,1,0,0,0,0,0,.000,,-100
34,Jen-Ho Tseng\tsengje01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
35,Dillon Maples\mapledi01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
36,Rob Zastryzny\zastrro01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
37,Justin Wilson\wilsoju10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
38,Felix Pena\penafe01,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
39,Hector Rondon\rondohe01,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
40,Wade Davis\daviswa01,19,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
41,Koji Uehara\ueharko01,18,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
42,Pedro Strop\stroppe01,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
43,Carl Edwards Jr.\edwarca01,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
,Team Total,1141,729,3187,2804,386,692,139,10,107,369,29,18,308,719,.247,.329,.418,.747,1172,66,39,23,11,23,28,.294,93,104
