Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Rene Rivera\riverre01,12,6,29,27,8,13,4,0,2,11,0,0,2,6,.481,.517,.852,1.369,23,1,0,0,0,0,0,.579,267,250
2,Jeimer Candelario\candeje01,1,1,4,4,0,2,1,0,0,1,0,0,0,0,.500,.500,.750,1.250,3,1,0,0,0,0,0,.500,216,222
3,Miguel Montero\montemi01,22,13,52,44,9,16,2,0,3,7,0,0,5,8,.364,.442,.614,1.056,27,1,2,0,1,0,1,.382,220,173
4,Anthony Rizzo\rizzoan01,80,80,344,282,52,90,22,2,15,57,6,0,46,45,.319,.436,.571,1.007,161,9,14,0,2,7,0,.335,124,162
5,Hector Rondon\rondohe01,31,0,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,1,0,0,0,0,0,0,.500,100,165
6,Albert Almora\almoral01,66,24,142,132,20,48,12,1,4,33,0,0,8,20,.364,.394,.561,.955,74,2,0,0,2,0,2,.400,143,147
7,Kyle Schwarber\schwaky01,68,57,247,213,38,54,10,0,18,36,0,0,32,77,.254,.356,.554,.910,118,2,2,0,0,0,2,.305,132,134
8,Victor Caratini\caratvi01,16,3,29,24,1,8,3,0,0,1,0,0,3,7,.333,.448,.458,.907,11,0,2,0,0,1,1,.471,163,140
9,Kris Bryant\bryankr01,79,78,342,283,62,74,15,2,18,41,2,2,49,67,.261,.383,.519,.902,147,6,8,0,2,1,2,.280,90,134
10,Ian Happ\happia01,62,46,215,185,36,43,5,2,15,39,6,1,25,75,.232,.326,.524,.850,97,7,2,0,3,4,2,.286,101,118
11,Jon Jay\jayjo02,66,41,200,163,36,50,10,3,1,19,3,0,25,35,.307,.419,.423,.843,69,7,8,2,2,3,2,.380,125,123
12,Leonys Martín\martile01,5,0,6,6,0,2,1,0,0,1,0,0,0,2,.333,.333,.500,.833,3,0,0,0,0,0,0,.500,222,115
13,Javier Baez\baezja01,74,64,252,232,45,63,11,2,13,38,8,3,15,64,.272,.315,.504,.819,117,6,0,4,1,8,5,.321,104,110
14,Willson Contreras\contrwi01,59,47,209,188,22,53,6,0,10,37,0,2,19,49,.282,.344,.473,.818,89,7,0,0,2,2,4,.328,91,112
15,Ben Zobrist\zobribe01,69,59,271,240,32,64,10,3,5,23,2,2,27,40,.267,.342,.396,.738,95,5,1,2,1,1,4,.301,113,93
