Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Ildemaro Vargas\vargail01,6,0,7,7,4,4,1,0,0,4,0,0,0,1,.571,.571,.714,1.286,5,0,0,0,0,0,0,.667,271,252
2,Jeremy Hazelbaker\hazelje01,16,3,27,23,5,8,0,1,2,7,0,0,4,7,.348,.444,.696,1.140,16,0,0,0,0,0,1,.429,121,207
3,Archie Bradley\bradlar01,27,0,2,2,0,1,0,0,0,1,0,0,0,0,.500,.500,.500,1.000,1,0,0,0,0,0,0,.500,300,178
4,Chris Iannetta\iannech01,47,37,166,141,21,36,11,0,10,16,0,0,23,45,.255,.361,.546,.908,77,3,1,0,1,0,1,.299,109,145
5,Christian Walker\walkech02,4,0,5,4,0,1,1,0,0,0,0,0,0,3,.250,.400,.500,.900,2,0,1,0,0,0,0,1.000,60,146
6,J.D. Martinez\martijd02,32,32,132,122,18,29,4,1,13,31,0,0,9,41,.238,.288,.607,.894,74,9,0,0,1,2,0,.232,65,137
7,Paul Goldschmidt\goldspa01,77,76,328,284,45,78,11,1,16,59,9,3,37,73,.275,.363,.489,.852,139,5,4,0,3,5,3,.313,77,132
8,Jake Lamb\lambja01,76,73,323,268,41,67,14,3,14,49,4,3,47,81,.250,.368,.481,.850,129,7,5,0,3,7,0,.301,102,132
9,Nick Ahmed\ahmedni01,25,20,85,79,10,22,2,1,3,13,1,0,6,20,.278,.329,.443,.772,35,4,0,0,0,1,1,.339,116,110
10,David Peralta\peralda01,69,61,285,259,39,75,11,2,6,24,2,3,20,44,.290,.347,.417,.764,108,4,4,0,2,0,4,.327,93,110
11,AJ Pollock\polloaj01,56,50,230,205,31,51,14,3,5,16,9,4,22,32,.249,.330,.420,.750,86,2,3,0,0,0,6,.274,89,105
12,Ketel Marte\marteke01,36,29,124,107,16,26,3,1,4,8,3,0,16,12,.243,.339,.402,.741,43,1,0,0,1,1,1,.239,100,104
13,Adam Rosales\rosalad01,17,11,49,47,6,11,4,0,2,7,0,1,1,18,.234,.250,.447,.697,21,2,0,1,0,1,0,.333,123,86
14,Gregor Blanco\blancgr01,43,28,133,118,22,29,1,1,3,9,6,1,14,33,.246,.326,.347,.673,41,1,0,1,0,0,0,.317,94,86
15,Brandon Drury\drurybr01,69,57,244,233,15,55,14,0,6,26,0,1,9,56,.236,.266,.373,.640,87,8,1,0,1,1,3,.285,67,74
16,Daniel Descalso\descada01,61,39,188,163,19,31,10,2,3,22,0,0,19,40,.190,.287,.331,.619,54,4,4,0,2,0,1,.230,70,70
17,Rey Fuentes\fuentre01,33,15,79,74,9,17,1,0,2,6,2,1,4,16,.230,.269,.324,.594,24,0,0,1,0,0,0,.268,93,63
18,Chris Owings\owingch01,46,44,187,178,12,39,10,0,4,14,2,1,6,43,.219,.247,.343,.590,61,2,1,1,1,0,2,.265,60,60
19,Taijuan Walker\walketa01,13,13,31,30,4,8,1,0,0,4,0,0,0,12,.267,.267,.300,.567,9,1,0,1,0,0,1,.444,106,56
20,Yasmany Tomás\tomasya01,24,21,90,82,5,15,3,0,2,7,0,0,8,33,.183,.256,.293,.548,24,1,0,0,0,0,2,.277,50,51
21,Kristopher Negron\negrokr01,8,5,24,20,3,3,1,0,0,1,0,0,3,5,.150,.292,.200,.492,4,1,1,0,0,0,0,.200,97,40
22,Robbie Ray\rayro02,14,14,34,28,3,6,1,0,0,2,0,0,1,13,.214,.241,.250,.491,7,0,0,5,0,0,0,.400,73,36
23,Chris Herrmann\herrmch01,52,27,131,113,17,15,3,0,3,6,4,0,18,41,.133,.252,.239,.491,27,1,0,0,0,0,1,.174,62,37
24,Jeff Mathis\mathije01,31,29,102,95,5,17,4,0,0,3,0,0,5,31,.179,.235,.221,.456,21,3,2,0,0,0,0,.266,53,27
25,Zack Greinke\greinza01,11,11,28,27,1,5,2,0,0,0,0,0,0,7,.185,.185,.259,.444,7,0,0,1,0,0,0,.250,70,21
26,T.J. McFarland\mcfartj01,20,0,5,5,0,1,0,0,0,0,0,0,0,3,.200,.200,.200,.400,1,0,0,0,0,0,0,.500,100,11
27,Shelby Miller\millesh01,2,2,6,4,1,0,0,0,0,0,0,0,2,2,.000,.333,.000,.333,0,0,0,0,0,0,0,.000,,5
28,Patrick Corbin\corbipa01,14,14,31,24,2,1,0,0,0,0,0,0,4,16,.042,.179,.042,.220,1,0,0,3,0,0,1,.125,11,-34
29,Zack Godley\godleza01,12,12,26,21,0,1,0,0,0,1,0,0,0,11,.048,.048,.048,.095,1,0,0,5,0,0,0,.100,53,-73
30,Anthony Banda\bandaan01,2,1,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
