Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Christian Walker\walkech02,7,1,10,8,2,2,0,0,2,2,0,0,1,2,.250,.400,1.000,1.400,8,0,1,0,0,0,0,.000,120,249
2,J.D. Martinez\martijd02,30,29,125,110,29,41,9,0,16,34,2,0,15,33,.373,.448,.891,1.339,98,4,0,0,0,1,1,.410,148,238
3,Paul Goldschmidt\goldspa01,78,76,337,274,72,88,23,2,20,61,9,2,57,74,.321,.443,.639,1.082,175,9,4,0,1,10,2,.376,123,179
4,Yasmany Tomás\tomasya01,23,21,90,84,14,25,8,1,6,25,0,0,5,17,.298,.333,.631,.964,53,1,0,0,1,0,1,.306,149,144
5,Jeremy Hazelbaker\hazelje01,25,4,34,29,5,10,2,1,0,3,1,0,5,13,.345,.441,.483,.924,14,0,0,0,0,2,0,.625,83,143
6,Brandon Drury\drurybr01,66,56,236,212,26,64,23,2,7,37,1,0,19,47,.302,.369,.528,.897,112,1,4,0,1,0,1,.358,135,132
7,Chris Owings\owingch01,51,45,199,184,29,58,15,1,8,37,10,1,11,44,.315,.348,.538,.887,99,1,0,1,3,0,4,.370,138,128
8,AJ Pollock\polloaj01,56,50,236,220,42,62,19,3,9,33,11,2,13,39,.282,.331,.518,.849,114,6,3,0,0,1,1,.308,110,118
9,Jake Lamb\lambja01,73,71,312,268,48,66,16,1,16,56,2,1,40,71,.246,.346,.493,.839,132,8,2,0,2,6,4,.273,98,117
10,David Peralta\peralda01,71,63,292,266,43,79,20,1,8,33,6,1,23,50,.297,.356,.470,.826,125,3,2,0,1,1,2,.340,107,115
11,Daniel Descalso\descada01,69,44,210,181,28,49,6,3,7,29,4,0,29,49,.271,.371,.453,.824,82,2,0,0,0,0,0,.336,126,115
12,Chris Iannetta\iannech01,42,33,150,131,17,33,8,0,7,27,0,0,14,42,.252,.347,.473,.820,62,0,5,0,0,0,1,.317,91,113
13,Jeff Mathis\mathije01,29,27,101,91,8,23,6,2,2,8,1,0,9,30,.253,.320,.429,.749,39,3,0,1,0,1,0,.356,148,94
14,Chris Herrmann\herrmch01,54,27,125,113,18,26,4,0,7,21,1,0,11,26,.230,.296,.451,.747,51,0,0,0,1,0,0,.235,139,92
15,Ketel Marte\marteke01,37,30,131,116,14,32,8,1,1,10,0,1,13,25,.276,.351,.388,.739,45,2,1,0,1,2,1,.341,100,94
16,Gregor Blanco\blancgr01,47,24,123,106,21,26,9,2,0,4,9,0,17,26,.245,.350,.368,.718,39,1,0,0,0,0,1,.325,107,89
17,Nick Ahmed\ahmedni01,28,21,93,88,14,20,6,0,3,8,2,4,4,19,.227,.269,.398,.667,35,2,1,0,0,2,0,.258,85,72
18,Robbie Ray\rayro02,13,13,27,25,2,7,1,0,0,0,0,0,2,10,.280,.333,.320,.653,8,0,0,0,0,0,1,.467,130,73
19,Rey Fuentes\fuentre01,31,14,66,62,10,15,0,2,1,3,2,0,4,19,.242,.288,.355,.643,22,0,0,0,0,0,1,.333,109,68
20,Zack Greinke\greinza01,19,18,42,35,3,8,2,0,0,4,0,0,2,11,.229,.289,.286,.575,10,0,1,4,0,0,0,.333,122,52
21,Taijuan Walker\walketa01,12,12,23,22,2,4,0,0,1,1,0,0,1,7,.182,.217,.318,.536,7,0,0,0,0,0,0,.214,92,38
22,Kristopher Negron\negrokr01,6,1,7,5,0,1,0,0,0,0,0,0,1,2,.200,.333,.200,.533,1,0,0,1,0,0,1,.333,111,46
23,Patrick Corbin\corbipa01,19,17,39,32,4,6,0,1,0,0,0,0,2,12,.188,.235,.250,.485,8,0,0,5,0,0,0,.300,167,28
24,Adam Rosales\rosalad01,17,10,40,37,4,6,1,0,1,2,0,0,0,16,.162,.200,.270,.470,10,2,2,0,1,0,0,.238,53,22
25,John Ryan Murphy\murphjr01,3,1,7,7,0,1,1,0,0,1,0,0,0,1,.143,.143,.286,.429,2,1,0,0,0,0,0,.167,100,8
26,Shelby Miller\millesh01,2,2,3,2,1,0,0,0,0,0,0,0,0,1,.000,.333,.000,.333,0,0,1,0,0,0,0,.000,,0
27,Zack Godley\godleza01,13,12,27,21,1,1,0,0,0,1,0,0,2,15,.048,.130,.048,.178,1,0,0,4,0,0,0,.167,143,-50
28,Randall Delgado\delgara01,14,3,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
29,Braden Shipley\shiplbr01,6,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
30,Archie Bradley\bradlar01,33,0,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,0,,-100,-100
31,Ildemaro Vargas\vargail01,6,0,6,6,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,1,0,0,0,0,0,.000,-100,-100
32,Anthony Banda\bandaan01,5,3,4,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,1,0,0,0,,,-100
33,Tom Wilhelmsen\wilheto01,17,0,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
34,Andrew Chafin\chafian01,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
35,Silvino Bracho\brachsi01,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
36,J.J. Hoover\hoovejj01,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
37,James Sherfy\sherfji01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
38,Fernando Rodney\rodnefe01,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
39,Jorge De La Rosa\rosajo01,38,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,,,
40,David Hernandez\hernada01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
41,Jake Barrett\barreja01,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
42,Rubby De La Rosa\delarru01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
43,T.J. McFarland\mcfartj01,21,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
,Team Total,1212,729,3104,2746,457,753,187,23,122,440,61,12,300,712,.274,.350,.492,.842,1352,47,27,18,12,26,22,.328,117,118
