Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Brock Stewart\stewabr01,10,3,3,2,0,1,0,0,0,1,0,0,0,1,.500,.500,.500,1.000,1,0,0,1,0,0,0,1.000,300,178
2,Chris Taylor\tayloch03,70,62,296,265,52,89,13,4,14,47,10,3,29,69,.336,.405,.574,.979,152,2,2,0,0,0,3,.412,130,166
3,Cody Bellinger\bellico01,64,63,280,249,43,66,15,3,20,46,6,1,30,85,.265,.346,.590,.937,147,4,1,0,0,8,1,.319,100,151
4,Justin Turner\turneju01,71,68,300,254,40,81,18,0,11,36,3,0,29,28,.319,.408,.520,.928,132,9,12,1,4,2,1,.320,96,154
5,Yasiel Puig\puigya01,78,72,309,271,38,74,15,0,14,34,10,2,33,60,.273,.353,.483,.836,131,10,2,0,3,5,3,.300,101,127
6,Austin Barnes\barneau01,53,27,135,115,12,32,11,1,2,16,2,0,16,22,.278,.385,.443,.829,51,3,4,0,0,1,0,.330,86,128
7,Corey Seager\seageco01,72,65,304,267,35,77,13,0,10,36,2,2,33,57,.288,.368,.449,.818,120,10,2,0,2,1,1,.332,92,124
8,Trayce Thompson\thomptr01,13,7,30,24,5,5,2,0,1,2,0,0,6,9,.208,.367,.417,.783,10,0,0,0,0,1,0,.286,226,116
9,Brett Eibner\eibnebr01,9,3,18,16,2,4,0,0,1,2,0,0,2,6,.250,.333,.438,.771,7,0,0,0,0,0,0,.333,154,110
10,Franklin Gutierrez\gutiefr01,17,6,30,25,5,6,3,0,0,2,0,1,5,5,.240,.367,.360,.727,9,2,0,0,0,0,0,.300,122,102
11,Enrique Hernandez\hernaen02,70,33,160,139,17,30,11,0,4,17,1,0,18,37,.216,.300,.381,.681,53,2,0,0,3,1,0,.257,88,86
12,Curtis Granderson\grandcu01,23,22,90,77,11,12,1,0,6,11,2,0,13,21,.156,.278,.403,.680,31,1,0,0,0,0,3,.120,75,85
13,Yasmani Grandal\grandya01,63,55,243,213,21,43,12,0,9,23,0,1,28,69,.202,.293,.385,.678,82,3,0,1,1,0,1,.250,79,85
14,Joc Pederson\pederjo01,50,35,160,139,18,29,12,0,3,14,2,2,16,34,.209,.313,.360,.672,50,2,5,0,0,0,0,.255,83,85
15,Kyle Farmer\farmeky01,10,0,9,9,1,3,0,0,0,0,0,0,0,2,.333,.333,.333,.667,3,1,0,0,0,0,0,.429,106,85
16,Chase Utley\utleych01,66,43,183,163,20,34,7,4,4,17,0,0,14,31,.209,.290,.374,.664,61,2,5,0,1,0,0,.233,82,81
17,Logan Forsythe\forsylo01,58,48,221,177,26,38,7,0,2,14,2,1,42,54,.215,.367,.288,.655,51,5,1,0,1,0,2,.295,93,85
