Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Kenley Jansen\janseke01,33,0,2,2,0,2,1,0,0,1,0,0,0,0,1.000,1.000,1.500,2.500,3,0,0,0,0,0,0,1.000,300,544
2,Andre Ethier\ethiean01,7,4,14,12,1,4,0,0,1,1,0,0,2,3,.333,.429,.583,1.012,7,0,0,0,0,1,0,.375,168,162
3,Austin Barnes\barneau01,49,26,127,103,23,31,4,1,6,22,2,1,23,21,.301,.433,.534,.967,55,3,1,0,0,0,1,.329,116,152
4,Justin Turner\turneju01,59,56,243,203,32,66,14,0,10,35,4,1,30,28,.325,.424,.542,.966,110,3,7,0,3,3,1,.333,104,152
5,Cody Bellinger\bellico01,68,64,268,231,44,62,11,1,19,51,4,2,34,61,.268,.358,.571,.930,132,1,0,0,3,5,1,.279,100,138
6,Corey Seager\seageco01,73,70,309,272,50,82,20,0,12,41,2,0,34,74,.301,.382,.507,.889,138,4,2,0,1,4,2,.374,108,131
7,Andrew Toles\tolesan01,16,12,59,56,13,18,2,0,3,7,0,1,2,10,.321,.356,.518,.874,29,1,1,0,0,0,0,.349,127,126
8,Yasmani Grandal\grandya01,66,58,239,225,29,65,15,0,13,35,0,0,12,61,.289,.322,.529,.851,119,7,0,0,2,0,0,.340,120,118
9,O'Koyea Dickson\dicksok01,5,0,4,3,0,1,0,0,0,0,0,0,1,1,.333,.500,.333,.833,1,0,0,0,0,0,0,.500,283,127
10,Yasiel Puig\puigya01,74,63,261,228,34,57,9,2,14,40,5,4,31,40,.250,.337,.491,.828,112,11,0,0,2,3,3,.244,98,114
11,Joc Pederson\pederjo01,52,39,163,134,26,29,8,0,8,21,2,1,23,34,.216,.350,.455,.805,61,5,5,0,1,1,0,.226,118,109
12,Chase Utley\utleych01,61,38,170,146,23,39,13,0,4,17,6,1,18,26,.267,.361,.438,.799,64,1,4,1,1,0,1,.299,120,109
13,Enrique Hernandez\hernaen02,70,38,182,158,29,34,13,2,7,20,2,0,23,43,.215,.315,.456,.771,72,2,0,1,0,1,1,.250,111,99
14,Scott Van Slyke\vanslsc01,12,2,16,11,3,1,0,0,1,1,1,0,5,3,.091,.375,.364,.739,4,0,0,0,0,1,1,.000,174,96
15,Alex Verdugo\verdual01,6,0,7,7,1,1,0,0,1,1,0,0,0,3,.143,.143,.571,.714,4,0,0,0,0,0,0,.000,147,73
16,Chris Taylor\tayloch03,70,63,272,249,33,59,21,1,7,25,7,1,21,73,.237,.298,.414,.711,103,0,1,0,1,0,4,.306,68,84
