Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Austin Slater\slateau01,14,13,47,43,5,16,2,1,0,6,0,0,3,11,.372,.426,.465,.891,20,0,1,0,0,0,1,.500,141,135
2,Buster Posey\poseybu01,69,63,266,229,30,79,18,0,3,39,3,0,30,28,.345,.421,.463,.884,106,5,3,0,4,7,0,.376,106,133
3,Jarrett Parker\parkeja03,30,28,107,98,9,30,10,1,2,20,1,1,8,24,.306,.364,.490,.854,48,1,1,0,0,2,0,.389,142,122
4,Tim Federowicz\federti01,6,1,8,7,1,1,0,0,1,1,0,0,1,4,.143,.250,.571,.821,4,0,0,0,0,0,0,.000,70,106
5,Pablo Sandoval\sandopa01,24,22,86,81,11,25,7,0,2,10,0,0,3,16,.309,.337,.469,.806,38,3,1,0,1,0,0,.359,155,109
6,Brandon Belt\beltbr01,50,49,220,187,32,42,13,1,8,18,1,1,32,45,.225,.341,.433,.774,81,5,1,0,0,0,1,.254,88,102
7,Ty Blach\blachty01,20,13,27,24,2,7,1,0,1,6,0,0,1,9,.292,.308,.458,.766,11,0,0,1,1,0,0,.400,142,97
8,Brandon Crawford\crawfbr01,73,67,278,248,30,68,19,1,6,46,2,2,23,56,.274,.331,.431,.762,107,6,1,0,6,1,0,.323,116,98
9,Chris Marrero\marrech01,6,3,14,13,1,3,0,0,1,2,0,0,1,2,.231,.286,.462,.747,6,2,0,0,0,0,0,.200,286,92
10,Hunter Pence\pencehu01,65,58,255,233,32,65,10,3,4,29,2,1,18,46,.279,.329,.399,.729,93,0,1,0,3,1,4,.328,108,90
11,Eduardo Nunez\nunezed02,37,36,153,146,16,44,9,0,1,18,9,3,5,12,.301,.327,.384,.710,56,4,1,0,1,0,1,.321,79,86
12,Denard Span\spande01,69,62,289,264,37,67,16,2,6,22,6,5,21,35,.254,.313,.398,.710,105,7,2,1,1,0,2,.272,88,85
13,Kelby Tomlinson\tomlike01,58,19,117,104,16,28,2,1,1,7,7,1,11,24,.269,.336,.337,.673,35,5,0,1,1,1,0,.338,109,78
14,Joe Panik\panikjo01,65,60,260,233,24,58,12,3,0,17,1,0,21,24,.249,.310,.326,.636,76,6,1,2,3,2,2,.274,67,68
15,Miguel Gomez\gomezmi01,17,4,26,26,3,7,2,0,0,1,0,0,0,5,.269,.269,.346,.615,9,0,0,0,0,0,0,.333,129,60
16,Conor Gillaspie\gillaco01,25,10,58,53,6,11,4,0,1,5,0,0,4,7,.208,.276,.340,.615,18,1,1,0,0,0,2,.222,145,61
17,Madison Bumgarner\bumgama01,8,8,17,16,2,3,0,0,1,2,0,0,1,8,.188,.235,.375,.610,6,0,0,0,0,0,0,.286,74,56
18,Mike Morse\morsemi01,11,5,23,21,1,4,1,0,1,3,0,0,1,6,.190,.217,.381,.598,8,0,0,0,1,0,0,.200,111,52
19,Nick Hundley\hundlni01,53,31,149,140,10,30,7,0,4,17,0,0,6,44,.214,.245,.350,.595,49,2,0,2,1,1,1,.280,74,54
20,Gorkys Hernandez\hernago01,66,34,158,143,19,34,8,0,0,9,4,1,12,35,.238,.299,.294,.593,42,2,1,1,1,1,2,.312,82,57
21,Mac Williamson\willima11,12,7,27,26,2,6,2,0,0,1,0,0,1,12,.231,.259,.308,.567,8,0,0,0,0,0,1,.429,68,48
22,Justin Ruggiano\ruggiju01,9,9,36,36,1,8,0,0,1,1,1,1,0,11,.222,.222,.306,.528,11,0,0,0,0,0,0,.292,85,37
23,Christian Arroyo\arroych01,17,16,68,63,3,11,1,0,2,5,1,2,3,15,.175,.221,.286,.506,18,3,1,0,1,0,1,.191,85,32
24,Jae-gyun Hwang\hwangja01,6,5,17,16,1,2,0,0,1,2,0,0,1,2,.125,.176,.313,.489,5,1,0,0,0,0,0,.077,113,25
25,Matt Cain\cainma01,15,12,21,19,1,4,1,0,0,0,0,0,0,14,.211,.211,.263,.474,5,0,0,2,0,0,0,.800,155,24
26,Ryder Jones\jonesry01,31,25,99,91,7,14,1,2,1,4,0,0,5,30,.154,.222,.242,.464,22,3,3,0,0,2,1,.217,80,22
27,Chris Stratton\stratch01,7,5,9,9,1,2,0,0,0,0,0,0,0,0,.222,.222,.222,.444,2,0,0,0,0,0,0,.222,211,18
28,Aaron Hill\hillaa01,14,7,37,32,4,4,0,1,0,1,0,0,4,7,.125,.216,.188,.404,6,0,0,0,1,0,1,.154,66,8
29,Orlando Calixte\calixor01,16,5,24,22,3,4,1,0,0,5,1,0,0,8,.182,.174,.227,.401,5,0,0,1,1,0,1,.267,133,4
30,Drew Stubbs\stubbdr01,6,5,19,17,0,2,0,0,0,0,0,0,2,6,.118,.211,.118,.328,2,0,0,0,0,0,0,.182,156,-10
31,Carlos Moncrief\moncrca01,15,4,25,22,2,3,0,0,0,3,0,0,1,11,.136,.160,.136,.296,3,0,0,0,2,0,0,.231,20,-21
32,Matt Moore\moorema02,17,16,28,26,1,3,0,0,0,2,0,0,1,9,.115,.148,.115,.264,3,2,0,1,0,0,0,.176,81,-29
33,Jeff Samardzija\samarje01,17,15,33,31,2,3,1,0,0,0,0,0,0,13,.097,.097,.129,.226,4,0,0,2,0,0,0,.167,78,-41
34,Johnny Cueto\cuetojo01,12,12,22,18,1,1,0,0,0,1,0,0,0,7,.056,.053,.056,.108,1,0,0,3,1,0,0,.083,15,-71
35,Steven Okert\okertst01,23,0,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
36,George Kontos\kontoge01,25,0,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
37,Cory Gearrin\gearrco01,37,0,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
38,Albert Suarez\suareal01,9,0,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
39,Roberto Gomez\gomezro01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
40,Neil Ramirez\ramirne01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
41,Reyes Moronta\moronre01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
