Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Jose Ramirez\ramirjo01,75,75,326,298,57,96,27,5,19,46,9,2,24,44,.322,.374,.638,1.012,190,8,2,0,2,3,4,.325,109,171
2,Austin Jackson\jacksau01,44,42,176,156,26,56,14,3,5,23,2,0,19,28,.359,.426,.583,1.009,91,5,0,0,1,0,1,.411,131,174
3,Corey Kluber\klubeco01,1,1,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,1,0,0,0,0,0,0,.500,100,178
4,Lonnie Chisenhall\chiselo01,38,27,130,109,17,33,9,1,6,20,2,2,17,25,.303,.398,.569,.967,62,1,1,2,1,0,0,.342,120,162
5,Jay Bruce\bruceja01,21,19,81,73,14,22,7,2,3,14,1,0,7,17,.301,.358,.575,.933,42,2,0,0,1,0,0,.352,124,151
6,Edwin Encarnacion\encared01,77,75,335,282,58,74,9,1,23,57,1,0,48,63,.262,.376,.546,.922,154,6,4,0,1,3,2,.259,108,150
7,Carlos Santana\santaca01,79,78,354,295,52,83,22,1,12,43,2,1,54,48,.281,.398,.485,.883,143,9,4,0,1,4,1,.301,116,142
8,Yan Gomes\gomesya01,54,50,207,186,25,50,10,0,9,34,0,0,13,45,.269,.335,.468,.803,87,4,6,1,1,0,2,.308,126,118
9,Francisco Lindor\lindofr01,79,79,370,342,42,87,18,2,17,42,7,3,20,50,.254,.302,.468,.769,160,8,4,2,2,4,3,.253,82,108
10,Greg Allen\allengr01,12,3,24,22,4,6,1,0,1,6,1,0,1,6,.273,.292,.455,.746,10,0,0,0,1,0,0,.313,136,102
11,Michael Martinez\martimi02,12,2,13,10,1,3,0,0,0,0,0,1,2,5,.300,.417,.300,.717,3,0,0,1,0,0,0,.600,218,103
12,Jason Kipnis\kipnija01,44,42,183,167,20,40,11,0,7,21,2,1,10,36,.240,.280,.431,.711,72,0,1,1,4,0,0,.258,100,92
13,Michael Brantley\brantmi02,38,37,161,147,17,40,7,0,3,16,7,1,12,20,.272,.329,.381,.710,56,1,1,0,1,0,2,.296,78,95
14,Brandon Guyer\guyerbr01,35,24,102,89,9,20,5,1,2,12,1,0,5,26,.225,.317,.371,.688,33,1,7,1,0,0,1,.295,111,89
15,Erik Gonzalez\gonzaer01,26,13,59,56,8,12,2,0,3,6,0,0,2,17,.214,.237,.411,.648,23,0,0,0,1,0,0,.243,86,74
16,Bradley Zimmer\zimmebr01,49,36,163,145,17,32,5,1,3,14,8,0,17,54,.221,.301,.331,.632,48,2,0,0,1,0,1,.326,84,74
17,Yandy Díaz\diazya01,23,22,89,74,11,17,2,0,0,8,1,0,13,16,.230,.348,.257,.605,19,3,1,0,1,0,2,.288,78,71
18,Gio Urshela\urshegi01,35,22,96,92,8,22,5,0,1,7,0,0,3,12,.239,.263,.326,.589,30,3,0,1,0,0,1,.266,114,61
19,Francisco Mejia\mejiafr01,4,1,7,7,1,2,0,0,0,1,0,0,0,0,.286,.286,.286,.571,2,0,0,0,0,0,0,.286,219,59
20,Roberto Perez\perezro02,34,31,119,111,7,22,7,0,2,15,0,1,7,38,.198,.244,.315,.559,35,1,0,0,1,0,1,.278,68,53
21,Tyler Naquin\naquity01,11,7,31,28,4,6,2,0,0,1,0,1,2,5,.214,.258,.286,.544,8,1,0,0,1,0,1,.250,109,50
22,Abraham Almonte\almonab01,37,26,106,92,12,13,3,0,1,6,1,0,12,28,.141,.248,.207,.454,19,1,1,1,0,0,1,.190,36,28
23,Daniel Robertson\roberda09,14,8,39,34,1,4,2,1,0,3,0,0,4,1,.118,.211,.235,.446,8,3,0,1,0,1,1,.121,43,23
24,Josh Tomlin\tomlijo01,3,3,7,7,0,1,0,0,0,0,0,0,0,3,.143,.143,.143,.286,1,0,0,0,0,0,0,.250,100,-21
25,Carlos Carrasco\carraca01,2,2,5,4,1,0,0,0,0,0,0,0,1,1,.000,.200,.000,.200,0,0,0,0,0,0,0,.000,,-37
26,Trevor Bauer\bauertr01,2,2,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
27,Mike Clevinger\clevimi01,2,2,3,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,1,0,0,0,.000,,-100
