Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Michael Martinez\martimi02,2,0,1,1,0,1,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0,0,0,0,0,0,1.000,1340,658
2,Abraham Almonte\almonab01,32,22,89,80,14,27,5,3,2,8,1,1,8,18,.338,.393,.550,.943,44,1,0,0,1,0,1,.410,175,144
3,Francisco Lindor\lindofr01,80,80,353,309,57,91,26,2,16,47,8,0,40,43,.294,.374,.547,.921,169,3,0,3,1,2,3,.299,119,138
4,Jose Ramirez\ramirjo01,77,76,319,287,50,90,29,1,10,37,8,3,28,25,.314,.373,.526,.899,151,5,1,0,3,2,1,.314,90,132
5,Michael Brantley\brantmi02,52,50,214,191,30,61,13,1,6,36,4,0,19,30,.319,.379,.492,.871,94,7,1,0,3,3,2,.348,117,127
6,Edwin Encarnacion\encared01,80,80,334,272,38,69,11,0,15,50,1,0,56,70,.254,.378,.460,.838,125,12,1,0,4,2,4,.283,92,119
7,Lonnie Chisenhall\chiselo01,44,33,140,127,17,35,8,0,6,33,0,0,8,30,.276,.324,.480,.804,61,5,2,1,2,2,1,.312,82,107
8,Roberto Perez\perezro02,39,35,129,106,15,23,5,0,6,23,0,0,19,33,.217,.336,.434,.770,46,3,0,4,0,0,0,.254,132,100
9,Daniel Robertson\roberda09,18,13,49,46,8,14,2,0,1,4,0,1,3,2,.304,.347,.413,.760,19,3,0,0,0,0,1,.302,143,99
10,Bradley Zimmer\zimmebr01,52,37,169,154,24,40,10,1,5,25,10,1,9,45,.260,.314,.435,.749,67,3,4,0,2,1,3,.330,115,94
11,Carlos Santana\santaca01,75,75,313,276,38,65,15,2,11,36,3,0,34,46,.236,.323,.424,.747,117,2,2,0,1,2,3,.245,82,94
12,Yandy Díaz\diazya01,26,23,90,82,14,24,6,1,0,5,1,0,8,19,.293,.356,.390,.746,32,2,0,0,0,0,0,.381,120,96
13,Erik Gonzalez\gonzaer01,34,12,56,54,10,16,4,0,1,5,1,2,1,20,.296,.309,.426,.735,23,1,0,1,0,0,0,.455,116,90
14,Jason Kipnis\kipnija01,46,45,190,169,23,38,14,0,5,14,4,1,18,35,.225,.302,.396,.698,67,0,1,1,1,0,4,.254,99,81
15,Austin Jackson\jacksau01,41,37,142,124,20,33,5,0,2,12,1,1,14,36,.266,.338,.355,.693,44,8,1,0,3,0,2,.348,61,83
16,Jay Bruce\bruceja01,22,22,88,76,7,15,2,0,4,12,0,0,11,20,.197,.307,.382,.688,29,0,1,0,0,0,1,.212,70,80
17,Brandon Guyer\guyerbr01,35,21,90,76,14,19,2,0,0,8,1,0,10,17,.250,.337,.276,.613,21,3,1,1,2,0,1,.311,88,65
18,Yan Gomes\gomesya01,51,46,176,155,18,29,5,0,5,22,0,0,18,54,.187,.278,.316,.595,49,5,2,0,1,0,1,.247,69,56
19,Gio Urshela\urshegi01,32,18,69,64,6,13,2,0,0,8,0,0,5,10,.203,.261,.234,.495,15,3,0,0,0,0,1,.241,81,32
20,Tyler Naquin\naquity01,8,2,9,9,0,2,0,0,0,0,0,0,0,4,.222,.222,.222,.444,2,0,0,0,0,0,0,.400,71,18
21,Greg Allen\allengr01,13,2,15,13,3,2,0,0,0,0,0,0,1,2,.154,.267,.154,.421,2,0,1,0,0,0,0,.182,40,16
22,Francisco Mejia\mejiafr01,7,0,7,6,0,0,0,0,0,0,0,0,1,3,.000,.143,.000,.143,0,0,0,0,0,1,0,.000,-33,-57
23,Dan Otero\oteroda01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
,Team Total,867,729,3042,2677,406,707,165,11,95,385,43,10,311,562,.264,.342,.440,.782,1179,66,18,11,24,15,29,.299,99,104
