Season,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
2017,"LAA",697.2,2981,8.28189202,3.44433827,2.40449438,1.53511706,0.21536397,0.08956726,0.12579671,0.26137646,1.37888199,0.29813665,0.74595786,4.773024791051026,4.516311233812528
2017,"BAL",686,3048,8.09475219,3.69970845,2.18794326,1.50874636,0.20242782,0.09251969,0.10990813,0.27783985,1.49854227,0.31581582,0.69767442,4.928777201051026,4.637186218081033
2017,"BOS",719.1,3012,9.60889713,3.00278035,3.2,1.30120482,0.25498008,0.07968127,0.17529881,0.23728814,1.22891566,0.28877005,0.77433628,4.027890401051026,4.062357770415722
2017,"CHW",690,3032,7.09565217,4.0826087,1.73801917,1.44782609,0.17941953,0.10323219,0.07618734,0.26554307,1.48115942,0.29342493,0.70132198,5.146045971051025,5.137745719917634
2017,"CLE",703.2,2902,9.81004263,2.94173378,3.33478261,0.93368072,0.26430048,0.07925569,0.18504479,0.23717218,1.21364282,0.30475664,0.75921629,3.4091797210510255,3.721363868108661
2017,"DET",681.1,3049,8.16340509,3.65900196,2.23104693,1.45303327,0.20268941,0.09084946,0.11183995,0.28307465,1.53082192,0.3252355,0.69650655,4.780927841051027,4.775937642678226
2017,"KCR",705.2,3079,7.65233821,3.39253661,2.2556391,1.40292867,0.19486846,0.08639169,0.10847677,0.27107558,1.43410487,0.30680174,0.70945946,4.741957601051025,4.858135052845586
2017,"MIN",697,2979,7.01147776,2.94404591,2.38157895,1.31707317,0.18227593,0.07653575,0.10574018,0.26052926,1.32998565,0.28771084,0.72129539,4.616750641051025,4.812125208013747
2017,"NYY",710.2,3048,9.39681051,3.33067542,2.82129278,1.12711069,0.24343832,0.08628609,0.15715223,0.23991196,1.29033771,0.2933541,0.73135056,3.9259328510510256,3.992419207074012
2017,"OAK",687,2979,7.20524017,3.09170306,2.33050847,1.45414847,0.18462571,0.07922122,0.10540449,0.26990654,1.3944687,0.29775828,0.67979822,4.818484421051025,4.6599724190290654
2017,"SEA",697.1,3023,7.45984704,3.11042065,2.39834025,1.60038241,0.19120079,0.07972213,0.11147866,0.26970033,1.39101338,0.29541016,0.70980203,4.986034051051025,4.809444352512239
2017,"TBR",702,3030,7.97435897,3.34615385,2.38314176,1.29487179,0.20528053,0.08613861,0.11914192,0.25294985,1.34900285,0.28903162,0.70565491,4.465332481051026,4.518197836940003
2017,"TEX",697.1,2986,6.99521989,3.42017208,2.04528302,1.29063098,0.18151373,0.08874749,0.09276624,0.25639098,1.35803059,0.28459658,0.71581451,4.753720481051025,4.8000734186764795
2017,"TOR",732,3169,8.44672131,3.46721311,2.43617021,1.27868852,0.21678763,0.08898706,0.12780057,0.25688073,1.37978142,0.30144928,0.7165319,4.389880611051026,4.482072956078365
2017,"ARI",702,2965,9.24358974,3.35897436,2.7519084,1,0.24317032,0.08836425,0.15480607,0.2440678,1.2962963,0.30174696,0.75018387,3.7317142410510256,3.901368824485936
2017,"ATL",701.1,3087,7.98193916,3.91397338,2.03934426,1.21910646,0.20149012,0.09880143,0.10268869,0.26115824,1.44439163,0.30108055,0.70627063,4.573514691051026,4.6843843986597165
2017,"CHC",704.1,2947,9.08518694,3.30951254,2.74517375,1.29058211,0.2412623,0.08788599,0.15337631,0.23538287,1.25366777,0.2819407,0.75793339,4.195501031051026,4.056252267061005
2017,"CIN",690,3111,7.99565217,4.13478261,1.93375394,1.57826087,0.19704275,0.1018965,0.09514625,0.27808676,1.54637681,0.31107814,0.69794784,5.2040169810510255,4.775293153913125
2017,"COL",708.2,3028,8.24223895,3.34007526,2.46768061,1.16839135,0.21433289,0.08685601,0.12747688,0.2546607,1.33490122,0.29609218,0.74775201,4.245598781051025,4.337562087006037
2017,"MIA",699.2,3124,7.37065269,4.00047642,1.84244373,1.45354931,0.18341869,0.09955186,0.08386683,0.2747698,1.51071939,0.30388862,0.68731438,5.141441981051026,5.012198050279366
2017,"HOU",706,3051,9.9305949,3.27620397,3.0311284,1.16005666,0.25532612,0.08423468,0.17109144,0.25493782,1.35127479,0.32114467,0.71560908,3.875770481051026,3.7773720147248393
2017,"LAD",703.2,2936,9.7460919,2.92894363,3.32751092,1.2278541,0.25953678,0.07799728,0.1815395,0.23861498,1.22643297,0.29431072,0.76173959,3.8312545710510246,3.7134658017647677
2017,"MIL",700.2,2976,8.41341579,3.22407231,2.60956175,1.14319696,0.22009409,0.0843414,0.13575269,0.24971794,1.30589914,0.29502309,0.75145914,4.150979851051026,4.2082601847185215
2017,"WSN",709.2,2980,8.94081729,3.3100047,2.70114943,1.14138093,0.23657718,0.08758389,0.14899329,0.23622047,1.25551902,0.28391167,0.74459975,4.015789541051026,4.171832041670702
2017,"NYM",697.2,3147,8.28189202,3.75394171,2.20618557,1.59961777,0.20400381,0.09246902,0.11153479,0.29017217,1.57668419,0.33075809,0.68753967,4.960793541051026,4.534422905783223
