Season,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
2017,"LAA",743,3049,8.11574697,2.4589502,3.30049261,1.27187079,0.21974418,0.06657921,0.15316497,0.24205641,1.18573351,0.27978516,0.75165125,4.103804371051026,4.239381324216582
2017,"BAL",755,3245,7.34304636,3.54039735,2.07407407,1.51390728,0.18983051,0.09152542,0.09830509,0.26136364,1.3986755,0.28977533,0.74595433,4.988103751051026,4.787482467566352
2017,"BOS",763,3205,9.57798165,2.65399738,3.60888889,1.0733945,0.25335413,0.07020281,0.18315132,0.2523014,1.26474443,0.31535471,0.74130283,3.5390294210510262,3.7650423865565164
2017,"CHW",731.2,3168,7.98314351,3.923918,2.03448276,1.61138952,0.20486111,0.10069444,0.10416667,0.24324324,1.35854214,0.26837691,0.74829932,5.191353151051025,4.898676320291541
2017,"CLE",737,2964,10.34328358,2.14925373,4.8125,1.0990502,0.28576248,0.05937922,0.22638326,0.23407353,1.11126187,0.30218579,0.79131653,3.2485492610510254,3.1091758609943727
2017,"DET",739,3249,7.11231394,3.17861976,2.23754789,1.31529093,0.17974761,0.08033241,0.0994152,0.28164666,1.46414073,0.31520778,0.6778607,4.674554921051024,4.950654944039421
2017,"KCR",732,3139,7.57377049,3.11065574,2.43478261,1.05737705,0.19624084,0.08059892,0.11564192,0.25954738,1.34836066,0.29972248,0.70898042,4.1289516510510245,4.514085479215031
2017,"MIN",739,3226,7.58728011,3.10554804,2.44313725,1.48579161,0.19311841,0.07904526,0.11407315,0.27134986,1.41136671,0.30438757,0.72841134,4.807166561051026,4.687751308934454
2017,"NYY",738,3030,9.97560976,2.93902439,3.39419087,1.25609756,0.269967,0.07953795,0.19042905,0.2166302,1.13143631,0.26641346,0.76138586,3.836501961051026,3.6515030869528906
2017,"OAK",744,3188,7.88709677,3.21774194,2.45112782,1.19758065,0.20451694,0.08343789,0.12107905,0.25227114,1.32795699,0.2911215,0.69854612,4.332371351051025,4.421980342304023
