Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Andrew Albers\alberan01,1,1,3,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,2,0,0,0,1.000,100,455
2,Erasmo Ramirez\ramirer02,1,1,3,3,0,2,0,0,0,1,0,0,0,1,.667,.667,.667,1.333,2,0,0,0,0,0,0,1.000,100,271
3,Mike Marjama\marjami01,3,2,8,8,1,3,1,0,1,1,0,0,0,1,.375,.375,.875,1.250,7,0,0,0,0,0,0,.333,125,229
4,Yovani Gallardo\gallayo01,1,1,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,1,0,0,0,0,0,0,.500,100,178
5,Nelson Cruz\cruzne02,76,73,316,269,48,74,15,0,20,59,1,0,35,68,.275,.370,.554,.924,149,8,8,0,4,6,3,.292,100,150
6,Yonder Alonso\alonsyo01,24,20,86,75,15,22,4,0,4,12,1,0,11,16,.293,.384,.507,.890,38,1,0,0,0,0,0,.327,106,143
7,Mitch Haniger\hanigmi01,47,46,206,187,37,52,16,1,10,25,1,0,14,47,.278,.341,.535,.876,100,6,4,1,0,0,2,.323,106,136
8,Mike Zunino\zuninmi01,62,55,222,200,23,53,16,0,11,32,1,0,18,76,.265,.338,.510,.848,102,4,4,0,0,0,0,.372,102,129
9,Robinson Cano\canoro01,77,75,331,306,37,86,15,0,12,52,1,0,22,44,.281,.332,.448,.780,137,5,2,0,1,2,1,.295,97,112
10,Kyle Seager\seageky01,76,75,328,298,42,73,17,1,15,51,1,0,26,56,.245,.308,.460,.768,137,2,2,0,2,4,0,.253,98,108
11,Danny Valencia\valenda01,65,58,255,229,28,57,11,1,10,31,2,1,19,64,.249,.306,.437,.743,100,6,2,0,5,0,6,.294,104,102
12,Jean Segura\segurje01,64,63,297,275,43,79,17,1,4,19,14,3,16,44,.287,.334,.400,.734,110,3,4,0,1,2,4,.329,89,101
13,Ben Gamel\gamelbe01,66,62,276,255,38,69,11,1,6,29,3,1,21,52,.271,.326,.392,.718,100,4,0,0,0,1,5,.320,96,97
14,Guillermo Heredia\heredgu01,61,51,210,189,17,49,8,0,2,8,0,2,15,34,.259,.325,.333,.659,63,2,4,1,1,2,3,.305,102,82
15,Carlos Ruiz\ruizca01,27,21,79,69,6,16,4,0,1,7,1,0,8,20,.232,.316,.333,.650,23,0,1,0,1,0,0,.306,96,80
16,Jarrod Dyson\dysonja01,51,46,185,171,17,41,6,1,3,14,14,4,10,26,.240,.288,.339,.627,58,2,2,1,1,2,1,.266,86,72
17,Danny Espinosa\espinda01,2,2,7,6,1,1,1,0,0,1,0,0,1,1,.167,.286,.333,.619,2,0,0,0,0,0,0,.200,137,70
18,Boog Powell\powelbo02,7,2,12,11,2,3,0,0,0,0,0,0,1,2,.273,.333,.273,.606,3,1,0,0,0,0,0,.333,61,71
19,Tyler Smith\smithty01,3,2,9,8,1,2,0,0,0,0,0,0,0,4,.250,.333,.250,.583,2,0,1,0,0,0,0,.500,127,65
20,Daniel Vogelbach\vogelda01,12,5,26,23,0,4,1,0,0,2,0,0,3,7,.174,.269,.217,.487,5,2,0,0,0,0,0,.250,80,37
21,Leonys Martín\martile01,20,16,69,65,6,11,1,1,1,6,3,2,3,17,.169,.217,.262,.479,17,0,1,0,0,1,1,.213,87,31
22,Taylor Motter\motteta01,51,32,137,128,12,21,6,0,2,12,6,0,9,28,.164,.219,.258,.477,33,5,0,0,0,0,1,.194,64,31
23,Jacob Hannemann\hanneja01,8,4,19,19,3,3,0,0,1,1,0,1,0,4,.158,.158,.316,.474,6,0,0,0,0,0,0,.143,111,26
24,Gordon Beckham\beckhgo01,8,3,16,15,1,3,0,0,0,0,1,0,1,1,.200,.250,.200,.450,3,2,0,0,0,0,0,.214,126,27
25,Sam Gaviglio\gavigsa01,2,2,5,5,1,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,1,0,0,0,0,0,0,.333,100,11
26,Tuffy Gosewisch\gosewtu01,3,3,12,11,0,1,0,0,0,0,0,0,1,5,.091,.167,.091,.258,1,0,0,0,0,0,0,.167,190,-26
27,Mike Freeman\freemmi01,7,3,18,17,0,0,0,0,0,0,0,0,1,5,.000,.056,.000,.056,0,0,0,0,0,0,0,.000,-69,-82
28,Ariel Miranda\miranar01,4,3,6,6,1,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
29,Marco Gonzales\gonzama02,1,1,2,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,1,0,0,0,,-100,-100
30,Edwin Diaz\diazed04,6,0,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
31,Jean Machi\machije01,1,0,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
32,Casey Lawrence\lawreca01,1,0,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
33,Emilio Pagan\paganem01,2,0,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
34,Christian Bergman\bergmch01,1,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
35,Nick Vincent\vinceni01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
36,Tony Zych\zychto01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
37,David Phelps\phelpda01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
38,Dan Altavilla\altavda01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
39,Marc Rzepczynski\rzepcma01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
40,Dillon Overton\overtdi01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
41,James Pazos\pazosja01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
,Team Total,868,729,3151,2858,380,728,150,7,103,364,50,14,235,633,.255,.317,.420,.738,1201,53,35,6,16,20,27,.292,97,101
