Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Nelson Cruz\cruzne02,79,78,329,287,43,86,13,0,19,60,0,1,35,72,.300,.380,.544,.923,156,7,4,0,3,1,0,.337,100,139
2,Mike Zunino\zuninmi01,62,57,213,187,29,44,9,0,14,32,0,0,21,84,.235,.324,.508,.832,95,4,4,0,1,0,1,.333,98,114
3,Jean Segura\segurje01,61,61,269,249,37,78,13,1,7,26,8,5,18,39,.313,.364,.458,.822,114,11,2,0,0,1,1,.350,112,114
4,Mitch Haniger\hanigmi01,49,49,204,182,21,52,9,1,6,22,4,4,17,46,.286,.363,.445,.808,81,3,5,0,0,0,1,.354,94,111
5,Robinson Cano\canoro01,73,73,317,286,42,80,18,0,11,45,0,0,27,41,.280,.344,.458,.802,131,13,2,0,2,6,3,.292,103,108
6,Daniel Vogelbach\vogelda01,4,1,5,5,0,2,0,0,0,0,0,0,0,2,.400,.400,.400,.800,2,0,0,0,0,0,0,.667,198,112
7,Kyle Seager\seageky01,78,78,322,280,30,71,16,0,12,37,1,1,32,54,.254,.339,.439,.778,123,4,6,0,4,2,1,.271,103,102
8,Ben Gamel\gamelbe01,68,65,274,254,30,71,16,4,5,30,1,0,15,70,.280,.319,.433,.752,110,4,1,1,3,0,2,.363,104,95
9,Jarrod Dyson\dysonja01,60,53,205,175,39,46,7,2,2,16,14,3,18,29,.263,.356,.360,.716,63,1,8,3,1,0,1,.303,113,89
10,Danny Valencia\valenda01,65,59,245,221,26,58,8,2,5,35,0,1,21,58,.262,.322,.385,.707,85,10,0,0,3,0,2,.329,96,85
11,Mike Freeman\freemmi01,9,3,16,13,3,2,0,0,1,1,0,0,3,4,.154,.313,.385,.697,5,0,0,0,0,1,0,.125,282,82
12,Taylor Motter\motteta01,41,36,143,130,17,30,6,0,5,14,6,1,12,34,.231,.294,.392,.686,51,4,0,0,1,0,1,.272,135,78
13,Carlos Ruiz\ruizca01,26,20,66,56,8,11,4,0,2,4,0,0,6,18,.196,.308,.375,.683,21,4,3,1,0,0,1,.250,105,78
14,Yonder Alonso\alonsyo01,18,15,64,57,5,13,1,0,2,6,0,0,7,14,.228,.313,.351,.663,20,2,0,0,0,0,0,.268,56,74
15,Guillermo Heredia\heredgu01,62,54,216,197,26,47,8,0,4,16,1,3,12,30,.239,.306,.340,.646,67,7,7,0,0,0,4,.264,98,70
16,Leonys Martín\martile01,14,13,53,50,6,9,1,0,2,2,3,2,2,12,.180,.226,.320,.546,16,2,1,0,0,0,0,.194,111,41
17,Danny Espinosa\espinda01,6,2,10,10,1,2,1,0,0,1,1,0,0,6,.200,.200,.300,.500,3,0,0,0,0,0,0,.500,90,29
18,Boog Powell\powelbo02,16,5,31,25,4,4,0,0,0,2,0,0,5,7,.160,.300,.160,.460,4,0,0,1,0,0,1,.222,24,27
19,Tyler Smith\smithty01,7,2,10,8,1,1,1,0,0,1,0,0,1,4,.125,.200,.250,.450,2,0,0,0,1,0,0,.200,76,17
20,Tuffy Gosewisch\gosewtu01,8,5,19,17,1,1,0,0,0,0,0,0,0,9,.059,.059,.059,.118,1,2,0,2,0,0,1,.125,40,-69
21,Gordon Beckham\beckhgo01,3,0,2,2,1,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,-100,-100
22,Mike Marjama\marjami01,2,0,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,-100,-100
23,Jacob Hannemann\hanneja01,3,0,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,-100,-100
,Team Total,814,729,3015,2693,370,708,131,10,97,350,39,21,252,634,.263,.334,.427,.761,1150,78,43,8,19,11,20,.308,104,98
