Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Giancarlo Stanton\stantmi03,83,79,363,325,58,87,19,0,28,64,0,1,31,86,.268,.339,.585,.923,190,4,5,0,2,6,2,.277,83,148
2,J.T. Realmuto\realmjt01,75,74,326,303,43,96,20,5,12,45,3,1,17,58,.317,.362,.535,.897,162,8,5,0,1,1,4,.359,128,143
3,Justin Bour\bourju01,56,53,227,199,32,58,10,0,11,38,0,0,26,51,.291,.370,.508,.878,101,7,0,0,2,6,1,.338,96,139
4,Christian Yelich\yelicch01,80,80,368,318,57,93,24,0,11,48,7,0,46,69,.292,.380,.472,.852,150,5,1,0,3,2,2,.340,111,133
5,Marcell Ozuna\ozunama01,82,80,359,328,47,93,20,2,15,63,1,0,30,94,.284,.343,.494,.837,162,9,0,0,1,1,1,.355,81,127
6,Derek Dietrich\dietrde01,70,54,242,215,30,61,14,2,6,28,0,0,16,48,.284,.360,.451,.811,97,2,10,0,1,2,0,.340,114,122
7,Ichiro Suzuki\suzukic01,68,15,120,106,13,29,5,0,3,14,0,1,13,17,.274,.353,.406,.759,43,2,0,1,0,0,0,.302,133,109
8,JT Riddle\riddljt01,28,27,114,104,10,32,8,0,1,18,0,2,6,22,.308,.336,.413,.750,43,4,0,1,3,1,2,.369,136,105
9,Adeiny Hechavarria\hechaad01,14,12,52,50,6,15,2,0,1,5,0,0,1,7,.300,.314,.400,.714,20,1,0,1,0,0,1,.333,107,95
10,Brian Anderson\anderbr06,12,9,43,39,5,11,4,0,0,5,0,0,3,14,.282,.326,.385,.710,15,0,0,0,1,0,1,.423,101,95
11,Tyler Moore\moorety01,51,17,101,95,7,23,7,0,3,15,0,0,5,25,.242,.277,.411,.688,39,5,0,0,1,0,1,.294,106,86
12,Miguel Rojas\rojasmi02,50,43,172,155,21,43,11,0,0,18,2,0,14,19,.277,.339,.348,.688,54,3,1,1,1,4,1,.314,87,91
13,Dee Strange-Gordon\gordode01,81,77,373,355,60,102,12,5,2,19,32,8,8,58,.287,.313,.366,.679,130,2,6,2,2,0,3,.337,89,87
14,Martin Prado\pradoma01,22,19,91,85,11,22,4,0,2,6,0,0,5,15,.259,.297,.376,.673,32,2,0,0,1,0,0,.290,112,84
15,A.J. Ellis\ellisaj01,25,18,83,72,7,12,2,0,4,9,0,0,6,12,.167,.268,.361,.629,26,4,4,1,0,0,1,.143,87,71
16,Edinson Volquez\volqued01,7,7,15,13,0,4,0,0,0,1,0,0,0,3,.308,.286,.308,.593,4,0,0,1,1,0,0,.364,194,64
17,Tomas Telis\telisto01,25,10,56,53,4,12,3,1,0,1,0,0,2,8,.226,.268,.321,.589,17,1,1,0,0,0,0,.267,89,62
18,Mike Aviles\avilemi01,16,9,48,43,1,11,0,0,0,3,0,0,4,8,.256,.319,.256,.575,11,1,0,1,0,1,0,.314,95,62
19,Jose Urena\urenajo01,14,12,27,21,1,4,1,0,0,2,0,0,0,13,.190,.190,.238,.429,5,0,0,6,0,0,0,.500,273,17
20,Wei-Yin Chen\chenwe02,5,2,5,5,0,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,1,0,0,0,0,0,0,.333,220,11
21,Christian Colon\colonch01,10,6,21,19,2,2,1,0,0,0,0,0,2,4,.105,.190,.158,.348,3,2,0,0,0,0,0,.133,68,-2
22,Vance Worley\worleva01,11,7,16,13,0,2,0,0,0,1,0,0,0,5,.154,.154,.154,.308,2,1,0,3,0,0,0,.250,69,-15
23,Adam Conley\conlead01,10,10,18,15,1,2,0,0,0,0,0,0,0,10,.133,.133,.133,.267,2,0,0,3,0,0,0,.400,76,-26
24,Odrisamer Despaigne\despaod01,8,3,9,8,0,1,0,0,0,1,0,0,0,2,.125,.125,.125,.250,1,0,0,1,0,0,0,.167,138,-31
25,Dan Straily\straida01,14,14,33,29,1,2,1,0,0,0,0,0,1,17,.069,.100,.103,.203,3,1,0,3,0,0,0,.167,126,-44
26,Justin Nicolino\nicolju01,10,3,6,5,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,1,0,0,0,.000,,-100
27,Dillon Peters\peterdi01,3,3,6,4,1,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0,0,0,2,0,0,1,,,-100
28,David Phelps\phelpda01,20,0,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
29,Javy Guerra\guerrja01,10,0,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
30,Junichi Tazawa\tazawju01,25,0,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
