Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Giancarlo Stanton\stantmi03,76,75,329,272,65,81,13,0,31,68,2,1,54,77,.298,.416,.688,1.104,187,9,2,0,1,7,3,.303,120,182
2,Marcell Ozuna\ozunama01,77,75,320,285,46,98,10,0,22,61,0,3,34,50,.344,.413,.611,1.023,174,9,0,0,1,3,1,.355,121,164
3,Justin Bour\bourju01,52,48,202,178,20,51,8,0,14,45,1,0,21,44,.287,.361,.567,.929,101,3,1,0,2,1,2,.303,104,138
4,Miguel Rojas\rojasmi02,40,32,134,117,16,36,5,2,1,8,0,1,13,13,.308,.388,.410,.798,48,3,3,0,1,1,3,.337,117,111
5,Dee Strange-Gordon\gordode01,77,71,322,298,54,99,8,4,0,14,28,8,17,35,.332,.374,.386,.760,115,5,4,0,2,0,0,.374,113,101
6,Christian Yelich\yelicch01,76,75,327,284,43,77,12,2,7,33,9,2,34,68,.271,.356,.401,.757,114,8,5,0,3,2,1,.330,88,99
7,A.J. Ellis\ellisaj01,26,18,80,71,10,18,3,0,2,5,0,0,6,17,.254,.329,.380,.709,27,2,2,1,0,0,0,.308,113,86
8,Brian Anderson\anderbr06,13,12,52,45,6,11,3,1,0,3,0,0,7,14,.244,.346,.356,.702,16,1,0,0,0,0,0,.355,99,86
9,Derek Dietrich\dietrde01,65,51,222,191,26,40,8,3,7,25,0,1,20,50,.209,.306,.393,.699,75,2,8,0,3,3,3,.241,84,82
10,Tomas Telis\telisto01,23,9,55,51,9,13,2,2,0,8,0,0,1,2,.255,.291,.373,.663,19,0,2,0,1,0,2,.260,112,73
11,Tyler Moore\moorety01,53,19,102,92,10,20,7,0,3,15,0,0,5,31,.217,.257,.391,.649,36,2,1,1,3,0,1,.279,94,67
12,J.T. Realmuto\realmjt01,66,61,253,229,25,52,11,0,5,20,5,1,19,48,.227,.292,.341,.633,78,5,3,0,2,3,2,.264,64,66
13,Mike Aviles\avilemi01,21,11,49,43,4,9,2,0,1,5,0,0,2,7,.209,.277,.326,.602,14,2,2,2,0,1,1,.229,105,58
14,Martin Prado\pradoma01,15,15,56,55,2,13,5,0,0,6,0,0,1,7,.236,.250,.327,.577,18,2,0,0,0,0,0,.271,81,50
15,JT Riddle\riddljt01,42,34,133,124,10,25,5,1,2,13,0,0,6,28,.202,.235,.306,.541,38,2,0,1,2,1,0,.240,70,41
16,Adeiny Hechavarria\hechaad01,6,5,15,15,2,3,0,1,0,1,0,0,0,2,.200,.200,.333,.533,5,0,0,0,0,0,0,.231,51,36
17,Christian Colon\colonch01,7,4,17,14,1,3,0,0,0,0,0,0,2,3,.214,.313,.214,.527,3,0,0,1,0,1,1,.273,152,43
18,Ichiro Suzuki\suzukic01,68,7,95,90,6,21,1,0,0,6,1,0,4,18,.233,.274,.244,.518,22,0,1,0,0,1,0,.292,60,38
19,Vance Worley\worleva01,14,5,11,9,0,2,0,0,0,2,0,0,0,3,.222,.222,.222,.444,2,0,0,2,0,0,0,.333,144,18
20,Adam Conley\conlead01,10,8,14,9,2,1,0,0,0,0,0,0,2,4,.111,.273,.111,.384,1,0,0,3,0,0,0,.200,131,8
21,Tom Koehler\koehlto01,5,5,8,8,0,1,0,0,0,0,0,0,0,4,.125,.125,.125,.250,1,0,0,0,0,0,0,.250,421,-34
22,Edinson Volquez\volqued01,8,8,15,13,0,1,0,0,0,0,0,0,1,8,.077,.143,.077,.220,1,0,0,1,0,0,1,.200,7,-39
23,Jeff Locke\lockeje01,3,3,5,4,0,0,0,0,0,0,0,0,1,4,.000,.200,.000,.200,0,0,0,0,0,0,0,,,-40
24,Odrisamer Despaigne\despaod01,10,5,11,11,0,1,0,0,0,0,0,0,0,3,.091,.091,.091,.182,1,0,0,0,0,0,0,.125,73,-52
25,Dan Straily\straida01,17,17,31,26,1,2,0,0,0,1,0,0,0,16,.077,.077,.077,.154,2,0,0,5,0,0,0,.200,71,-59
26,Jose Urena\urenajo01,18,14,29,27,2,1,0,0,0,0,0,0,0,15,.037,.037,.037,.074,1,0,0,2,0,0,0,.083,-35,-80
27,Justin Nicolino\nicolju01,10,5,7,6,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,1,0,0,0,.000,,-100
28,Chris O'Grady\ogradch01,6,3,4,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,1,0,0,0,,,-100
29,Steve Lombardozzi\lombast02,2,2,8,8,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
30,Dillon Peters\peterdi01,3,3,5,5,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
31,Brian Ellington\ellinbr02,19,0,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
32,Nick Wittgren\wittgni01,20,0,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
33,Dustin McGowan\mcgowdu01,35,0,4,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,1,0,0,0,,,-100
34,Wei-Yin Chen\chenwe02,3,2,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,-100,-100
35,Jarlin Garcia\garcija04,34,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
36,Junichi Tazawa\tazawju01,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
37,Drew Steckenrider\steckdr01,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
38,Brad Ziegler\zieglbr01,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
39,Hunter Cervenka\cervehu01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
40,AJ Ramos\ramosaj01,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
41,Javy Guerra\guerrja01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
42,David Phelps\phelpda01,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
43,Kyle Barraclough\barraky01,33,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
,Team Total,1174,702,2922,2593,360,679,103,16,95,339,46,17,250,586,.262,.332,.424,.756,1099,55,34,22,21,24,21,.302,99,97
