Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Sean Gilmartin\gilmase01,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1.000,1.000,2.000,3.000,2,0,0,0,0,0,0,1.000,100,696
2,Curtis Granderson\grandcu01,57,45,213,181,42,49,14,3,13,32,3,0,31,57,.271,.376,.597,.972,108,2,0,0,1,0,1,.321,149,162
3,Neil Walker\walkene01,33,30,139,119,23,39,7,0,6,18,0,0,16,18,.328,.417,.538,.955,64,2,3,0,1,1,0,.344,138,161
4,Yoenis Céspedes\cespeyo01,38,36,157,146,22,42,9,2,12,30,0,1,10,34,.288,.331,.623,.954,91,2,0,0,1,2,1,.297,109,154
5,Jay Bruce\bruceja01,49,49,221,204,31,56,11,0,18,45,0,0,16,51,.275,.326,.593,.919,121,3,0,0,1,0,0,.279,117,145
6,Michael Conforto\confomi01,50,42,206,178,36,47,10,1,11,32,1,0,22,53,.264,.354,.517,.871,92,1,4,0,2,2,1,.310,85,136
7,Asdrubal Cabrera\cabreas01,69,63,299,263,38,81,21,0,9,35,2,1,29,48,.308,.379,.490,.870,129,8,3,1,3,1,5,.344,121,137
8,Phillip Evans\evansph01,11,4,25,22,3,8,1,0,0,1,0,0,2,4,.364,.440,.409,.849,9,0,1,0,0,0,0,.444,124,137
9,Wilmer Flores\florewi01,57,41,190,174,21,49,11,1,9,27,0,1,11,28,.282,.321,.511,.833,89,7,1,0,4,1,0,.284,109,124
10,Lucas Duda\dudalu01,36,31,142,122,12,28,12,0,6,11,0,0,19,38,.230,.338,.475,.813,58,3,1,0,0,1,0,.282,101,121
11,Jose Reyes\reyesjo01,75,64,294,257,46,68,14,4,9,28,14,5,30,43,.265,.344,.455,.799,117,1,2,3,2,1,2,.285,119,118
12,Nori Aoki\aokino01,14,13,65,57,9,17,3,1,0,3,3,0,7,5,.298,.385,.386,.771,22,1,1,0,0,0,0,.327,113,114
13,T.J. Rivera\rivertj01,33,25,110,102,11,30,6,1,1,11,1,0,5,15,.294,.336,.402,.738,41,1,2,0,1,0,3,.333,95,103
14,Travis d'Arnaud\darnatr01,55,48,204,189,24,44,7,1,11,32,0,0,11,39,.233,.279,.455,.734,86,6,2,0,2,2,0,.234,98,97
15,Amed Rosario\rosaram01,25,23,94,91,13,24,3,2,3,7,4,2,1,24,.264,.287,.440,.727,40,3,2,0,0,0,0,.328,118,96
16,Kevin Plawecki\plaweke01,19,12,58,49,3,14,2,0,0,4,0,0,8,9,.286,.397,.327,.723,16,1,1,0,0,1,0,.350,91,104
17,Rene Rivera\riverre01,25,21,88,81,7,19,0,0,5,14,0,1,5,25,.235,.295,.420,.715,34,2,2,0,0,2,0,.275,94,94
18,Juan Lagares\lagarju01,44,31,143,134,16,35,10,1,2,11,5,2,6,28,.261,.303,.396,.698,53,2,2,1,0,0,0,.317,111,91
19,Brandon Nimmo\nimmobr01,38,24,121,98,11,22,2,1,2,11,1,0,22,34,.224,.372,.327,.698,32,3,1,0,0,1,1,.323,76,96
20,Dominic Smith\smithdo02,26,25,102,93,6,20,4,0,5,16,0,0,7,22,.215,.275,.419,.694,39,3,1,0,1,0,0,.224,111,87
21,Matt Reynolds\reynoma03,33,11,68,60,6,15,0,2,0,2,0,0,6,17,.250,.328,.317,.645,19,2,1,1,0,0,0,.349,106,80
22,Gavin Cecchini\cecchga02,18,11,48,47,2,12,2,0,1,5,0,0,1,14,.255,.271,.362,.633,17,2,0,0,0,0,0,.344,139,72
23,Tomas Nido\nidoto01,4,1,7,7,0,2,0,0,0,1,0,0,0,1,.286,.286,.286,.571,2,0,0,0,0,0,0,.333,67,59
24,Noah Syndergaard\syndeno01,3,3,5,2,0,0,0,0,0,0,0,0,2,2,.000,.500,.000,.500,0,0,0,1,0,0,0,,20,57
25,Jacob deGrom\degroja01,16,13,42,41,2,9,1,0,0,2,0,0,0,12,.220,.220,.244,.463,10,0,0,1,0,0,1,.310,86,28
26,Travis Taijeron\taijetr01,15,8,36,32,2,4,1,0,0,1,0,0,3,16,.125,.222,.156,.378,5,1,1,0,0,0,0,.250,40,7
27,Seth Lugo\lugose01,11,10,20,16,2,2,2,0,0,1,0,0,0,6,.125,.125,.250,.375,4,0,0,4,0,0,0,.200,71,-1
28,Chris Flexen\flexech01,9,4,7,7,0,1,0,0,0,0,0,0,0,4,.143,.143,.143,.286,1,0,0,0,0,0,0,.333,55,-21
29,Zack Wheeler\wheelza01,6,6,13,11,1,1,0,0,0,0,0,0,1,5,.091,.167,.091,.258,1,0,0,1,0,0,1,.167,138,-26
30,Matt Harvey\harvema01,10,10,22,20,1,2,0,0,0,1,0,0,1,8,.100,.143,.100,.243,2,1,0,1,0,0,0,.167,236,-31
31,Robert Gsellman\gsellro01,10,9,20,16,0,1,0,0,0,1,0,0,2,6,.063,.167,.063,.229,1,0,0,2,0,0,1,.100,5,-32
32,Rafael Montero\montera01,14,5,13,11,0,1,0,0,0,1,0,0,0,4,.091,.091,.091,.182,1,0,0,2,0,0,0,.143,128,-50
33,Fernando Salas\salasfe01,20,0,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,-100,-100
34,Tommy Milone\milonto01,6,2,4,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,1,0,0,0,,-100,-100
35,Tyler Pill\pillty01,5,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
36,Steven Matz\matzst01,10,8,18,15,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0,0,0,3,0,0,0,.000,-100,-100
37,Hansel Robles\robleha01,18,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
38,Jerry Blevins\blevije01,35,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
39,Addison Reed\reedad01,19,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
40,Jacob Rhame\rhameja01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
41,Jamie Callahan\callaja01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
42,Kevin McGowan\mcgowke01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
43,AJ Ramos\ramosaj01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
44,Josh Smoker\smokejo01,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
45,Chasen Bradford\bradfch02,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
46,Erik Goeddel\goedder01,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
47,Josh Edgin\edginjo01,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
48,Neil Ramirez\ramirne01,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
49,Paul Sewald\sewalpa01,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
50,Jeurys Familia\familje01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
,Team Total,1152,729,3198,2852,391,743,154,20,123,384,34,13,274,679,.261,.330,.458,.788,1306,57,31,22,19,15,17,.300,109,114
