Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Fernando Salas\salasfe01,26,0,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,0,1.000,300,430
2,Tommy Milone\milonto01,4,3,3,2,0,1,0,0,0,1,0,0,1,1,.500,.667,.500,1.167,1,0,0,0,0,0,0,1.000,595,215
3,Tomas Nido\nidoto01,1,1,3,3,0,1,1,0,0,2,0,0,0,1,.333,.333,.667,1.000,2,0,0,0,0,0,0,.500,178,153
4,Steven Matz\matzst01,7,5,6,6,1,3,0,0,0,1,0,0,0,3,.500,.500,.500,1.000,3,0,0,0,0,0,0,1.000,599,165
5,Michael Conforto\confomi01,59,51,234,195,36,57,10,0,16,36,1,0,35,60,.292,.410,.590,1.000,115,2,4,0,0,3,2,.345,113,158
6,Lucas Duda\dudalu01,39,36,149,130,18,34,9,0,11,26,0,0,18,35,.262,.356,.585,.940,76,3,1,0,0,3,0,.274,129,141
7,Brandon Nimmo\nimmobr01,31,19,94,79,15,24,9,0,3,10,1,0,11,26,.304,.387,.532,.919,42,0,1,1,2,0,1,.404,129,138
8,Yoenis Céspedes\cespeyo01,43,40,164,145,24,43,8,0,5,12,0,0,16,27,.297,.372,.455,.827,66,5,2,0,1,3,0,.333,90,116
9,Kevin Plawecki\plaweke01,18,14,60,51,8,12,3,0,3,9,1,0,6,8,.235,.333,.471,.804,24,1,2,0,1,1,2,.220,109,108
10,Travis Taijeron\taijetr01,11,5,23,20,1,5,1,0,1,2,0,0,2,8,.250,.348,.450,.798,9,0,1,0,0,0,0,.364,196,108
11,T.J. Rivera\rivertj01,40,26,121,112,16,32,7,0,4,16,0,0,4,17,.286,.325,.455,.780,51,3,3,1,1,0,1,.304,104,102
12,Jay Bruce\bruceja01,54,54,227,202,30,48,9,0,11,30,0,1,23,51,.238,.317,.446,.763,90,6,1,0,1,0,3,.262,86,97
