Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Bryce Harper\harpebr03,53,52,236,202,52,65,13,1,17,45,2,1,32,52,.322,.415,.649,1.064,131,7,1,0,1,5,2,.358,110,187
2,Daniel Murphy\murphda08,71,70,309,276,55,94,24,3,17,56,1,0,29,39,.341,.405,.634,1.039,175,10,2,0,2,7,0,.347,122,180
3,Anthony Rendon\rendoan01,74,73,307,255,33,73,19,0,11,45,2,2,45,42,.286,.394,.490,.884,125,5,3,0,4,4,1,.301,90,142
4,Ryan Zimmerman\zimmery01,75,67,300,275,42,73,16,0,17,54,0,0,21,77,.265,.320,.509,.829,140,5,2,0,2,1,1,.306,78,123
5,Adam Lind\lindad01,56,30,147,129,18,33,7,0,7,29,0,0,16,29,.256,.333,.473,.806,61,3,0,0,2,2,1,.274,84,119
6,Howie Kendrick\kendrho01,24,20,89,82,12,22,4,1,3,10,4,1,5,17,.268,.326,.451,.777,37,2,2,0,0,0,0,.306,84,111
7,Trea Turner\turnetr01,51,49,229,215,38,58,14,4,5,25,22,5,12,41,.270,.314,.442,.756,95,2,2,0,0,0,6,.314,91,105
8,Adam Eaton\eatonad02,13,13,63,53,15,13,2,1,1,8,2,1,9,10,.245,.365,.377,.742,20,0,1,0,0,0,2,.286,75,106
9,Ryan Raburn\raburry01,11,9,40,40,4,10,0,1,2,3,0,1,0,13,.250,.250,.450,.700,18,1,0,0,0,0,0,.320,87,87
10,Michael A. Taylor\taylomi02,59,53,215,201,22,46,11,1,8,18,7,2,12,74,.229,.271,.413,.684,83,2,0,1,1,1,2,.317,70,85
11,Victor Robles\roblevi01,4,2,11,10,0,2,0,1,0,2,0,0,0,4,.200,.273,.400,.673,4,0,1,0,0,0,0,.333,76,82
12,Brian Goodwin\goodwbr01,37,29,137,124,17,25,10,1,4,12,4,0,9,30,.202,.255,.395,.651,49,2,1,0,3,0,3,.226,61,75
13,Jayson Werth\werthja01,38,38,159,141,20,30,5,1,4,18,1,1,16,41,.213,.296,.348,.643,49,2,1,0,1,0,1,.268,81,77
14,Jose Lobaton\lobatjo01,25,21,78,70,6,15,0,0,3,7,0,0,8,16,.214,.295,.343,.638,24,1,0,0,0,0,0,.235,143,75
15,Matt Wieters\wietema01,60,57,235,215,22,44,14,0,5,22,1,0,18,47,.205,.264,.340,.603,73,9,0,0,2,2,1,.236,91,65
16,Wilmer Difo\difowi01,57,33,168,151,19,33,4,2,2,11,3,1,12,35,.219,.277,.311,.588,47,3,1,2,2,3,1,.267,71,62
17,Stephen Drew\drewst01,21,10,52,49,2,12,2,0,0,7,0,0,2,11,.245,.269,.286,.555,14,0,0,0,1,0,0,.308,69,54
18,Pedro Severino\severpe01,5,4,16,14,0,3,0,0,0,1,0,0,2,4,.214,.313,.214,.527,3,0,0,0,0,1,0,.300,142,50
19,Raudy Read\readra01,4,0,4,4,1,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,1,0,0,0,0,0,0,.333,83,39
20,Chris Heisey\heisech01,20,9,54,51,4,9,2,1,0,2,0,0,3,16,.176,.222,.255,.477,13,0,0,0,0,0,0,.257,98,31
21,Stephen Strasburg\strasst01,12,12,28,23,2,3,0,0,1,1,0,0,1,6,.130,.167,.261,.428,6,0,0,4,0,0,1,.125,112,15
22,Alejandro De Aza\deazaal01,14,7,34,30,4,4,1,1,0,2,1,0,2,7,.133,.182,.233,.415,7,0,0,1,1,0,2,.167,53,13
23,Max Scherzer\scherma01,15,15,38,31,3,4,0,0,1,3,0,0,2,6,.129,.182,.226,.408,7,0,0,5,0,0,1,.125,94,12
24,Joe Ross\rossjo01,6,3,11,10,1,1,1,0,0,0,0,0,1,4,.100,.182,.200,.382,2,0,0,0,0,0,0,.167,71,5
