Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Chance Sisco\siscoch01,4,1,5,5,1,2,0,0,1,2,0,0,0,2,.400,.400,1.000,1.400,5,0,0,0,0,0,0,.500,116,249
2,Pedro Alvarez\alvarpe01,6,3,16,14,3,5,0,0,1,2,0,0,2,6,.357,.438,.571,1.009,8,0,0,0,0,0,1,.571,154,162
3,Francisco Pena\penafr01,3,2,6,6,1,3,0,0,0,0,0,0,0,3,.500,.500,.500,1.000,3,0,0,0,0,0,0,1.000,46,165
4,Welington Castillo\castiwe01,50,47,188,171,23,52,7,0,13,27,0,0,15,54,.304,.356,.573,.929,98,4,0,0,2,0,1,.368,127,138
5,Manny Machado\machama01,80,80,354,316,46,91,15,0,22,55,5,3,32,51,.288,.350,.544,.895,172,6,1,0,5,1,3,.278,128,130
6,Jonathan Schoop\schoojo01,79,79,334,307,46,93,20,0,18,63,1,0,20,62,.303,.347,.544,.891,167,14,3,0,4,0,2,.325,111,129
7,Tim Beckham\beckhti01,26,26,123,115,16,38,7,1,4,10,1,1,6,30,.330,.374,.513,.887,59,1,2,0,0,0,1,.420,127,130
8,Seth Smith\smithse01,51,44,180,161,29,45,9,0,9,16,0,0,14,37,.280,.356,.503,.859,81,2,5,0,0,2,2,.313,121,122
9,Adam Jones\jonesad01,78,78,338,317,53,90,15,1,17,42,2,0,16,56,.284,.328,.498,.827,158,7,5,0,0,0,2,.299,109,113
10,Trey Mancini\mancitr01,72,70,289,267,33,75,11,2,11,38,0,0,17,64,.281,.332,.461,.793,123,5,4,0,1,1,3,.332,93,105
11,Craig Gentry\gentrcr01,37,14,58,48,7,12,2,0,1,4,2,3,8,13,.250,.368,.354,.723,17,0,1,1,0,0,0,.324,102,92
12,Chris Davis\davisch02,69,69,288,253,34,54,7,0,15,37,1,1,32,107,.213,.302,.419,.721,106,3,1,0,2,3,0,.293,97,87
13,Hyun Soo Kim\kimhy01,29,19,72,63,6,18,2,0,1,6,0,0,5,10,.286,.352,.365,.717,23,1,2,0,1,0,0,.321,140,89
14,Mark Trumbo\trumbma01,71,70,295,272,41,65,7,0,14,39,1,0,22,74,.239,.295,.419,.714,114,7,0,0,1,0,5,.276,108,85
15,Caleb Joseph\josepca01,44,33,124,119,15,32,6,0,3,7,0,0,5,37,.269,.298,.395,.693,47,3,0,0,0,0,2,.367,100,80
16,Joey Rickard\rickajo01,54,26,131,123,13,30,7,0,3,12,3,1,5,24,.244,.277,.374,.651,46,2,1,1,1,0,1,.278,109,69
17,Ruben Tejada\tejadru01,22,16,67,61,11,15,3,0,0,2,0,0,4,7,.246,.313,.295,.609,18,4,2,0,0,0,0,.278,111,62
18,Anthony Santander\santaan02,6,2,12,12,1,3,1,0,0,0,0,0,0,4,.250,.250,.333,.583,4,0,0,0,0,0,0,.375,88,51
19,Austin Hays\haysau01,8,7,30,29,3,7,3,0,0,5,0,0,0,7,.241,.233,.345,.578,10,2,0,0,1,0,1,.304,107,49
20,J.J. Hardy\hardyjj01,37,35,130,122,11,20,6,0,2,12,0,0,6,25,.164,.209,.262,.472,32,5,1,1,0,0,1,.189,63,23
21,Ryan Flaherty\flahery01,9,5,20,18,2,3,0,0,0,2,0,0,2,3,.167,.250,.167,.417,3,0,0,0,0,0,0,.200,53,13
22,Paul Janish\janispa01,5,2,5,5,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,-100,-100
23,David Washington\washida01,2,0,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
24,Johnny Giavotella\giavojo01,3,1,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,-100,-100
,Team Total,845,729,3071,2810,395,753,128,4,135,381,16,9,211,684,.268,.323,.460,.784,1294,66,28,3,18,7,25,.308,109,102
