Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Craig Stammen\stammcr01,28,0,4,2,2,2,1,0,0,0,0,0,2,0,1.000,1.000,1.500,2.500,3,0,0,0,0,0,0,1.000,285,576
2,Christian Villanueva\villach01,5,3,14,14,1,5,1,0,1,1,0,0,0,6,.357,.357,.643,1.000,9,0,0,0,0,0,1,.571,90,167
3,Jose Pirela\pireljo01,40,36,172,154,21,46,13,2,5,19,4,2,15,38,.299,.366,.506,.873,78,2,2,0,1,0,2,.366,109,137
4,Wil Myers\myerswi01,79,78,342,299,42,72,13,2,22,47,9,2,34,101,.241,.322,.518,.840,155,6,4,0,5,1,4,.276,110,126
5,Matt Szczur\szczuma01,51,22,122,99,15,27,7,1,1,9,0,1,17,23,.273,.400,.394,.794,39,2,4,2,0,0,0,.347,126,121
6,Yangervis Solarte\solarya01,66,63,272,250,25,66,15,0,10,34,2,0,17,31,.264,.316,.444,.760,111,12,3,0,2,1,2,.265,107,106
7,Jhoulys Chacin\chacijh01,16,15,28,26,0,9,1,0,0,3,1,0,0,4,.346,.346,.385,.731,10,1,0,2,0,0,0,.409,205,102
8,Hunter Renfroe\renfrhu01,61,59,248,233,25,55,13,0,12,21,2,0,12,78,.236,.282,.446,.729,104,3,3,0,0,1,3,.301,95,96
9,Ryan Schimpf\schimry01,28,26,108,93,16,15,1,0,9,18,0,0,12,37,.161,.259,.462,.722,43,0,1,0,2,0,1,.122,100,93
10,Carlos Asuaje\asuajca01,44,38,177,167,17,47,8,1,3,15,0,0,7,40,.281,.314,.395,.709,66,3,1,2,0,0,1,.355,103,94
11,Jabari Blash\blashja01,32,26,110,91,14,20,4,0,3,10,1,0,17,31,.220,.345,.363,.708,33,4,1,0,1,0,2,.293,110,96
12,Hector Sanchez\sanchhe01,40,11,72,68,6,16,3,0,3,10,0,0,3,22,.235,.264,.412,.676,28,0,0,0,1,0,0,.295,105,82
13,Austin Hedges\hedgeau01,58,52,206,192,17,41,9,0,9,25,0,1,10,63,.214,.257,.401,.658,77,2,2,0,2,1,0,.262,99,77
14,Erick Aybar\aybarer01,56,50,196,173,19,41,7,1,3,10,8,2,18,30,.237,.314,.341,.655,59,3,2,2,1,2,3,.270,103,81
15,Jordan Lyles\lylesjo01,3,3,5,4,1,1,0,0,0,2,0,0,1,1,.250,.400,.250,.650,1,0,0,0,0,0,0,.333,148,86
16,Cory Spangenberg\spangco01,63,55,242,225,25,51,6,1,7,23,3,0,13,65,.227,.275,.356,.631,80,0,2,2,0,1,3,.288,74,72
17,Trevor Cahill\cahiltr01,5,5,9,8,0,2,1,0,0,2,0,0,0,2,.250,.250,.375,.625,3,0,0,1,0,0,0,.333,80,69
18,Dusty Coleman\colemdu01,14,11,42,39,2,9,2,0,1,3,1,0,2,21,.231,.262,.359,.621,14,0,0,0,1,0,0,.444,77,69
19,Allen Cordoba\cordoal01,54,18,113,102,8,23,1,0,3,8,0,1,8,27,.225,.292,.324,.616,33,0,2,0,1,0,0,.274,113,70
20,Manuel Margot\margoma01,61,59,264,251,24,58,7,2,6,18,6,2,10,56,.231,.262,.347,.609,87,5,1,1,1,0,2,.274,69,66
21,Clayton Richard\richacl01,15,15,33,27,2,5,1,0,1,2,0,0,1,17,.185,.267,.333,.600,9,0,2,3,0,0,0,.444,232,64
22,Christian Bethancourt\bethach01,5,0,4,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,1,0,0,0,0,0,0,.333,250,39
23,Franchy Cordero\cordefr02,14,10,44,42,5,7,1,2,0,1,0,0,2,21,.167,.205,.286,.490,12,0,0,0,0,0,0,.333,42,33
24,Luis Sardinas\sardilu01,13,3,23,22,1,5,0,0,0,1,1,0,1,3,.227,.261,.227,.488,5,0,0,0,0,0,1,.263,155,37
25,Luis Perdomo\perdolu02,11,11,22,19,1,2,0,2,0,2,0,0,1,12,.105,.150,.316,.466,6,0,0,2,0,0,0,.286,121,23
26,Luis Torrens\torrelu01,36,20,89,80,5,14,2,0,0,3,0,0,6,19,.175,.233,.200,.433,16,2,0,3,0,2,1,.230,94,22
27,Chase d'Arnaud\darnach01,11,5,29,29,3,4,1,0,1,3,3,0,0,9,.138,.138,.276,.414,8,0,0,0,0,0,0,.158,57,10
28,Travis Jankowski\jankotr01,14,12,46,41,4,6,1,0,0,1,2,0,5,14,.146,.239,.171,.410,7,1,0,0,0,0,0,.222,65,16
29,Dinelson Lamet\lametdi01,9,9,19,17,0,1,0,0,0,0,0,0,0,11,.059,.059,.059,.118,1,0,0,2,0,0,0,.167,37,-67
30,Rocky Gale\galero01,1,1,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,-100,-100
31,Miguel Diaz\diazmi02,17,2,3,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,1,0,0,0,.000,,-100
32,Travis Wood\woodtr01,5,4,7,7,1,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,1,.000,-100,-100
33,Jered Weaver\weaveje02,4,4,7,7,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0,1,0,0,0,0,0,.000,,-100
34,Kevin Quackenbush\quackke01,9,0,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
35,Zach Lee\leeza01,2,1,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
36,Jarred Cosart\cosarja01,3,2,2,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,1,0,0,0,,,-100
37,Brad Hand\handbr01,32,0,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,1,.000,,-100
38,Jose Torres\torrejo02,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
39,Brandon Maurer\maurebr01,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
40,Tim Melville\melviti01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
41,Cory Mazzoni\mazzoco01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
42,Carter Capps\cappsca01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
43,Jake Esch\eschja01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
44,Kyle McGrath\mcgraky01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
