Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Jose Torres\torrejo02,27,0,1,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,0,1.000,100,430
2,Travis Wood\woodtr01,6,6,10,10,2,4,0,0,2,6,0,0,0,4,.400,.400,1.000,1.400,10,0,0,0,0,0,0,.500,260,249
3,Christian Villanueva\villach01,7,4,18,18,4,6,0,0,3,6,0,0,0,4,.333,.333,.833,1.167,15,0,0,0,0,0,1,.273,108,191
4,Trevor Cahill\cahiltr01,4,4,8,5,1,2,0,0,0,0,0,0,1,1,.400,.500,.400,.900,2,0,0,2,0,0,0,.500,162,142
5,Franchy Cordero\cordefr02,16,13,55,50,10,14,2,1,3,8,1,1,4,23,.280,.333,.540,.873,27,0,0,1,0,0,0,.458,148,124
6,Dusty Coleman\colemdu01,13,8,29,27,4,6,1,0,3,6,0,0,0,12,.222,.276,.593,.868,16,1,2,0,0,0,0,.250,133,119
7,Manuel Margot\margoma01,65,62,265,236,29,70,11,5,7,21,11,5,25,50,.297,.362,.475,.837,112,1,1,0,3,0,5,.346,132,118
8,Rocky Gale\galero01,2,2,6,6,1,1,0,0,1,2,0,0,0,1,.167,.167,.667,.833,4,0,0,0,0,0,0,.000,234,103
9,Cory Spangenberg\spangco01,66,60,244,219,32,66,12,1,6,23,8,3,21,63,.301,.369,.447,.816,98,2,3,0,1,0,1,.397,126,113
10,Jose Pirela\pireljo01,43,42,172,158,22,44,12,2,5,21,0,1,12,33,.278,.327,.475,.802,75,6,0,1,1,0,1,.322,91,107
11,Hunter Renfroe\renfrhu01,61,59,231,212,26,48,12,1,14,37,1,0,15,62,.226,.286,.491,.776,104,1,3,0,1,0,2,.248,106,98
12,Wil Myers\myerswi01,76,76,307,268,38,66,16,1,8,27,11,4,36,79,.246,.336,.403,.738,108,9,1,0,2,2,4,.317,89,93
13,Yangervis Solarte\solarya01,62,60,240,216,24,53,6,0,8,30,1,0,20,30,.245,.313,.384,.697,83,6,2,0,2,3,2,.250,92,82
14,Ryan Schimpf\schimry01,25,21,89,72,8,11,1,0,5,7,0,0,15,33,.153,.315,.375,.690,27,0,2,0,0,0,0,.176,99,81
15,Carlos Asuaje\asuajca01,45,40,166,140,11,36,6,0,1,6,0,1,21,36,.257,.356,.321,.677,45,3,1,3,1,0,0,.337,95,81
16,Austin Hedges\hedgeau01,62,58,211,195,19,42,8,0,9,30,4,0,13,59,.215,.267,.395,.662,77,8,1,1,1,2,1,.258,101,71
17,Hector Sanchez\sanchhe01,35,12,71,69,8,14,1,0,5,15,0,0,2,19,.203,.225,.435,.660,30,4,0,0,0,1,0,.200,95,67
18,Erick Aybar\aybarer01,52,43,174,160,18,37,8,0,4,12,3,2,10,27,.231,.283,.356,.639,57,2,2,1,1,0,1,.254,97,67
19,Jabari Blash\blashja01,29,20,85,73,10,15,2,0,2,6,0,2,11,35,.205,.318,.315,.633,23,1,1,0,0,0,0,.361,88,68
20,Matt Szczur\szczuma01,53,15,92,77,11,13,4,1,2,6,0,1,15,17,.169,.304,.325,.629,25,0,0,0,0,0,1,.190,79,66
21,Travis Jankowski\jankotr01,13,10,41,34,6,8,1,0,0,0,2,0,4,14,.235,.333,.265,.598,9,1,1,2,0,0,0,.400,143,61
22,Allen Cordoba\cordoal01,46,24,114,100,9,19,1,2,1,7,2,1,10,27,.190,.272,.270,.542,27,2,2,0,2,1,1,.243,87,44
23,Craig Stammen\stammcr01,29,0,4,4,0,1,0,0,0,0,0,0,0,2,.250,.250,.250,.500,1,0,0,0,0,0,0,.500,-23,32
24,Jordan Lyles\lylesjo01,2,2,4,4,0,1,0,0,0,1,0,0,0,2,.250,.250,.250,.500,1,0,0,0,0,0,0,.500,96,32
25,Luis Torrens\torrelu01,20,11,50,43,2,6,1,1,0,4,0,0,6,11,.140,.260,.209,.469,9,2,1,0,0,1,0,.188,110,26
26,Chase d'Arnaud\darnach01,11,5,22,20,2,3,1,0,0,0,2,1,2,8,.150,.227,.200,.427,4,0,0,0,0,1,0,.250,66,14
27,Luis Perdomo\perdolu02,16,16,31,27,2,3,1,2,0,1,0,0,0,8,.111,.111,.296,.407,8,1,0,4,0,0,0,.158,84,1
28,Luis Sardinas\sardilu01,16,3,30,27,2,3,0,0,0,0,0,0,3,8,.111,.200,.111,.311,3,1,0,0,0,0,0,.158,57,-14
29,Jhoulys Chacin\chacijh01,17,16,33,28,0,3,1,0,0,1,0,0,0,7,.107,.107,.143,.250,4,1,0,5,0,0,1,.143,3,-35
30,Dinelson Lamet\lametdi01,10,10,19,18,0,2,0,0,0,0,0,0,0,11,.111,.111,.111,.222,2,0,0,1,0,0,0,.286,158,-41
31,Clayton Richard\richacl01,16,16,35,30,0,2,0,0,0,2,0,0,0,14,.067,.067,.067,.133,2,0,0,5,0,0,0,.125,-25,-65
32,Miguel Diaz\diazmi02,14,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
33,Jarred Cosart\cosarja01,4,4,4,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,1,0,0,0,.000,,-100
34,Christian Bethancourt\bethach01,3,0,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,-100,-100
35,Dillon Overton\overtdi01,1,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
36,Jered Weaver\weaveje02,4,4,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
37,Kyle Lloyd\lloydky01,1,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
38,Brandon Maurer\maurebr01,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
39,Tim Melville\melviti01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
40,Cory Mazzoni\mazzoco01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
41,Ryan Buchter\buchtry01,19,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
42,Carter Capps\cappsca01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
43,Kyle McGrath\mcgraky01,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
44,Zach Lee\leeza01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
45,Buddy Baumann\baumabu01,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
46,Jose Ruiz\ruizjo01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
47,Phil Maton\matonph01,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
48,Brad Hand\handbr01,34,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,,,
49,Jose Valdez\valdejo03,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
50,Kevin Quackenbush\quackke01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
51,Kirby Yates\yateski01,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
,Team Total,1147,729,2871,2559,302,600,108,17,89,285,46,22,246,706,.234,.306,.394,.700,1009,52,23,28,15,11,21,.287,103,82
