Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Pedro Florimon\floripe01,7,4,17,14,4,6,2,0,0,5,0,0,3,7,.429,.529,.571,1.101,8,0,0,0,0,0,0,.857,156,204
2,Rhys Hoskins\hoskirh01,20,20,86,68,16,18,3,0,8,16,1,0,16,18,.265,.419,.662,1.080,45,1,2,0,0,0,1,.238,113,191
3,Howie Kendrick\kendrho01,17,15,68,62,7,22,5,0,2,6,6,2,4,11,.355,.397,.532,.929,33,2,1,0,1,0,1,.400,120,153
4,Daniel Nava\navada01,43,25,134,115,12,38,4,1,4,19,1,0,15,24,.330,.410,.487,.897,56,1,2,0,2,0,0,.382,120,146
5,Ben Lively\livelbe01,8,8,18,18,2,5,0,0,2,8,0,0,0,6,.278,.278,.611,.889,11,0,0,0,0,0,0,.300,153,135
6,Nick Williams\willini01,37,37,160,148,22,47,8,3,6,33,1,0,7,39,.318,.350,.534,.884,79,6,2,0,3,0,0,.387,116,139
7,Jorge Alfaro\alfarjo01,13,13,53,50,5,16,1,0,2,5,0,0,0,17,.320,.358,.460,.818,23,1,3,0,0,0,2,.452,89,123
8,Aaron Altherr\altheaa01,50,46,201,185,23,48,14,2,5,24,3,3,13,58,.259,.318,.438,.756,81,4,3,0,0,1,1,.352,78,106
9,Odubel Herrera\herreod01,68,60,273,253,27,67,20,2,6,24,5,3,19,63,.265,.315,.431,.746,109,7,0,0,1,3,3,.330,92,103
10,Andrew Knapp\knappan01,27,26,102,90,14,25,5,1,1,7,1,0,11,27,.278,.353,.389,.742,35,2,0,0,1,2,1,.381,102,105
11,Maikel Franco\francma02,77,75,323,299,37,73,18,1,10,33,0,0,19,46,.244,.291,.411,.702,123,13,2,0,3,1,2,.256,104,91
