Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Adam Morgan\morgaad01,21,0,2,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,1,0,0,0,0,0,0,1.000,75,165
2,Rhys Hoskins\hoskirh01,30,30,126,102,21,26,4,0,10,32,1,0,21,28,.255,.381,.588,.969,60,1,1,0,2,1,1,.242,91,149
3,Aaron Altherr\altheaa01,57,46,211,187,35,53,10,3,14,41,2,1,19,46,.283,.360,.594,.954,111,8,4,0,1,1,3,.305,121,144
4,Jorge Alfaro\alfarjo01,16,16,61,57,7,18,5,0,3,9,0,0,3,16,.316,.361,.561,.922,32,1,1,0,0,1,0,.395,109,137
5,Cesar Hernandez\hernace02,64,60,280,244,48,78,14,5,6,20,7,1,32,50,.320,.407,.492,.899,120,4,4,0,0,1,3,.383,126,135
6,Tommy Joseph\josepto01,70,63,256,237,28,65,17,1,12,39,1,0,16,55,.274,.320,.506,.827,120,12,1,0,2,0,4,.308,128,112
7,Odubel Herrera\herreod01,70,68,290,273,40,81,22,1,8,32,3,2,12,63,.297,.334,.473,.807,129,6,4,0,1,1,1,.360,107,109
8,J.P. Crawford\crawfjp01,14,13,56,41,6,10,3,1,0,5,1,0,14,10,.244,.429,.366,.794,15,0,0,0,1,0,0,.313,143,113
9,Howie Kendrick\kendrho01,22,20,88,79,9,26,3,1,0,10,2,1,7,19,.329,.398,.392,.790,31,2,2,0,0,0,1,.433,91,109
10,Pedro Florimon\floripe01,8,8,32,32,2,10,2,1,0,1,0,0,0,9,.313,.313,.438,.750,14,1,0,0,0,0,0,.435,72,94
11,Freddy Galvis\galvifr01,81,77,327,296,41,77,16,2,10,38,10,3,24,64,.260,.319,.429,.748,127,5,3,1,3,1,4,.298,116,94
12,Cameron Rupp\ruppca01,43,39,156,137,20,27,5,0,10,19,1,0,19,55,.197,.295,.453,.747,62,3,0,0,0,0,3,.236,107,92
13,Nick Williams\willini01,46,42,183,165,23,43,6,1,6,22,0,2,13,58,.261,.328,.418,.746,69,2,4,0,1,0,5,.363,85,94
14,Andrew Knapp\knappan01,29,26,102,81,12,19,3,0,2,6,0,0,20,29,.235,.382,.346,.728,28,3,0,0,1,2,0,.333,98,94
