Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Jacob Stallings\stallja01,1,1,5,4,1,3,1,0,0,3,0,0,1,0,.750,.800,1.000,1.800,4,0,0,0,0,0,0,.750,283,393
2,Jhan Marinez\marinjh01,12,0,3,3,0,1,1,0,0,0,0,0,0,2,.333,.333,.667,1.000,2,0,0,0,0,0,0,1.000,300,165
3,Tyler Glasnow\glasnty01,8,6,14,10,1,4,0,0,0,3,0,0,3,5,.400,.571,.400,.971,4,0,1,0,0,0,0,.800,162,176
4,Steven Brault\braulst01,7,2,8,8,1,3,1,0,0,2,0,0,0,0,.375,.375,.500,.875,4,0,0,0,0,0,0,.375,225,138
5,Andrew McCutchen\mccutan01,77,75,319,285,50,73,14,1,19,49,3,2,31,54,.256,.332,.512,.845,146,5,2,0,1,0,1,.254,97,128
6,Josh Bell\belljo02,79,72,318,285,41,75,15,4,15,43,2,4,30,61,.263,.333,.502,.835,143,9,1,0,2,0,2,.284,107,126
7,Gift Ngoepe\ngoepgi01,16,8,39,33,7,9,2,1,0,6,0,0,6,15,.273,.385,.394,.779,13,0,0,0,0,0,0,.500,152,116
8,Jordy Mercer\mercejo03,73,72,284,256,27,67,11,2,9,33,0,2,25,46,.262,.335,.426,.760,109,7,3,0,0,9,4,.289,108,108
9,Adam Frazier\fraziad01,61,46,227,199,27,51,9,5,4,29,3,2,20,26,.256,.336,.412,.748,82,3,5,1,2,1,1,.275,101,105
10,Francisco Cervelli\cervefr01,44,40,162,143,18,37,7,2,3,20,0,1,15,38,.259,.346,.399,.744,57,6,4,0,0,0,3,.333,109,105
11,Josh Harrison\harrijo05,65,65,288,255,36,66,14,1,7,24,6,3,12,45,.259,.332,.404,.736,103,1,17,2,2,0,4,.288,92,102
12,John Jaso\jasojo01,61,30,155,131,14,27,11,0,5,18,1,1,20,38,.206,.323,.405,.727,53,2,3,0,1,1,1,.247,99,99
13,David Freese\freesda01,64,60,255,216,20,55,8,0,3,21,0,0,30,67,.255,.361,.333,.694,72,4,7,0,2,1,4,.351,88,94
14,Jose Osuna\osunajo01,47,19,107,101,18,23,5,1,4,17,0,0,5,26,.228,.271,.416,.687,42,3,1,0,0,0,0,.268,98,86
15,Christopher Bostick\bostich01,11,3,19,16,4,4,1,0,0,1,0,1,3,7,.250,.368,.313,.681,5,0,0,0,0,0,0,.444,75,91
16,Gregory Polanco\polangr01,53,47,198,183,20,45,8,0,4,13,4,1,12,28,.246,.299,.355,.655,65,3,2,0,0,1,1,.272,89,80
17,Alen Hanson\hansoal01,17,5,30,29,6,7,0,2,0,1,2,0,1,3,.241,.267,.379,.646,11,0,0,0,0,0,0,.269,111,75
18,Elias Diaz\diazel01,28,20,92,84,10,19,7,0,1,11,1,0,7,15,.226,.283,.345,.628,29,1,0,0,1,0,0,.261,117,72
19,Starling Marte\martest01,39,37,170,160,17,37,3,0,2,13,11,1,5,38,.231,.271,.288,.558,46,2,4,0,1,0,2,.289,57,55
20,Max Moroff\morofma01,26,12,67,56,6,9,2,1,0,10,0,1,10,25,.161,.288,.232,.520,13,0,0,1,0,0,1,.290,67,47
21,Gerrit Cole\colege01,16,16,37,31,2,5,1,0,1,3,0,0,1,13,.161,.188,.290,.478,9,1,0,5,0,0,0,.235,128,29
22,Sean Rodriguez\rodrise01,20,11,51,47,5,8,0,0,1,3,0,0,3,18,.170,.235,.234,.469,11,1,1,0,0,0,0,.250,65,30
23,Jordan Luplow\luplojo01,15,11,49,42,2,7,1,0,0,3,0,0,4,10,.167,.265,.190,.456,8,4,2,0,1,0,0,.212,45,29
24,Chris Stewart\stewach01,28,20,77,65,4,9,1,0,0,0,0,0,9,16,.138,.253,.154,.407,10,2,1,2,0,1,1,.184,75,17
25,Chad Kuhl\kuhlch01,13,12,27,23,1,2,1,0,0,1,0,0,1,12,.087,.125,.130,.255,3,0,0,3,0,0,0,.182,92,-29
26,Phil Gosselin\gosseph01,14,3,19,17,0,1,0,0,0,1,0,0,2,5,.059,.158,.059,.217,1,1,0,0,0,0,0,.083,19,-36
27,Trevor Williams\willitr01,13,10,22,18,1,1,0,0,0,0,0,0,1,6,.056,.105,.056,.161,1,0,0,3,0,0,1,.083,127,-54
28,Johnny Barbato\barbajo01,13,0,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
29,Wade LeBlanc\leblawa01,22,0,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,-100,-100
30,Angel Sanchez\sanchan03,6,0,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
31,Tony Watson\watsoto01,18,0,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
32,A.J. Schugel\schugaj01,13,0,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
33,Josh Lindblom\lindbjo01,2,0,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
34,John Bormann\bormajo01,1,0,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
35,Danny Ortiz\ortizda02,4,1,6,6,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,-100,-100
36,Jameson Taillon\taillja01,8,8,16,13,0,0,0,0,0,0,0,0,0,6,.000,.000,.000,.000,0,1,0,3,0,0,0,.000,-100,-100
37,Ivan Nova\novaiv01,17,17,36,31,0,0,0,0,0,0,0,0,0,19,.000,.000,.000,.000,0,0,0,5,0,0,0,.000,-100,-100
38,Juan Nicasio\nicasju01,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
39,Daniel Hudson\hudsoda01,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
40,Edgar Santana\santaed01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
41,Antonio Bastardo\bastaan01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
42,Felipe Vazquez\riverfe01,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
43,Joaquin Benoit\benoijo01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
44,George Kontos\kontoge01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
45,Dovydas Neverauskas\neverdo01,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
46,Dan Runzler\runzlda01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
47,Jack Leathersich\leathja01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
,Team Total,1117,729,3108,2758,339,648,124,20,78,328,33,19,257,649,.235,.311,.379,.690,1046,56,54,25,13,14,26,.279,96,89
