Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Christopher Bostick\bostich01,9,1,13,11,2,4,1,0,0,0,0,0,1,2,.364,.462,.455,.916,5,0,1,0,0,0,0,.444,137,143
2,Jordan Luplow\luplojo01,12,9,38,36,4,9,2,1,3,8,0,1,2,12,.250,.289,.611,.901,22,0,0,0,0,0,0,.286,163,127
3,Starling Marte\martest01,38,38,169,149,31,48,4,2,5,18,10,3,15,25,.322,.396,.477,.873,71,3,4,0,1,0,0,.358,145,128
4,Andrew McCutchen\mccutan01,79,79,331,285,44,86,16,1,9,39,8,3,42,62,.302,.393,.460,.852,131,5,2,0,2,5,2,.356,103,123
5,Josh Harrison\harrijo05,63,57,254,231,30,66,12,1,9,23,6,1,16,45,.286,.346,.463,.810,107,4,6,0,1,2,3,.320,109,110
6,David Freese\freesda01,66,59,248,210,24,57,8,0,7,31,0,1,28,49,.271,.375,.410,.785,86,6,8,0,2,4,0,.321,112,107
7,Josh Bell\belljo02,80,69,302,264,34,65,11,2,11,47,0,0,36,56,.246,.334,.428,.762,113,6,0,0,2,4,5,.271,92,98
8,Adam Frazier\fraziad01,60,47,227,207,28,61,11,1,2,24,6,3,16,31,.295,.352,.386,.739,80,6,3,0,1,1,4,.337,99,94
9,John Jaso\jasojo01,65,23,147,125,14,27,8,0,5,17,0,0,20,28,.216,.333,.400,.733,50,3,2,0,0,1,2,.239,101,92
10,Gregory Polanco\polangr01,55,50,213,196,19,50,12,0,7,22,4,0,15,32,.255,.310,.423,.733,83,2,1,0,1,3,0,.272,110,90
11,Max Moroff\morofma01,30,14,73,64,13,15,2,0,3,11,0,0,6,18,.234,.315,.406,.721,26,0,2,0,1,0,0,.273,129,88
12,Jose Osuna\osunajo01,57,23,120,114,13,27,8,3,3,13,0,0,4,14,.237,.267,.439,.705,50,7,1,0,1,0,2,.245,102,81
13,Jordy Mercer\mercejo03,72,71,274,246,25,61,13,3,5,25,0,2,26,42,.248,.318,.386,.704,95,9,0,0,2,4,1,.279,93,84
14,Francisco Cervelli\cervefr01,37,35,142,122,13,29,6,0,2,11,0,1,17,27,.238,.338,.336,.674,41,1,2,0,1,0,1,.287,90,79
15,Sean Rodriguez\rodrise01,19,13,55,48,7,8,1,0,2,2,0,0,5,20,.167,.273,.313,.585,15,1,2,0,0,0,0,.231,105,54
16,Jacob Stallings\stallja01,4,2,11,10,2,2,1,0,0,0,0,0,1,2,.200,.273,.300,.573,3,0,0,0,0,1,1,.250,22,51
17,Elias Diaz\diazel01,36,24,108,104,8,23,7,0,0,8,0,0,4,23,.221,.250,.288,.538,30,7,0,0,0,0,0,.284,86,41
18,Chris Stewart\stewach01,23,20,67,66,4,15,0,2,0,4,0,0,0,6,.227,.227,.288,.515,19,1,0,1,0,0,1,.250,125,34
19,Wade LeBlanc\leblawa01,24,0,4,4,0,1,0,0,0,1,0,0,0,2,.250,.250,.250,.500,1,0,0,0,0,0,0,.500,150,32
