Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Will Middlebrooks\middlwi01,10,2,14,14,4,4,1,2,0,2,0,0,0,5,.286,.286,.643,.929,9,0,0,0,0,0,0,.444,199,145
2,Joey Gallo\gallojo01,69,64,248,216,35,45,11,3,19,38,4,1,32,92,.208,.310,.551,.861,119,0,0,0,0,0,3,.248,96,130
3,Adrian Beltre\beltrad01,50,50,207,188,19,51,9,1,10,34,1,0,18,35,.271,.333,.489,.823,92,2,0,0,1,2,1,.285,79,123
4,Elvis Andrus\andruel01,80,80,352,332,54,98,20,2,13,39,15,6,15,58,.295,.324,.485,.809,161,10,1,0,4,0,5,.321,99,119
5,Robinson Chirinos\chiriro01,44,41,155,135,20,33,6,1,7,18,1,0,14,39,.244,.335,.459,.795,62,2,5,0,1,0,1,.289,84,116
6,Shin-Soo Choo\choosh01,77,73,326,287,41,72,11,0,13,42,5,0,32,77,.251,.332,.425,.757,122,8,4,1,2,1,1,.296,94,107
7,Brett Nicholas\nichobr01,8,7,28,28,4,9,3,0,0,4,0,0,0,4,.321,.321,.429,.750,12,0,0,0,0,0,0,.375,131,104
8,Mike Napoli\napolmi01,62,57,241,212,30,42,4,1,14,28,1,1,24,81,.198,.288,.425,.712,90,3,3,0,1,3,3,.237,100,93
9,Jonathan Lucroy\lucrojo01,42,40,167,153,17,38,9,0,4,18,0,0,12,18,.248,.311,.386,.697,59,2,2,0,0,0,1,.260,94,91
10,Carlos Gomez\gomezca01,54,51,222,190,21,41,12,0,5,16,4,2,19,71,.216,.317,.358,.675,68,3,10,1,2,0,1,.310,71,86
11,Drew Robinson\robindr01,25,19,65,59,4,12,2,0,3,6,0,0,6,24,.203,.277,.390,.667,23,1,0,0,0,0,0,.281,77,81
12,Nomar Mazara\mazarno01,74,69,301,272,29,56,11,2,9,41,1,2,25,67,.206,.276,.360,.636,98,5,2,0,2,5,2,.237,71,74
13,Delino DeShields\deshide02,59,49,213,185,32,40,10,0,1,5,10,5,17,61,.216,.290,.286,.576,53,2,3,6,2,0,3,.312,62,60
14,Ryan Rua\ruary01,30,15,59,54,4,10,4,0,1,4,0,1,4,23,.185,.241,.315,.556,17,2,0,1,0,0,0,.300,77,52
