Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Adrian Beltre\beltrad01,44,43,182,152,28,55,13,0,7,37,0,0,21,17,.362,.440,.586,1.025,89,5,4,0,5,0,1,.361,125,166
2,Robinson Chirinos\chiriro01,44,41,154,128,26,34,7,0,10,20,0,0,20,40,.266,.386,.555,.940,71,3,5,1,0,0,1,.308,117,143
3,Carlos Gomez\gomezca01,51,50,204,178,30,53,11,1,12,35,9,3,12,56,.298,.366,.573,.939,102,0,9,2,3,0,1,.363,132,141
4,Joey Gallo\gallojo01,76,71,284,233,50,49,7,0,22,42,3,1,43,104,.210,.352,.524,.876,122,3,8,0,0,1,3,.252,103,126
5,Drew Robinson\robindr01,23,13,56,48,7,12,3,0,3,7,0,2,8,18,.250,.357,.500,.857,24,1,0,0,0,0,0,.333,128,122
6,Nomar Mazara\mazarno01,74,73,315,282,35,84,19,0,11,60,1,0,30,60,.298,.368,.482,.851,136,7,2,0,1,1,2,.344,128,121
7,Delino DeShields\deshide02,61,53,227,191,43,61,5,2,5,17,19,3,27,48,.319,.400,.445,.845,85,0,0,7,2,0,3,.400,137,122
8,Jared Hoying\hoyinja01,20,10,45,41,12,13,3,0,1,5,3,0,4,8,.317,.378,.463,.841,19,0,0,0,0,0,0,.375,197,120
9,Elvis Andrus\andruel01,78,78,337,311,46,93,24,2,7,49,10,4,23,43,.299,.351,.457,.808,142,8,2,1,0,0,2,.330,101,110
10,Shin-Soo Choo\choosh01,72,67,310,257,55,70,9,1,9,36,7,3,45,57,.272,.383,.420,.803,108,10,3,2,3,0,5,.314,107,111
11,Willie Calhoun\calhowi01,10,8,32,29,3,9,0,0,1,4,0,0,2,3,.310,.375,.414,.789,12,0,1,0,0,0,2,.320,133,108
12,Rougned Odor\odorro01,81,80,324,298,51,72,13,1,18,47,9,4,20,78,.242,.296,.473,.769,141,8,4,0,2,3,3,.265,137,97
13,Mike Napoli\napolmi01,62,59,244,213,30,40,7,0,15,38,0,1,25,82,.188,.283,.432,.715,92,8,4,0,2,0,1,.212,100,84
14,Ryan Rua\ruary01,33,21,85,75,13,18,2,0,2,8,2,1,10,29,.240,.329,.347,.676,26,1,0,0,0,0,0,.364,116,78
15,Brett Nicholas\nichobr01,13,9,37,35,3,6,1,0,2,7,0,0,2,9,.171,.216,.371,.588,13,2,0,0,0,0,0,.167,76,50
16,Jonathan Lucroy\lucrojo01,35,35,139,128,10,30,6,0,0,9,1,0,7,14,.234,.281,.281,.562,36,8,2,0,2,0,1,.259,57,49
17,Jurickson Profar\profaju01,10,8,30,26,4,4,2,0,0,3,0,1,3,4,.154,.241,.231,.472,6,0,0,1,0,0,1,.182,94,25
18,Will Middlebrooks\middlwi01,12,5,25,24,1,4,1,0,0,1,0,0,1,9,.167,.200,.208,.408,5,0,0,0,0,0,0,.267,43,8
19,Phil Gosselin\gosseph01,8,0,8,8,0,1,1,0,0,0,0,0,0,3,.125,.125,.250,.375,2,0,0,0,0,0,0,.200,102,-5
20,Pete Kozma\kozmape01,13,4,18,17,2,2,0,0,0,1,0,1,1,7,.118,.167,.118,.284,2,0,0,0,0,0,0,.200,50,-23
21,A.J. Jimenez\jimenaj01,6,1,12,11,0,1,0,0,0,0,0,0,0,7,.091,.091,.091,.182,1,0,0,1,0,0,0,.250,119,-52
22,A.J. Griffin\griffaj01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
,Team Total,827,729,3068,2685,449,711,134,7,125,426,64,24,304,696,.265,.347,.460,.806,1234,64,44,15,20,5,26,.311,115,110
