Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Logan Morrison\morrilo01,76,70,314,261,48,71,12,0,27,50,1,0,49,69,.272,.392,.628,1.020,164,3,3,0,1,5,0,.265,133,175
2,Lucas Duda\dudalu01,26,23,101,84,14,18,4,0,9,18,0,0,14,22,.214,.337,.583,.920,49,2,2,0,1,1,0,.167,122,147
3,Danny Espinosa\espinda01,5,3,14,12,1,5,0,0,0,0,0,0,1,6,.417,.500,.417,.917,5,0,1,0,0,0,0,.833,254,158
4,Colby Rasmus\rasmuco01,17,13,58,55,5,16,5,0,3,7,1,0,2,20,.291,.310,.545,.856,30,0,0,0,1,0,0,.394,92,129
5,Steven Souza Jr.\souzast01,73,72,314,275,42,71,14,0,16,42,8,2,34,89,.258,.345,.484,.829,133,5,3,1,1,1,0,.322,104,125
6,Corey Dickerson\dickeco01,77,73,332,316,43,94,18,3,13,30,3,2,15,72,.297,.331,.497,.828,157,6,1,0,0,1,3,.351,103,124
7,Tim Beckham\beckhti01,46,45,180,163,15,42,3,2,7,19,3,3,15,61,.258,.322,.429,.752,70,5,1,0,1,0,3,.365,93,105
8,Adeiny Hechavarria\hechaad01,41,40,157,149,16,43,9,2,3,15,1,0,6,27,.289,.314,.436,.750,65,5,0,1,1,0,2,.333,116,104
9,Kevin Kiermaier\kiermke01,48,46,209,189,27,48,8,1,7,15,3,2,15,53,.254,.314,.418,.732,79,2,2,2,1,1,1,.315,86,100
10,Wilson Ramos\ramoswi01,33,30,124,111,13,25,1,0,8,23,0,0,8,19,.225,.273,.450,.723,50,5,0,0,2,1,2,.198,95,94
11,Shane Peterson\petersh01,19,10,50,45,2,11,4,0,1,6,1,0,4,12,.244,.320,.400,.720,18,0,1,0,0,0,0,.313,105,97
12,Jesus Sucre\sucreje01,30,25,93,87,6,22,3,0,4,16,0,0,3,19,.253,.283,.425,.708,37,4,1,1,1,0,0,.277,102,91
13,Curt Casali\casalcu01,3,0,3,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,1,0,0,0,0,0,0,.333,22,85
14,Jake Odorizzi\odorija01,2,2,4,3,0,1,0,0,0,1,0,0,0,0,.333,.333,.333,.667,1,0,0,1,0,0,0,.333,100,85
15,Evan Longoria\longoev01,78,78,343,309,33,70,16,1,10,38,1,0,23,60,.227,.280,.382,.662,118,11,3,0,8,1,2,.243,80,80
16,Rickie Weeks\weeksri01,22,15,65,55,6,12,2,0,1,3,0,0,8,30,.218,.338,.309,.648,17,0,2,0,0,0,1,.458,96,81
17,Brad Miller\millebr02,54,44,194,164,23,33,8,2,3,19,2,1,27,50,.201,.314,.329,.644,54,2,1,0,2,0,1,.265,94,78
18,Daniel Robertson\roberda10,36,32,122,102,7,23,3,1,1,10,0,0,16,31,.225,.339,.304,.643,31,3,2,1,1,0,1,.310,103,80
19,Derek Norris\norride01,27,26,104,95,8,19,4,0,4,11,0,0,5,22,.200,.240,.368,.609,35,3,1,0,3,0,0,.208,90,64
20,Mallex Smith\smithma05,39,31,137,129,16,31,5,2,0,3,5,4,7,36,.240,.279,.310,.589,40,1,0,1,0,0,2,.333,72,62
21,Taylor Featherston\feathta01,8,4,21,18,3,3,0,0,1,3,0,0,1,3,.167,.238,.333,.571,6,1,1,0,1,0,1,.133,79,55
22,Peter Bourjos\bourjpe01,51,24,109,103,14,18,3,2,3,6,2,2,5,33,.175,.220,.330,.550,34,1,1,0,0,0,0,.224,67,49
23,Trevor Plouffe\plouftr01,18,9,44,42,4,8,1,0,1,2,0,0,2,9,.190,.227,.286,.513,12,0,0,0,0,1,1,.219,73,40
24,Chris Archer\archech01,3,3,8,8,1,2,0,0,0,1,0,0,0,3,.250,.250,.250,.500,2,1,0,0,0,0,0,.400,100,39
25,Cesar Puello\puellce01,8,4,16,14,2,2,0,0,0,2,0,0,2,5,.143,.250,.143,.393,2,1,0,0,0,0,0,.222,51,13
26,Blake Snell\snellbl01,3,3,7,5,0,0,0,0,0,0,0,0,1,1,.000,.167,.000,.167,0,0,0,1,0,0,0,.000,,-48
27,Michael Martinez\martimi02,8,2,16,14,1,0,0,0,0,0,0,0,2,6,.000,.125,.000,.125,0,0,0,0,0,0,0,.000,-52,-61
28,Alex Cobb\cobbal01,2,2,6,6,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
29,Brad Boxberger\boxbebr01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
30,Alex Colome\colomal01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
