Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Jesse Winker\winkeje01,23,14,69,63,10,21,4,0,5,10,1,1,6,12,.333,.391,.635,1.026,40,1,0,0,0,0,1,.348,124,176
2,Joey Votto\vottojo01,81,81,363,294,51,92,16,1,16,42,2,1,59,37,.313,.435,.537,.973,158,7,7,0,3,7,0,.311,89,166
3,Phil Ervin\ervinph01,18,8,43,38,7,12,2,0,2,8,3,1,3,9,.316,.381,.526,.907,20,0,1,1,0,0,1,.370,138,147
4,Zack Cozart\cozarza01,55,48,223,190,28,49,9,4,12,28,1,0,30,37,.258,.363,.537,.900,102,2,2,0,1,0,1,.261,92,144
5,Scott Schebler\schebsc01,71,65,273,251,36,66,24,1,17,39,1,1,18,63,.263,.315,.570,.885,143,5,2,0,2,2,2,.283,120,136
6,Adam Duvall\duvalad01,78,74,329,302,43,80,22,1,19,52,1,2,17,78,.265,.304,.533,.837,161,3,3,0,7,0,4,.288,112,124
7,Lisalverto Bonilla\bonilli01,2,1,4,3,0,1,0,0,0,0,0,0,1,2,.333,.500,.333,.833,1,0,0,0,0,0,0,1.000,233,138
8,Scooter Gennett\gennesc01,72,58,264,243,38,69,9,3,11,40,2,2,16,58,.284,.333,.481,.815,117,5,3,0,2,0,2,.330,88,121
9,Tucker Barnhart\barnhtu01,60,52,219,192,16,55,14,1,5,26,0,0,21,31,.286,.356,.448,.804,86,7,1,3,2,5,2,.316,114,120
10,Homer Bailey\baileho02,8,8,21,15,2,5,2,0,0,0,0,0,0,6,.333,.333,.467,.800,7,0,0,6,0,0,0,.556,179,117
11,Eugenio Suarez\suareeu01,79,77,334,282,36,70,11,0,5,33,4,2,43,77,.248,.353,.340,.694,96,11,5,0,4,0,5,.319,70,93
12,Jose Peraza\perazjo01,73,64,281,262,25,77,6,1,2,19,13,5,11,31,.294,.331,.347,.678,91,5,4,3,1,0,3,.326,119,88
13,Devin Mesoraco\mesorde01,28,20,80,69,7,15,3,0,2,7,1,0,7,20,.217,.325,.348,.673,24,3,4,0,0,0,0,.277,91,86
14,Zach Vincej\vinceza01,5,0,5,4,1,1,0,0,0,0,0,0,0,1,.250,.400,.250,.650,1,0,1,0,0,0,0,.333,245,86
15,Billy Hamilton\hamilbi02,68,66,317,291,36,64,7,3,1,16,28,2,24,70,.220,.279,.275,.554,80,1,0,2,0,0,1,.286,75,54
16,Patrick Kivlehan\kivlepa01,59,16,106,99,10,15,1,1,5,9,0,0,7,39,.152,.208,.333,.541,33,1,0,0,0,0,2,.182,52,46
17,Tim Adleman\adlemti01,12,6,12,10,0,2,0,0,0,0,0,0,0,3,.200,.200,.200,.400,2,0,0,2,0,0,0,.286,239,11
18,Stuart Turner\turnest01,19,10,48,45,0,6,3,0,0,2,0,0,2,10,.133,.170,.200,.370,9,5,0,1,0,0,0,.171,75,2
19,Bronson Arroyo\arroybr01,6,6,11,11,0,2,0,0,0,0,0,0,0,5,.182,.182,.182,.364,2,0,0,0,0,0,0,.333,136,1
20,Rookie Davis\davisro03,3,2,3,2,0,0,0,0,0,0,0,0,0,2,.000,.333,.000,.333,0,0,1,0,0,0,0,,16,5
21,Sal Romano\romansa01,8,8,17,13,0,1,1,0,0,0,0,0,1,7,.077,.143,.154,.297,2,1,0,3,0,0,0,.167,264,-18
22,Arismendy Alcantara\alcanar01,32,4,45,45,3,5,1,0,0,2,0,0,0,17,.111,.111,.133,.244,6,0,0,0,0,0,0,.179,13,-33
