Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Raisel Iglesias\iglesra01,38,0,1,1,0,1,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0,0,0,0,0,0,1.000,100,658
2,Kevin Shackelford\shackke01,12,0,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,0,1.000,501,430
3,Joey Votto\vottojo01,81,81,344,265,55,87,18,0,20,58,3,0,75,46,.328,.474,.623,1.096,165,9,1,0,3,13,3,.332,112,185
4,Tyler Mahle\mahlety01,1,1,2,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,1,0,0,0,0,0,0,1.000,450,165
5,Jake Buchanan\buchaja01,2,0,2,2,1,1,0,0,0,1,0,0,0,1,.500,.500,.500,1.000,1,0,0,0,0,0,0,1.000,75,165
6,Eugenio Suarez\suareeu01,77,72,298,252,51,69,14,2,21,49,0,3,41,70,.274,.383,.595,.978,150,5,4,0,1,1,1,.296,133,151
7,Zack Cozart\cozarza01,67,65,284,248,52,81,15,3,12,35,2,0,32,41,.327,.401,.556,.958,138,3,1,0,3,0,5,.348,106,148
8,Scooter Gennett\gennesc01,69,50,233,218,42,67,13,0,16,57,1,0,14,56,.307,.352,.587,.939,128,10,1,0,0,1,3,.349,114,140
9,Patrick Kivlehan\kivlepa01,56,12,98,79,13,22,4,0,4,17,1,2,15,22,.278,.408,.481,.889,38,1,3,0,1,1,1,.333,155,133
10,Jackson Stephens\stephja01,3,3,5,5,1,2,0,0,0,2,0,0,0,2,.400,.400,.400,.800,2,0,0,0,0,0,0,.667,140,112
11,Jesse Winker\winkeje01,24,14,68,58,11,15,3,0,2,5,0,0,9,12,.259,.358,.414,.772,24,1,0,1,0,0,0,.295,74,102
12,Rookie Davis\davisro03,4,4,5,4,0,1,1,0,0,0,0,0,0,3,.250,.250,.500,.750,2,0,0,1,0,0,0,1.000,138,90
13,Devin Mesoraco\mesorde01,28,19,85,72,10,15,2,1,4,7,0,0,11,18,.208,.318,.431,.748,31,1,1,0,1,0,0,.216,110,94
14,Adam Duvall\duvalad01,79,75,318,285,35,66,15,2,12,47,4,1,22,92,.232,.299,.425,.723,121,8,7,0,4,1,2,.292,88,87
15,Billy Hamilton\hamilbi02,71,69,316,291,49,80,10,8,3,22,31,11,20,63,.275,.319,.395,.715,115,4,0,3,2,0,3,.339,125,86
16,Michael Lorenzen\lorenmi01,40,0,10,10,1,2,0,0,1,1,0,0,0,4,.200,.200,.500,.700,5,0,0,0,0,0,0,.200,140,74
