Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,David Price\priceda01,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,0,1.000,100,455
2,Chase d'Arnaud\darnach01,2,0,1,1,2,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,0,1.000,676,455
3,Chris Sale\salech01,1,1,3,3,0,1,1,0,0,0,0,0,0,1,.333,.333,.667,1.000,2,0,0,0,0,0,0,.500,100,165
4,Eduardo Nunez\nunezed02,16,16,76,71,12,21,7,0,4,11,0,1,4,13,.296,.342,.563,.905,40,1,1,0,0,0,3,.315,123,143
5,Tzu-Wei Lin\lintz02,13,10,42,33,6,11,0,1,0,2,1,0,8,11,.333,.463,.394,.857,13,0,0,1,0,0,1,.500,142,141
6,Andrew Benintendi\beninan01,76,72,339,290,43,82,12,1,13,51,13,5,42,56,.283,.373,.466,.838,135,6,2,1,4,2,2,.307,116,130
7,Mookie Betts\bettsmo01,77,77,363,323,61,81,24,1,16,57,13,2,38,42,.251,.331,.480,.810,155,2,1,0,1,2,3,.244,101,120
8,Jackie Bradley Jr.\bradlja02,65,64,268,240,32,65,11,1,11,37,3,2,23,54,.271,.343,.463,.806,111,2,4,0,1,3,3,.307,121,119
9,Hanley Ramirez\ramirha01,65,59,262,240,35,59,12,0,13,30,0,1,20,63,.246,.309,.458,.767,110,9,2,0,0,3,1,.280,103,108
10,Sam Travis\travisa01,17,9,41,39,9,12,4,0,0,1,1,0,2,10,.308,.341,.410,.752,16,1,0,0,0,0,0,.414,125,106
11,Xander Bogaerts\bogaexa01,71,68,308,271,43,68,12,4,6,34,8,0,32,57,.251,.334,.391,.726,106,5,3,0,2,5,3,.295,94,99
12,Mitch Moreland\morelmi01,72,63,287,257,32,58,14,0,12,38,0,0,26,60,.226,.300,.420,.720,108,6,2,0,2,2,3,.246,87,96
13,Rafael Devers\deverra01,25,24,106,97,11,24,3,0,4,13,1,1,9,26,.247,.311,.402,.713,39,2,0,0,0,1,2,.299,75,95
14,Dustin Pedroia\pedrodu01,50,49,225,201,17,51,10,0,3,26,3,3,22,29,.254,.330,.348,.679,70,8,1,1,0,3,3,.284,78,88
