Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Chris Rusin\rusinch01,26,0,6,6,1,3,0,0,0,0,0,0,0,2,.500,.500,.500,1.000,3,0,0,0,0,0,0,.750,200,178
2,Nolan Arenado\arenano01,81,80,350,311,37,88,19,2,18,54,3,1,33,52,.283,.355,.531,.886,165,6,3,1,2,5,3,.288,86,140
3,Charlie Blackmon\blackch02,81,81,375,340,56,94,17,1,13,44,7,5,26,85,.276,.337,.447,.784,152,1,6,1,2,4,6,.332,59,114
4,Ryan Hanigan\hanigry01,15,13,53,48,4,14,1,0,2,6,0,0,3,10,.292,.346,.438,.784,21,2,1,1,0,2,0,.333,133,114
5,Ian Desmond\desmoia01,48,45,191,173,25,49,6,1,5,20,9,4,14,44,.283,.347,.416,.764,72,5,3,1,0,0,1,.355,117,109
6,Dustin Garneau\garnedu01,10,8,36,31,3,8,5,0,0,2,0,0,3,13,.258,.343,.419,.762,13,0,1,1,0,0,0,.444,160,109
7,DJ LeMahieu\lemahdj01,77,75,340,309,41,91,16,1,5,29,3,2,26,51,.294,.352,.401,.753,124,10,2,2,1,0,3,.339,92,107
8,Alexi Amarista\amarial01,47,14,89,84,11,22,5,0,3,12,0,0,4,20,.262,.295,.429,.724,36,3,0,1,0,0,0,.311,132,96
9,Trevor Story\storytr01,71,65,274,245,29,54,16,0,11,30,4,1,27,106,.220,.303,.420,.723,103,9,2,0,0,1,3,.336,90,97
10,Gerardo Parra\parrage01,55,48,205,190,22,53,10,1,4,28,1,3,7,37,.279,.302,.405,.708,77,8,2,0,6,0,1,.316,78,93
11,Mark Reynolds\reynoma01,75,64,293,265,26,64,13,0,9,39,1,1,26,89,.242,.311,.392,.703,104,6,1,0,1,0,2,.327,69,92
12,Pat Valaika\valaipa01,53,15,94,86,11,20,4,0,4,9,0,0,3,27,.233,.256,.419,.674,36,0,0,4,1,0,0,.286,69,82
13,Jonathan Lucroy\lucrojo01,19,19,76,63,3,15,1,2,0,5,0,0,10,14,.238,.355,.317,.673,20,2,2,0,1,3,1,.300,88,88
14,Stephen Cardullo\cardust01,8,3,19,16,1,4,0,0,0,3,0,0,2,4,.250,.368,.250,.618,4,0,1,0,0,0,1,.333,222,76
15,Carlos Gonzalez\gonzaca01,66,63,266,241,27,49,13,0,6,15,2,0,24,71,.203,.274,.332,.606,80,5,0,0,1,2,2,.261,59,66
16,Tony Wolters\wolteto01,41,38,148,124,16,27,2,0,0,7,0,1,22,31,.218,.340,.234,.574,29,5,1,1,0,6,0,.290,82,63
17,Raimel Tapia\tapiara01,42,21,106,100,14,22,6,0,1,8,4,1,4,25,.220,.264,.310,.574,31,2,2,0,0,0,1,.284,53,58
18,Ryan McMahon\mcmahry01,6,1,6,5,1,1,0,0,0,0,0,0,1,0,.200,.333,.200,.533,1,1,0,0,0,0,0,.200,95,53
19,Mike Tauchman\tauchmi01,14,2,16,14,0,3,0,0,0,1,1,1,2,4,.214,.313,.214,.527,3,0,0,0,0,0,0,.300,63,50
20,Kyle Freeland\freelky01,14,10,26,24,2,3,1,0,1,1,0,0,1,15,.125,.160,.292,.452,7,0,0,1,0,0,0,.250,121,21
21,Antonio Senzatela\senzaan01,14,6,13,9,1,2,0,0,0,2,0,0,0,6,.222,.222,.222,.444,2,0,0,4,0,0,0,.667,220,23
22,Tyler Chatwood\chatwty01,15,12,26,22,4,4,1,0,0,0,0,0,0,5,.182,.182,.227,.409,5,0,0,4,0,0,0,.235,131,12
23,Tom Murphy\murphto04,5,3,12,11,0,1,1,0,0,1,0,0,1,4,.091,.167,.182,.348,2,0,0,0,0,0,0,.143,265,-4
24,Tyler Anderson\anderty01,9,8,19,15,0,1,0,0,0,0,0,0,1,10,.067,.125,.067,.192,1,1,0,3,0,0,0,.200,245,-45
25,Jeff Hoffman\hoffmje02,9,7,18,17,0,1,0,0,0,0,0,0,0,8,.059,.059,.059,.118,1,1,0,1,0,0,0,.111,14,-67
26,German Marquez\marquge01,13,13,24,20,0,1,0,0,0,2,0,0,0,12,.050,.050,.050,.100,1,0,0,4,0,0,1,.125,-49,-72
27,Jon Gray\grayjo02,11,11,24,21,1,0,0,0,0,0,0,0,1,16,.000,.045,.000,.045,0,0,0,2,0,0,0,.000,-56,-86
28,Chad Bettis\bettich01,4,4,5,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,2,0,0,0,.000,-100,-100
29,Jordan Lyles\lylesjo01,14,0,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,-100,-100
30,Cristhian Adames\adamecr01,5,0,5,5,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
31,Chad Qualls\quallch01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
32,Mike Dunn\dunnmi01,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
33,Shane Carle\carlesh01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
34,Carlos Estevez\estevca01,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
35,Jairo Diaz\diazja01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
36,Jake McGee\mcgeeja01,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
37,Zac Rosscup\rosscza01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
38,Pat Neshek\neshepa01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
39,Adam Ottavino\ottavad01,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
