Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Charlie Blackmon\blackch02,78,77,350,304,81,119,18,13,24,60,7,5,39,50,.391,.466,.773,1.239,235,3,4,2,1,5,3,.411,145,217
2,Raimel Tapia\tapiara01,28,11,65,60,13,24,6,2,1,8,1,1,4,11,.400,.438,.617,1.054,37,1,0,1,0,1,0,.479,178,173
3,Nolan Arenado\arenano01,78,76,330,295,63,99,24,5,19,76,0,1,29,54,.336,.392,.644,1.036,190,15,1,0,4,4,2,.354,115,165
4,Jonathan Lucroy\lucrojo01,27,24,99,79,15,29,5,1,2,8,0,0,17,5,.367,.485,.532,1.016,42,4,2,0,1,3,0,.370,184,168
5,Mark Reynolds\reynoma01,73,71,300,255,56,75,9,1,21,58,1,0,43,86,.294,.393,.584,.978,149,6,0,0,2,0,2,.360,132,152
6,Pat Valaika\valaipa01,57,14,101,96,17,27,7,0,9,31,0,0,4,26,.281,.310,.635,.945,61,1,0,1,0,0,1,.295,128,138
7,Carlos Gonzalez\gonzaca01,70,63,268,229,45,74,21,0,8,42,1,0,32,48,.323,.403,.520,.923,119,4,2,0,5,1,1,.371,142,140
8,Gerardo Parra\parrage01,60,51,220,202,34,68,14,0,6,43,1,2,13,30,.337,.377,.495,.872,100,5,2,0,3,0,2,.367,120,127
9,DJ LeMahieu\lemahdj01,78,76,342,300,54,98,12,3,3,35,3,3,33,39,.327,.396,.417,.813,125,14,4,1,4,1,2,.363,108,115
10,Trevor Story\storytr01,74,68,281,258,39,66,16,3,13,52,3,1,22,85,.256,.313,.492,.805,127,3,0,0,1,3,5,.329,109,107
11,Mike Tauchman\tauchmi01,17,0,16,13,2,3,0,1,0,1,0,1,3,6,.231,.375,.385,.760,5,1,0,0,0,0,0,.429,139,101
12,Tony Wolters\wolteto01,42,28,118,105,14,28,6,1,0,9,0,0,11,24,.267,.342,.343,.685,36,4,1,1,0,3,2,.346,121,81
13,German Marquez\marquge01,13,13,29,25,4,7,2,0,0,3,0,0,0,6,.280,.280,.360,.640,9,1,0,4,0,0,0,.368,220,67
14,Ian Desmond\desmoia01,47,43,182,166,22,44,5,0,2,20,6,0,10,43,.265,.304,.331,.635,55,8,1,1,4,1,0,.336,82,67
15,Ryan Hanigan\hanigry01,18,16,59,53,5,13,1,0,0,6,0,0,5,16,.245,.305,.264,.569,14,3,0,0,1,0,0,.342,70,52
16,Ryan McMahon\mcmahry01,11,2,18,14,1,2,1,0,0,1,0,0,4,5,.143,.333,.214,.548,3,0,0,0,0,0,0,.222,101,49
17,Jon Gray\grayjo02,8,8,19,17,2,3,0,0,1,3,0,0,0,11,.176,.176,.353,.529,6,0,0,2,0,0,0,.400,294,34
18,Alexi Amarista\amarial01,49,11,87,84,11,18,5,0,0,7,1,0,3,18,.214,.241,.274,.515,23,2,0,0,0,0,0,.273,68,35
19,Jordan Lyles\lylesjo01,18,0,4,4,0,1,0,0,0,0,0,0,0,2,.250,.250,.250,.500,1,0,0,0,0,0,0,.500,96,32
20,Dustin Garneau\garnedu01,12,10,38,37,2,6,2,0,1,4,0,0,1,11,.162,.184,.297,.482,11,1,0,0,0,0,1,.200,63,23
21,Kyle Freeland\freelky01,19,16,30,28,1,5,0,0,0,1,0,0,0,15,.179,.179,.179,.357,5,0,0,2,0,0,1,.385,83,-5
22,Chad Bettis\bettich01,5,5,10,8,1,1,0,0,0,1,0,0,1,5,.125,.222,.125,.347,1,0,0,1,0,0,0,.333,170,-5
23,Jeff Hoffman\hoffmje02,14,9,18,16,1,2,1,0,0,1,0,0,0,9,.125,.125,.188,.313,3,0,0,2,0,0,1,.286,193,-19
24,Tyler Chatwood\chatwty01,18,12,21,17,1,2,0,0,0,2,0,0,1,4,.118,.167,.118,.284,2,0,0,3,0,0,0,.154,61,-23
25,Antonio Senzatela\senzaan01,19,11,26,23,0,2,1,0,0,3,0,0,0,14,.087,.087,.130,.217,3,0,0,3,0,0,1,.222,53,-44
26,Cristhian Adames\adamecr01,7,1,9,8,1,0,0,0,0,0,0,0,1,2,.000,.111,.000,.111,0,0,0,0,0,0,0,.000,,-67
27,Stephen Cardullo\cardust01,7,3,13,12,1,0,0,0,0,0,0,0,1,3,.000,.077,.000,.077,0,0,0,0,0,0,1,.000,-69,-77
28,Tom Murphy\murphto04,7,3,14,13,1,0,0,0,0,0,0,0,1,5,.000,.071,.000,.071,0,0,0,0,0,1,1,.000,-38,-79
29,Tyler Anderson\anderty01,8,7,14,11,1,0,0,0,0,0,0,0,0,7,.000,.000,.000,.000,0,0,0,3,0,0,0,.000,-100,-100
30,Chris Rusin\rusinch01,28,0,4,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,1,0,0,0,.000,-100,-100
31,Shane Carle\carlesh01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
32,Zac Rosscup\rosscza01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
33,Carlos Estevez\estevca01,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
34,Pat Neshek\neshepa01,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
35,Jairo Diaz\diazja01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
36,Jake McGee\mcgeeja01,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
37,Scott Oberg\obergsc01,37,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
38,Chad Qualls\quallch01,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
39,Mike Dunn\dunnmi01,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
40,Greg Holland\hollagr01,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
41,Adam Ottavino\ottavad01,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
,Team Total,1193,729,3085,2735,488,816,156,30,110,475,24,14,278,641,.298,.364,.498,.862,1362,76,17,28,26,23,26,.351,120,123
