Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Danny Duffy\duffyda01,1,1,2,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,1,0,0,0,0,0,0,1.000,100,178
2,Salvador Perez\perezsa02,63,63,255,241,31,71,10,0,21,48,0,0,10,52,.295,.325,.598,.923,144,11,2,0,2,2,0,.294,130,146
3,Mike Moustakas\moustmi01,74,72,310,285,42,81,13,0,24,49,0,0,19,54,.284,.326,.582,.908,166,12,1,0,5,5,1,.269,116,143
4,Eric Hosmer\hosmeer01,81,81,344,313,49,102,16,1,9,43,4,1,30,48,.326,.384,.470,.853,147,8,0,0,1,0,5,.362,94,134
5,Ian Kennedy\kenneia01,2,2,4,3,0,1,0,0,0,0,0,0,1,0,.333,.500,.333,.833,1,0,0,0,0,0,0,.333,100,138
6,Cam Gallagher\gallaca01,6,3,14,13,1,3,1,0,1,4,0,0,1,1,.231,.286,.538,.824,7,1,0,0,0,0,1,.182,115,120
7,Lorenzo Cain\cainlo01,77,77,333,298,53,86,10,2,12,33,13,2,31,62,.289,.360,.456,.817,136,8,3,0,1,1,6,.329,103,123
8,Melky Cabrera\cabreme01,31,31,129,121,15,37,9,1,3,19,0,2,6,12,.306,.341,.471,.812,57,8,1,0,1,0,3,.318,117,121
9,Jorge Bonifacio\bonifjo01,56,47,216,201,29,52,8,1,9,26,0,1,14,56,.259,.310,.443,.753,89,6,1,0,0,0,0,.316,99,104
10,Whit Merrifield\merriwh01,71,69,313,297,39,82,11,3,6,33,20,3,11,50,.276,.304,.394,.698,117,8,2,1,2,0,3,.313,80,91
11,Drew Butera\buterdr01,40,21,95,88,10,22,3,0,2,11,0,0,5,17,.250,.298,.352,.650,31,0,1,1,0,0,1,.290,115,79
12,Alex Gordon\gordoal01,76,72,287,254,29,55,12,1,6,24,5,4,24,69,.217,.303,.343,.646,87,4,8,0,1,2,2,.272,112,78
13,Alcides Escobar\escobal02,81,81,325,312,39,76,21,2,4,20,1,2,7,57,.244,.263,.362,.625,113,6,1,5,0,1,3,.287,98,70
14,Cheslor Cuthbert\cuthbch01,29,18,80,73,5,16,2,0,1,3,0,0,6,22,.219,.275,.288,.563,21,2,0,0,1,0,3,.294,89,56
15,Brandon Moss\mossbr01,59,44,192,173,13,26,6,0,7,18,0,0,18,66,.150,.229,.306,.536,53,4,0,0,1,0,0,.188,54,46
16,Jason Vargas\vargaja01,1,1,4,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,1,0,0,0,0,0,0,.333,100,39
17,Ramon Torres\torrera01,17,8,40,38,4,8,1,0,0,1,1,0,1,10,.211,.250,.237,.487,9,0,1,0,0,0,0,.286,69,36
18,Adalberto Mondesi\mondera02,13,7,32,30,1,5,0,0,0,2,3,1,1,14,.167,.194,.167,.360,5,1,0,1,0,0,0,.313,59,1
19,Paulo Orlando\orlanpa01,20,10,50,46,3,7,0,0,0,3,0,0,1,13,.152,.204,.152,.356,7,0,2,0,0,0,1,.212,41,1
20,Terrance Gore\gorete01,5,0,3,2,0,0,0,0,0,0,1,1,1,1,.000,.333,.000,.333,0,0,0,0,0,0,0,.000,,5
21,Jorge Soler\solerjo01,20,12,57,50,0,4,2,0,0,2,0,0,6,20,.080,.193,.120,.313,6,4,1,0,0,0,0,.133,25,-10
22,Christian Colon\colonch01,3,3,9,9,0,1,0,0,0,0,0,0,0,2,.111,.111,.111,.222,1,0,0,0,0,0,0,.143,9,-38
23,Scott Alexander\alexasc02,4,0,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
24,Jason Hammel\hammeja01,3,3,9,8,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,1,0,1,0,0,0,.000,,-100
25,Jakob Junis\junisja01,1,1,3,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
26,Trevor Cahill\cahiltr01,1,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,-100,-100
27,Ryan Buchter\buchtry01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
28,Brandon Maurer\maurebr01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
29,Kevin McCarthy\mccarke01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
30,Al Alburquerque\albural01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
31,Neftali Feliz\felizne01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
32,Travis Wood\woodtr01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
33,Joakim Soria\soriajo01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
34,Mike Minor\minormi01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
35,Kelvin Herrera\herreke01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
36,Chris Young\youngch03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
37,Matt Strahm\strahma01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
38,Eric Skoglund\skogler01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
39,Peter Moylan\moylape01,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
,Team Total,864,729,3110,2868,363,737,125,11,105,339,48,17,193,635,.257,.308,.418,.726,1199,84,24,9,15,11,29,.295,99,98
