Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Eric Hosmer\hosmeer01,81,80,327,290,49,90,15,0,16,51,2,0,36,56,.310,.385,.528,.913,153,12,0,0,1,3,3,.338,106,137
2,Whit Merrifield\merriwh01,74,74,317,290,41,87,21,3,13,45,14,5,18,38,.300,.344,.528,.871,153,5,4,0,5,0,5,.303,121,124
3,Brandon Moss\mossbr01,59,54,209,189,28,49,8,0,15,32,2,0,19,62,.259,.325,.540,.865,102,3,0,0,1,0,0,.301,143,121
4,Lorenzo Cain\cainlo01,78,77,312,286,33,89,17,3,3,16,13,0,23,38,.311,.365,.423,.788,121,12,2,0,1,0,5,.350,97,107
5,Mike Moustakas\moustmi01,74,72,288,270,33,70,11,0,14,36,0,0,15,40,.259,.302,.456,.758,123,6,2,0,1,2,2,.258,84,95
6,Jorge Bonifacio\bonifjo01,57,49,206,183,26,46,7,0,8,14,1,0,21,62,.251,.330,.421,.751,77,2,1,0,1,0,0,.333,101,96
7,Paulo Orlando\orlanpa01,19,10,40,40,6,10,3,0,2,3,1,1,0,7,.250,.250,.475,.725,19,3,0,0,0,0,0,.258,168,84
8,Jorge Soler\solerjo01,15,13,53,47,7,10,3,0,2,4,0,0,6,16,.213,.302,.404,.706,19,1,0,0,0,1,0,.276,180,83
9,Ramon Torres\torrera01,16,9,39,36,5,10,2,0,0,3,0,0,3,2,.278,.333,.333,.667,12,1,0,0,0,0,0,.294,132,76
10,Cam Gallagher\gallaca01,7,3,13,11,1,3,0,0,0,1,0,0,2,3,.273,.385,.273,.657,3,0,0,0,0,0,0,.375,81,78
11,Salvador Perez\perezsa02,66,63,244,230,26,55,14,1,6,32,1,0,7,43,.239,.267,.387,.654,89,12,3,0,3,1,0,.266,68,69
12,Alcides Escobar\escobal02,81,81,304,287,32,74,15,3,2,34,3,5,8,45,.258,.281,.352,.633,101,8,3,2,4,0,5,.295,102,65
13,Cheslor Cuthbert\cuthbch01,29,18,73,70,5,17,5,0,1,15,0,0,3,17,.243,.274,.357,.631,25,0,0,0,0,0,0,.308,111,64
14,Adalberto Mondesi\mondera02,12,6,28,23,3,4,1,0,1,1,2,1,2,8,.174,.240,.348,.588,8,1,0,3,0,0,1,.214,154,52
15,Christian Colon\colonch01,4,3,10,8,1,2,0,0,0,0,0,0,1,1,.250,.333,.250,.583,2,2,0,1,0,0,0,.286,180,57
16,Melky Cabrera\cabreme01,27,27,109,102,9,23,4,1,1,10,1,0,5,10,.225,.257,.314,.571,32,4,0,0,2,0,1,.237,54,49
17,Alex Gordon\gordoal01,72,68,254,222,23,44,8,1,3,21,2,0,21,57,.198,.282,.284,.566,63,3,6,2,3,1,2,.248,86,50
18,Drew Butera\buterdr01,35,22,82,75,8,15,1,1,1,3,0,0,7,24,.200,.268,.280,.548,21,0,0,0,0,0,0,.280,82,45
19,Billy Burns\burnsbi02,7,0,6,6,1,1,0,0,0,0,0,1,0,1,.167,.167,.167,.333,1,0,0,0,0,0,0,.200,100,-12
20,Terrance Gore\gorete01,7,0,2,2,2,0,0,0,0,0,1,1,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
21,Travis Wood\woodtr01,1,0,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,1,0,0,0,0,0,.000,-100,-100
22,Kevin McCarthy\mccarke01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
23,Chris Young\youngch03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
24,Kelvin Herrera\herreke01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
25,Neftali Feliz\felizne01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
,Team Total,826,729,2917,2668,339,699,135,13,88,321,43,14,197,531,.262,.315,.421,.737,1124,76,21,8,22,8,24,.295,102,91
