Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Justin Upton\uptonju01,67,66,274,246,38,64,18,0,15,47,6,3,27,78,.260,.336,.516,.852,127,4,1,0,0,1,4,.320,89,130
2,Jim Adduci\adducji02,17,13,55,47,10,13,4,1,1,8,0,1,8,16,.277,.382,.468,.850,22,0,0,0,0,0,1,.400,136,133
3,John Hicks\hicksjo02,30,22,97,91,8,28,7,0,3,12,1,1,5,30,.308,.351,.484,.834,44,4,1,0,0,0,0,.431,118,127
4,J.D. Martinez\martijd02,27,26,104,93,15,25,6,0,5,12,1,0,10,25,.269,.337,.495,.831,46,5,0,0,1,1,1,.313,61,125
5,Alex Presley\preslal01,31,26,107,102,16,34,5,2,1,10,2,0,4,20,.333,.358,.451,.809,46,3,0,1,0,0,0,.407,110,121
6,Mikie Mahtook\mahtomi01,48,39,174,158,19,43,3,3,6,20,2,0,11,34,.272,.333,.443,.776,70,1,4,0,1,0,3,.311,98,112
7,Ian Kinsler\kinslia01,67,65,292,260,41,65,11,2,10,22,6,4,30,48,.250,.332,.423,.755,110,5,2,0,0,0,0,.272,109,106
8,Nick Castellanos\casteni01,77,76,326,304,31,74,21,4,12,47,2,3,21,83,.243,.291,.457,.749,139,6,0,0,1,0,4,.295,84,102
9,Victor Martinez\martivi01,53,51,219,196,22,53,9,0,5,24,0,0,21,30,.270,.347,.393,.740,77,8,2,0,0,1,2,.298,113,104
10,Alex Avila\avilaal01,34,25,112,93,10,19,3,0,5,12,0,0,17,41,.204,.330,.398,.728,37,3,1,0,1,1,0,.292,74,100
11,James McCann\mccanja02,53,50,195,178,15,43,9,0,5,15,1,0,13,49,.242,.303,.376,.679,67,5,3,0,1,0,2,.304,86,86
12,Matthew Boyd\boydma01,2,2,3,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,1,0,0,0,0,0,0,.333,100,85
13,Jeimer Candelario\candeje01,12,10,43,41,5,11,3,0,0,5,0,0,2,10,.268,.302,.341,.644,14,2,0,0,0,0,1,.355,64,77
14,Miguel Cabrera\cabremi01,67,66,279,240,22,51,8,0,5,27,0,0,37,64,.213,.319,.308,.627,74,7,1,0,1,5,3,.267,74,75
15,José Iglesias\iglesjo01,62,61,232,222,27,55,12,1,2,19,3,3,9,35,.248,.276,.338,.614,75,2,0,0,1,0,2,.285,87,68
16,Andrew Romine\rominan01,62,44,193,172,21,33,7,2,1,10,4,3,16,35,.192,.271,.273,.544,47,5,3,1,1,0,3,.234,75,51
17,Dixon Machado\machadi01,38,26,106,97,8,22,1,0,0,2,0,0,5,19,.227,.269,.237,.506,23,4,1,2,1,0,2,.278,63,42
18,Bryan Holaday\holadbr01,5,4,13,13,0,2,1,0,0,1,0,0,0,1,.154,.154,.231,.385,3,1,0,0,0,0,0,.167,38,4
19,Tyler Collins\collity01,25,20,83,77,5,9,0,1,1,1,0,1,6,31,.117,.181,.182,.363,14,2,0,0,0,0,0,.178,20,1
20,JaCoby Jones\jonesja07,28,22,79,73,5,9,0,0,1,4,3,1,4,36,.123,.190,.164,.354,12,4,2,0,0,0,1,.222,40,-1
21,Efren Navarro\navaref01,9,7,26,25,1,4,0,0,0,0,0,1,1,7,.160,.192,.160,.352,4,1,0,0,0,0,1,.222,3,-1
22,Justin Verlander\verlaju01,2,2,6,6,0,1,0,0,0,1,0,0,0,4,.167,.167,.167,.333,1,0,0,0,0,0,0,.500,100,-7
23,Jordan Zimmermann\zimmejo02,3,3,6,6,0,1,0,0,0,0,0,0,0,1,.167,.167,.167,.333,1,0,0,0,0,0,0,.200,100,-7
24,Anibal Sanchez\sanchan01,2,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
25,Michael Fulmer\fulmemi01,2,2,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,1,0,0,0,0,0,.000,,-100
26,Matt den Dekker\dendema01,1,0,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,-100,-100
27,Daniel Stumpf\stumpda01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
28,Jeff Ferrell\ferreje01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
29,Drew VerHagen\verhadr01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
30,Edward Mujica\mujiced01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
31,Warwick Saupold\saupowa01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
32,Bruce Rondon\rondobr01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
33,Alex Wilson\wilsoal01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
34,Shane Greene\greensh02,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
35,Blaine Hardy\hardybl01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
36,Chad Bell\bellch02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
37,Justin Wilson\wilsoju10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
,Team Total,856,729,3032,2751,319,660,128,16,78,299,31,21,247,701,.240,.306,.383,.690,1054,73,21,4,9,9,30,.294,85,89
