Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,J.D. Martinez\martijd02,30,30,128,107,23,36,7,2,11,27,1,0,19,29,.336,.430,.748,1.177,80,5,0,0,2,4,2,.362,123,200
2,Jeimer Candelario\candeje01,15,15,63,53,11,20,4,0,2,8,0,0,10,8,.377,.476,.566,1.042,30,0,0,0,0,0,0,.419,166,173
3,Alex Avila\avilaal01,43,32,152,126,20,41,8,0,6,20,0,1,26,39,.325,.441,.532,.973,67,3,0,0,0,1,1,.432,133,154
4,Justin Upton\uptonju01,58,58,246,213,43,64,19,0,13,47,4,2,30,69,.300,.390,.573,.963,122,2,2,0,1,1,1,.386,114,148
5,Efren Navarro\navaref01,14,8,43,36,8,10,1,1,2,2,0,0,7,14,.278,.395,.528,.923,19,0,0,0,0,1,1,.400,164,140
6,Nick Castellanos\casteni01,80,79,339,310,42,93,15,6,14,54,2,2,20,59,.300,.348,.523,.871,162,6,5,0,4,0,2,.328,116,124
7,Tyler Collins\collity01,24,19,86,73,13,20,4,0,4,13,0,3,12,24,.274,.372,.493,.865,36,0,0,0,1,0,1,.348,182,125
8,Miguel Cabrera\cabremi01,63,63,250,229,28,66,14,0,11,33,0,1,17,46,.288,.340,.493,.833,113,8,2,0,2,1,2,.316,127,115
9,Mikie Mahtook\mahtomi01,61,48,205,190,31,53,12,3,6,18,4,0,12,45,.279,.327,.468,.795,89,3,2,0,1,0,4,.336,102,105
10,James McCann\mccanja02,53,49,196,174,24,46,5,2,8,34,0,0,13,40,.264,.333,.454,.787,79,3,6,1,2,0,4,.297,114,104
11,Dixon Machado\machadi01,35,15,75,69,9,21,4,1,1,9,1,0,5,13,.304,.347,.435,.781,30,2,0,0,1,0,1,.357,151,104
12,Alex Presley\preslal01,40,34,157,143,14,43,5,1,2,10,3,0,11,29,.301,.351,.392,.742,56,2,0,2,0,0,1,.366,93,95
13,Andrew Romine\rominan01,62,35,155,146,24,41,10,0,3,15,2,1,6,32,.281,.312,.411,.723,60,2,1,1,1,0,1,.339,130,88
14,José Iglesias\iglesjo01,68,67,257,241,29,63,21,0,4,35,4,1,12,30,.261,.299,.398,.698,96,4,1,3,0,0,1,.285,112,81
15,Ian Kinsler\kinslia01,72,72,321,291,49,65,14,1,12,30,8,1,25,38,.223,.296,.402,.698,117,4,5,0,0,2,1,.220,92,81
16,John Hicks\hicksjo02,30,19,93,82,17,18,5,0,3,10,1,0,8,21,.220,.301,.390,.691,32,1,2,0,1,0,0,.254,81,80
17,Bryan Holaday\holadbr01,8,3,16,16,1,5,1,0,0,1,0,0,0,0,.313,.313,.375,.688,6,1,0,0,0,0,0,.313,151,80
18,JaCoby Jones\jonesja07,28,20,75,68,9,15,3,1,2,9,3,1,5,29,.221,.293,.382,.676,26,1,2,0,0,0,0,.351,164,76
19,Victor Martinez\martivi01,54,53,216,196,16,47,7,0,5,23,0,0,15,33,.240,.301,.352,.653,69,7,3,0,2,2,2,.263,88,71
20,Jim Adduci\adducji02,12,9,38,36,4,7,2,1,0,2,1,0,2,11,.194,.237,.306,.542,11,1,0,0,0,0,1,.280,50,41
21,Matt den Dekker\dendema01,3,1,7,6,1,1,0,0,0,0,0,0,1,3,.167,.286,.167,.452,1,0,0,0,0,0,0,.333,131,24
22,Shane Greene\greensh02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
,Team Total,854,729,3118,2805,416,775,161,19,109,400,34,13,256,612,.276,.341,.464,.805,1301,55,31,7,18,12,26,.317,115,109
