Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Dietrich Enns\ennsdi01,1,1,2,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,1,0,0,0,0,0,0,1.000,100,178
2,Miguel Sano\sanomi01,52,51,230,206,38,56,9,0,16,41,0,0,22,80,.272,.348,.549,.896,113,8,2,0,0,1,2,.364,107,142
3,Robbie Grossman\grossro01,56,50,217,176,34,49,13,1,4,20,2,1,34,30,.278,.400,.432,.832,76,2,3,2,2,0,0,.313,125,130
4,Brian Dozier\doziebr01,77,77,356,320,49,85,13,1,16,46,9,5,33,79,.266,.337,.463,.800,148,7,2,0,1,1,3,.305,87,118
5,Kennys Vargas\vargake01,39,30,129,119,16,31,6,0,6,17,0,0,10,35,.261,.318,.462,.780,55,5,0,0,0,0,2,.321,105,111
6,Joe Mauer\mauerjo01,75,69,317,285,33,88,19,1,2,35,1,0,31,46,.309,.375,.404,.779,115,10,0,0,1,2,4,.361,95,115
7,Jorge Polanco\polanjo01,69,67,286,258,33,66,19,0,9,36,7,5,20,46,.256,.313,.434,.747,112,3,2,5,1,1,7,.279,106,103
8,Jason Castro\castrja01,54,52,201,175,24,43,13,0,4,22,0,0,23,52,.246,.335,.389,.724,68,3,1,1,1,1,2,.325,101,99
9,Eduardo Escobar\escobed01,61,55,239,220,26,54,5,2,9,35,2,1,14,45,.245,.294,.409,.703,90,5,2,1,2,2,2,.268,86,91
10,Max Kepler\keplema01,75,63,279,250,34,55,14,0,10,35,3,1,24,71,.220,.294,.396,.690,99,3,3,0,2,0,2,.263,87,88
11,Zack Granite\graniza01,23,12,58,49,9,12,2,0,1,8,0,1,7,4,.245,.333,.347,.680,17,5,0,1,1,0,0,.244,123,88
12,Byron Buxton\buxtoby01,72,67,269,244,35,57,8,1,8,29,14,1,19,85,.234,.292,.373,.665,91,1,2,2,2,2,1,.320,83,82
13,Eddie Rosario\rosared01,74,68,286,265,36,65,14,0,7,30,3,5,16,55,.245,.283,.377,.661,100,7,0,0,5,1,2,.279,61,80
14,Chris Gimenez\gimench01,38,29,117,100,9,21,5,0,2,5,1,0,16,34,.210,.325,.320,.645,32,1,1,0,0,0,0,.297,77,79
15,Ehire Adrianza\adriaeh01,30,19,84,73,13,16,2,0,2,8,3,1,8,11,.219,.301,.329,.630,24,0,1,1,1,0,0,.230,79,74
16,Mitch Garver\garvemi01,13,6,25,23,1,3,0,2,0,2,0,0,2,11,.130,.200,.304,.504,7,1,0,0,0,0,1,.250,57,36
17,Ervin Santana\santaer01,3,3,10,10,3,2,1,0,0,5,0,0,0,3,.200,.200,.300,.500,3,0,0,0,0,0,2,.286,100,35
18,Jose Berrios\berrijo01,3,3,5,5,0,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,1,0,0,0,0,0,1,.333,100,11
19,Niko Goodrum\goodrni01,7,2,11,10,1,0,0,0,0,0,0,0,1,7,.000,.091,.000,.091,0,0,0,0,0,0,0,.000,-18,-71
20,Nik Turley\turleni01,1,1,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
21,Bartolo Colon\colonba01,2,2,5,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,1,0,0,0,.000,,-100
22,Danny Santana\santada01,5,2,7,7,1,0,0,0,0,0,1,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,-100,-100
23,Buddy Boshers\boshebu01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
24,Craig Breslow\breslcr01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
25,Chris Heston\hestoch01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
26,Alex Wimmers\wimmeal01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
27,Tyler Duffey\duffety01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
28,Taylor Rogers\rogerta01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
29,Alan Busenitz\busenal01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
30,Trevor Hildenberger\hildetr01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
31,Ryan Pressly\pressry01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
32,Matt Belisle\belisma01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
33,Brandon Kintzler\kintzbr01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
,Team Total,856,729,3135,2803,395,705,143,8,96,374,46,21,280,700,.252,.322,.411,.733,1152,61,19,14,19,11,31,.301,91,100
