Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Eddie Rosario\rosared01,77,75,303,277,43,92,19,2,20,48,6,3,19,51,.332,.371,.632,1.003,175,3,0,4,3,0,1,.344,138,156
2,Brian Dozier\doziebr01,75,74,349,297,57,82,17,3,18,47,7,2,45,62,.276,.381,.535,.916,159,4,6,0,1,5,1,.294,114,137
3,Chris Gimenez\gimench01,36,28,108,86,19,20,4,0,5,11,0,0,17,26,.233,.377,.453,.831,39,2,3,2,0,0,0,.273,126,117
4,Joe Mauer\mauerjo01,66,62,280,240,36,72,17,0,5,36,1,1,35,37,.300,.393,.433,.826,104,7,3,0,2,1,4,.335,106,117
5,Miguel Sano\sanomi01,62,59,253,218,37,56,6,2,12,36,0,0,32,93,.257,.356,.468,.824,102,4,2,0,1,4,2,.386,93,114
6,Danny Santana\santada01,8,4,19,18,2,5,1,0,1,1,0,0,1,7,.278,.316,.500,.816,9,1,0,0,0,0,0,.400,170,109
7,Eduardo Escobar\escobed01,68,58,260,237,36,62,11,3,12,38,3,0,19,53,.262,.323,.485,.808,115,0,3,0,1,1,1,.289,113,108
8,Byron Buxton\buxtoby01,68,64,242,218,34,60,6,5,8,22,15,0,19,65,.275,.339,.459,.798,100,0,2,3,0,0,3,.359,119,107
9,Max Kepler\keplema01,72,66,289,261,33,69,18,2,9,34,3,0,23,43,.264,.330,.452,.782,118,2,3,1,1,2,3,.286,112,103
10,Ehire Adrianza\adriaeh01,40,23,102,89,17,27,7,2,0,16,5,0,8,14,.303,.343,.427,.770,38,0,0,0,5,1,1,.338,117,101
11,Mitch Garver\garvemi01,10,5,27,23,4,6,1,1,0,1,0,0,4,4,.261,.370,.391,.762,9,0,0,0,0,0,0,.316,141,101
12,Kennys Vargas\vargake01,39,30,135,122,17,30,7,0,5,24,0,0,10,42,.246,.311,.426,.737,52,5,2,0,1,1,1,.329,95,91
13,Jason Castro\castrja01,56,52,206,181,25,43,9,0,6,25,0,0,22,56,.238,.330,.387,.717,70,7,3,0,0,0,0,.311,99,88
14,Jorge Polanco\polanjo01,64,62,258,230,27,59,11,3,4,38,6,0,21,32,.257,.313,.383,.695,88,4,0,2,5,0,0,.276,93,82
15,Robbie Grossman\grossro01,63,56,239,206,28,45,9,0,5,25,1,0,33,49,.218,.326,.335,.661,69,4,0,0,0,0,1,.263,79,75
16,Zack Granite\graniza01,17,10,49,44,5,10,0,0,0,5,2,1,5,5,.227,.306,.227,.533,10,1,0,0,0,0,1,.256,74,44
17,Niko Goodrum\goodrni01,4,1,7,7,0,1,0,0,0,0,0,0,0,3,.143,.143,.143,.286,1,0,0,0,0,0,0,.250,271,-24
18,Matt Belisle\belisma01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
19,Craig Breslow\breslcr01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
20,Justin Haley\haleyju01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
21,Brandon Kintzler\kintzbr01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
,Team Total,829,729,3126,2754,420,739,143,23,110,407,49,7,313,642,.268,.346,.457,.803,1258,44,27,12,20,15,19,.311,109,109
