Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Derek Holland\hollade01,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,0,1.000,100,455
2,Nicky Delmonico\delmoni01,19,16,71,63,13,18,1,0,6,14,1,0,7,17,.286,.366,.587,.953,37,3,1,0,0,0,1,.300,120,157
3,José Abreu\abreujo02,79,79,349,319,50,100,21,5,17,55,3,0,18,55,.313,.364,.571,.934,182,11,9,0,3,1,2,.332,106,152
4,Todd Frazier\frazito01,41,41,171,146,24,39,9,0,11,27,1,2,21,37,.267,.368,.555,.923,81,1,3,0,1,0,2,.283,137,150
5,Rob Brantly\brantro01,5,4,15,14,2,4,1,0,1,3,0,0,1,6,.286,.333,.571,.905,8,0,0,0,0,0,0,.429,96,142
6,Avisail Garcia\garciav01,70,69,289,269,34,88,10,3,9,44,0,2,16,54,.327,.370,.487,.857,131,8,3,0,1,4,4,.382,94,134
7,Carlos Rodon\rodonca01,3,3,7,6,0,2,1,0,0,2,0,0,0,2,.333,.333,.500,.833,3,0,0,1,0,0,0,.500,100,125
8,Yoan Moncada\moncayo01,26,26,117,102,17,28,1,2,4,13,2,0,13,32,.275,.368,.441,.809,45,0,2,0,0,0,0,.364,116,122
9,Melky Cabrera\cabreme01,52,52,234,216,27,62,11,0,5,23,0,0,13,31,.287,.328,.407,.735,88,5,1,2,2,1,5,.313,98,101
10,Tim Anderson\anderti01,73,73,309,302,36,81,12,2,10,24,8,1,6,86,.268,.282,.421,.703,127,1,0,1,0,0,2,.345,107,90
11,Matt Davidson\davidma02,61,51,222,207,22,47,10,0,11,29,0,0,10,83,.227,.266,.435,.701,90,6,2,0,3,0,0,.310,99,89
12,Leury Garcia\garcile02,50,45,189,171,20,44,7,0,4,12,3,5,11,38,.257,.316,.368,.684,63,3,4,2,1,0,1,.308,87,88
13,Yolmer Sanchez\sanchca01,71,64,281,255,32,64,13,3,4,26,3,7,20,63,.251,.302,.373,.675,95,6,0,3,3,1,5,.314,85,85
14,Omar Narvaez\narvaom01,48,37,151,134,10,38,4,0,0,5,0,0,15,21,.284,.360,.313,.673,42,4,1,1,0,0,0,.336,89,89
15,Willy Garcia\garciwi01,23,14,63,56,5,13,4,1,1,6,0,0,4,18,.232,.274,.393,.667,22,1,0,1,2,0,0,.308,88,81
16,Kevan Smith\smithke04,41,35,144,138,7,37,9,0,0,11,0,0,3,20,.268,.287,.333,.620,46,3,1,1,1,0,1,.311,79,71
17,Alen Hanson\hansoal01,31,13,71,62,14,14,2,0,1,4,6,2,6,15,.226,.300,.306,.606,19,2,1,1,1,0,1,.277,103,68
18,Adam Engel\engelad01,44,40,160,147,12,29,8,0,2,13,5,0,6,54,.197,.244,.293,.536,43,0,3,4,0,0,3,.297,108,47
19,Tyler Saladino\saladty01,41,33,144,130,8,21,4,1,0,5,0,1,11,34,.162,.238,.208,.445,27,4,2,1,0,0,1,.219,85,25
20,Geovany Soto\sotoge01,6,6,24,21,2,4,0,0,0,4,0,0,1,5,.190,.250,.190,.440,4,1,1,0,1,0,0,.235,39,24
21,Rymer Liriano\liriary01,9,5,17,15,1,2,1,0,0,1,1,0,2,6,.133,.235,.200,.435,3,0,0,0,0,0,0,.222,36,22
22,Cody Asche\ascheco01,13,11,45,41,4,5,1,0,1,4,0,0,3,10,.122,.200,.220,.420,9,1,1,0,0,1,0,.133,139,16
23,Jacob May\mayja02,6,5,18,18,0,1,0,0,0,1,0,0,0,8,.056,.056,.056,.111,1,0,0,0,0,0,0,.100,37,-69
24,Jose Quintana\quintjo01,2,2,4,3,0,0,0,0,0,1,0,0,0,2,.000,.000,.000,.000,0,0,0,0,1,0,0,.000,-100,-100
25,Dylan Covey\coveydy01,1,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
26,Miguel Gonzalez\gonzami03,3,3,7,6,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,1,0,0,0,.000,,-100
27,Mike Pelfrey\pelfrmi01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
28,Jake Petricka\petrija01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
29,Aaron Bummer\bummeaa01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
30,Chris Beck\beckch02,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
31,Tyler Clippard\clippty01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
32,David Holmberg\holmbda01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
33,Gregory Infante\infangr01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
34,Juan Minaya\minayju01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
35,Dan Jennings\jennida01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
36,Michael Ynoa\ynoami01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
37,Anthony Swarzak\swarzan01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
38,David Robertson\roberda08,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
39,Tommy Kahnle\kahnlto01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
,Team Total,854,729,3104,2843,340,742,130,17,87,327,33,20,187,700,.261,.312,.410,.723,1167,60,35,19,20,8,28,.316,98,97
