Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Avisail Garcia\garciav01,66,66,272,249,41,83,17,2,9,36,5,1,17,57,.333,.390,.526,.916,131,6,6,0,0,1,3,.404,107,138
2,Geovany Soto\sotoge01,7,6,24,21,3,4,0,0,3,5,0,0,3,5,.190,.292,.619,.911,13,1,0,0,0,0,0,.077,161,129
3,Rob Brantly\brantro01,8,5,21,17,2,5,0,0,1,2,0,0,2,8,.294,.429,.471,.899,8,0,2,0,0,0,0,.500,102,137
4,José Abreu\abreujo02,77,77,326,302,45,89,22,1,16,47,0,0,17,64,.295,.344,.533,.877,161,10,6,0,1,5,5,.327,94,125
5,Melky Cabrera\cabreme01,46,45,194,181,27,55,6,0,8,33,0,0,12,21,.304,.345,.470,.815,85,2,0,0,1,0,0,.307,118,111
6,Leury Garcia\garcile02,37,33,137,129,21,37,8,2,5,21,5,0,2,31,.287,.316,.496,.812,64,1,4,1,1,0,0,.340,117,108
7,Yolmer Sanchez\sanchca01,70,60,253,229,31,65,6,5,8,33,5,2,15,48,.284,.337,.459,.796,105,4,4,4,1,1,4,.328,117,106
8,Nicky Delmonico\delmoni01,24,23,95,78,12,19,3,0,3,9,1,0,16,14,.244,.379,.397,.776,31,2,1,0,0,0,3,.262,84,105
9,Kevan Smith\smithke04,46,38,150,138,16,41,8,0,4,19,0,0,6,26,.297,.331,.442,.773,61,6,2,1,2,0,1,.336,121,101
10,Rymer Liriano\liriary01,12,7,29,26,3,7,1,0,1,5,0,0,3,8,.269,.345,.423,.768,11,0,0,0,0,0,0,.353,138,101
11,Omar Narvaez\narvaom01,42,39,144,119,13,32,6,0,2,9,0,0,23,24,.269,.387,.370,.757,44,4,0,2,0,1,1,.323,113,101
12,Willy Garcia\garciwi01,21,16,56,49,10,12,1,2,1,6,0,0,7,13,.245,.339,.408,.747,20,1,0,0,0,0,1,.314,113,95
13,Matt Davidson\davidma02,57,56,221,207,21,44,6,1,15,39,0,1,9,82,.213,.253,.469,.722,97,6,3,0,2,0,1,.259,101,83
14,Yoan Moncada\moncayo01,28,28,114,97,14,18,7,0,4,9,1,2,16,42,.186,.307,.381,.688,37,0,1,0,0,0,0,.275,83,80
15,Alen Hanson\hansoal01,38,23,104,98,14,23,7,1,3,6,3,0,4,28,.235,.260,.418,.678,41,3,0,0,2,0,1,.290,120,74
16,Tim Anderson\anderti01,73,72,297,285,36,70,14,2,7,32,7,0,7,76,.246,.270,.382,.653,109,12,3,1,1,0,7,.310,93,69
17,Todd Frazier\frazito01,40,39,164,134,17,19,6,0,5,17,3,1,27,34,.142,.287,.299,.585,40,3,1,0,2,1,2,.144,53,55
18,Tyler Saladino\saladty01,38,34,137,123,15,24,5,1,0,5,5,3,12,33,.195,.272,.252,.524,31,1,1,1,0,0,3,.267,117,40
19,Adam Engel\engelad01,53,51,176,154,22,21,3,3,4,8,3,1,13,63,.136,.227,.273,.499,42,1,5,4,0,0,4,.195,93,31
20,Jacob May\mayja02,9,6,24,18,2,1,0,0,0,2,0,0,3,9,.056,.227,.056,.283,1,1,1,2,0,0,1,.111,151,-19
21,Cody Asche\ascheco01,6,5,17,16,1,1,0,0,0,0,0,0,0,11,.063,.118,.063,.180,1,0,1,0,0,0,0,.200,3,-50
22,David Holmberg\holmbda01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
,Team Total,799,729,2955,2670,366,670,126,20,99,343,38,11,214,697,.251,.315,.424,.739,1133,64,41,16,13,9,37,.303,102,92
