Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Erik Kratz\kratzer01,2,0,1,1,0,1,1,0,0,2,0,0,0,0,1.000,1.000,2.000,3.000,2,0,0,0,0,0,0,1.000,133,696
2,Miguel Andujar\andujmi01,1,1,5,4,0,3,1,0,0,4,1,0,1,0,.750,.800,1.000,1.800,4,0,0,0,0,0,0,.750,145,393
3,Ji-Man Choi\choiji01,2,1,5,4,0,2,1,0,0,1,0,0,0,2,.500,.400,.750,1.150,3,0,0,0,1,0,0,.667,122,207
4,Todd Frazier\frazito01,30,28,117,92,21,23,3,1,7,17,0,0,17,24,.250,.410,.533,.943,49,5,8,0,0,1,0,.262,144,157
5,Tyler Austin\austity01,11,7,32,27,4,8,2,0,2,8,0,0,3,9,.296,.344,.593,.936,16,0,0,0,2,0,0,.333,161,151
6,Aaron Judge\judgeaa01,78,75,344,273,55,70,14,2,19,46,4,2,65,107,.256,.404,.531,.935,145,9,4,0,2,6,2,.342,80,155
7,Gary Sanchez\sanchga02,62,60,274,240,37,65,8,0,18,48,1,1,26,57,.271,.358,.529,.887,127,4,7,0,1,0,3,.283,103,140
8,Didi Gregorius\gregodi01,67,65,288,271,38,87,17,0,13,44,2,1,13,28,.321,.354,.528,.882,143,2,2,0,2,1,8,.319,122,139
9,Garrett Cooper\coopega03,11,11,41,40,3,13,5,1,0,6,0,0,0,11,.325,.317,.500,.817,20,0,0,0,1,0,0,.433,98,120
10,Aaron Hicks\hicksaa01,36,31,157,136,22,39,13,0,3,24,5,2,15,35,.287,.363,.449,.812,61,5,3,0,3,0,0,.356,92,122
11,Brett Gardner\gardnbr01,79,71,366,325,52,84,13,3,10,37,7,2,35,61,.258,.332,.409,.741,133,3,2,1,3,1,4,.288,90,103
12,Ronald Torreyes\torrero01,56,46,183,172,18,57,6,1,1,24,2,0,5,25,.331,.344,.395,.740,68,4,0,3,3,0,4,.376,115,103
13,Jacoby Ellsbury\ellsbja01,57,47,214,184,34,46,11,2,3,18,8,1,22,31,.250,.343,.380,.723,70,4,4,2,0,1,2,.287,93,99
14,Starlin Castro\castrst01,55,54,239,226,30,63,8,0,6,23,1,0,9,45,.279,.314,.394,.708,89,4,3,0,1,1,4,.324,80,94
15,Chase Headley\headlch01,77,71,318,282,34,73,18,0,5,32,6,1,29,67,.259,.330,.376,.706,106,5,3,0,4,2,4,.318,86,94
16,Matt Holliday\hollima01,52,45,207,178,17,36,6,0,8,23,1,0,25,55,.202,.300,.371,.670,66,9,1,0,3,0,3,.237,81,84
17,Michael Pineda\pinedmi01,2,2,4,3,0,1,0,0,0,0,0,0,0,2,.333,.333,.333,.667,1,0,0,1,0,0,0,1.000,100,85
18,Clint Frazier\frazicl01,18,18,72,69,7,16,8,0,1,4,0,0,3,22,.232,.264,.391,.655,27,2,0,0,0,0,1,.326,86,77
19,Tyler Wade\wadety01,14,6,27,23,6,5,2,0,0,2,1,0,4,8,.217,.333,.304,.638,7,0,0,0,0,0,1,.333,186,78
