Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Erik Kratz\kratzer01,2,0,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,0,1.000,67,430
2,Aaron Judge\judgeaa01,77,76,334,269,73,84,10,1,33,68,5,2,62,101,.312,.440,.725,1.165,195,6,1,0,2,5,2,.372,120,198
3,Ji-Man Choi\choiji01,4,3,13,11,2,2,0,0,2,4,0,0,2,3,.182,.308,.727,1.035,8,1,0,0,0,0,0,.000,92,159
4,Miguel Andujar\andujmi01,4,0,3,3,0,1,1,0,0,0,0,0,0,0,.333,.333,.667,1.000,2,0,0,0,0,0,0,.333,31,153
5,Greg Bird\birdgr01,33,27,110,93,17,22,5,0,8,22,0,0,15,26,.237,.345,.548,.894,51,1,1,0,1,0,3,.233,150,129
6,Starlin Castro\castrst01,57,56,234,217,36,70,10,1,10,40,1,0,14,48,.323,.363,.516,.879,112,5,1,0,2,0,2,.373,121,127
7,Aaron Hicks\hicksaa01,52,45,204,165,32,41,5,0,12,28,5,3,36,32,.248,.379,.497,.876,82,3,0,1,2,0,0,.236,107,128
8,Gary Sanchez\sanchga02,60,57,251,231,42,66,12,0,15,42,1,0,14,63,.286,.331,.532,.863,123,5,3,0,3,1,4,.327,96,121
9,Garrett Cooper\coopega03,2,2,4,3,0,1,0,0,0,0,0,0,1,1,.333,.500,.333,.833,1,0,0,0,0,0,0,.500,118,127
10,Brett Gardner\gardnbr01,72,68,316,269,44,73,13,1,11,26,16,3,37,61,.271,.372,.450,.822,121,1,6,4,0,1,6,.315,111,115
11,Chase Headley\headlch01,70,65,268,230,43,67,12,1,7,29,3,1,31,65,.291,.378,.443,.822,102,5,3,1,3,0,7,.373,117,115
12,Matt Holliday\hollima01,53,51,220,195,33,50,12,0,11,41,0,0,21,59,.256,.332,.487,.819,95,5,2,0,2,0,3,.307,118,111
13,Jacoby Ellsbury\ellsbja01,55,46,195,172,31,48,9,2,4,21,14,2,19,32,.279,.354,.424,.779,73,3,1,0,0,2,3,.324,107,103
14,Clint Frazier\frazicl01,21,17,70,65,9,15,1,4,3,13,1,0,4,21,.231,.271,.508,.779,33,0,0,0,1,0,0,.286,115,98
15,Chris Carter\cartech02,29,26,100,88,12,22,3,1,4,13,0,0,11,29,.250,.330,.443,.773,39,2,0,0,1,0,0,.321,136,101
16,Didi Gregorius\gregodi01,69,68,282,263,35,66,10,0,12,43,1,0,12,42,.251,.281,.426,.707,112,5,1,0,5,0,5,.252,78,82
17,Mason Williams\willima10,2,2,8,7,1,2,0,0,0,0,2,0,1,1,.286,.375,.286,.661,2,0,0,0,0,0,0,.333,142,78
18,Todd Frazier\frazito01,36,33,124,102,12,20,1,0,4,15,0,0,18,30,.196,.323,.324,.646,33,1,2,0,2,0,0,.229,70,71
19,Austin Romine\rominau01,40,29,108,101,8,24,5,1,2,15,0,0,4,22,.238,.271,.366,.637,37,2,1,1,1,0,3,.282,125,65
20,Ronald Torreyes\torrero01,52,39,153,143,17,35,9,0,2,12,0,0,6,18,.245,.278,.350,.628,50,5,1,2,1,0,1,.266,82,64
21,Pete Kozma\kozmape01,5,3,7,6,1,1,0,0,0,0,0,0,1,1,.167,.286,.167,.452,1,0,0,0,0,0,0,.200,137,24
22,Tyler Wade\wadety01,16,8,36,35,1,4,2,0,0,0,0,1,1,11,.114,.139,.171,.310,6,2,0,0,0,0,0,.167,39,-19
23,Tyler Austin\austity01,9,4,14,13,0,1,0,0,0,0,0,0,1,8,.077,.143,.077,.220,1,1,0,0,0,0,1,.200,-31,-39
24,Kyle Higashioka\higasky01,8,4,18,16,2,0,0,0,0,0,0,0,2,5,.000,.111,.000,.111,0,0,0,0,0,0,2,.000,,-67
25,Rob Refsnyder\refsnro01,4,0,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,-100,-100
26,Bryan Mitchell\mitchbr01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
27,Aroldis Chapman\chapmar01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
28,Tommy Kahnle\kahnlto01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
,Team Total,837,729,3077,2702,451,716,120,12,140,432,49,12,313,681,.265,.343,.474,.817,1280,53,23,9,26,9,42,.302,107,112
