last_name, first_name,player_id,year,xba,out_zone_swing,in_zone_swing,
Colon, Bartolo,112526,2016,.070,45,58,
Ortiz, David,120074,2016,.304,390,688,
Rodriguez, Alex,121347,2016,.216,157,292,
Beltre, Adrian,134181,2016,.288,445,744,
Beltran, Carlos,136860,2016,.266,338,660,
Werth, Jayson,150029,2016,.241,302,760,
Pierzynski, A.J.,150229,2016,.239,185,296,
Rollins, Jimmy,276519,2016,.201,107,199,
Vogelsong, Ryan,285064,2016,.086,12,29,
Uribe, Juan,346874,2016,.265,150,343,
Suzuki, Ichiro,400085,2016,.262,185,452,
Martinez, Victor,400121,2016,.283,384,690,
Utley, Chase,400284,2016,.254,232,649,
Pujols, Albert,405395,2016,.278,405,743,
Byrd, Marlon,407781,2016,.240,102,179,
Lackey, John,407793,2016,.125,33,85,
Holliday, Matt,407812,2016,.262,255,500,
De La Rosa, Jorge,407822,2016,.147,49,49,
Teixeira, Mark,407893,2016,.218,240,519,
Mauer, Joe,408045,2016,.276,268,607,
Morneau, Justin,408047,2016,.237,182,283,
Cabrera, Miguel,408234,2016,.329,423,799,
Gonzalez, Adrian,408236,2016,.266,402,732,
Peavy, Jake,408241,2016,.170,13,36,
Phillips, Brandon,408252,2016,.259,440,765,
Infante, Omar,408299,2016,.254,84,169,
Crawford, Carl,408307,2016,.211,53,99,
Reyes, Jose,408314,2016,.248,190,294,
Ross, David,424325,2016,.222,104,292,
Crisp, Coco,424825,2016,.238,244,569,
Peralta, Jhonny,425509,2016,.250,167,392,
Loney, James,425766,2016,.270,219,413,
Mathis, Jeff,425772,2016,.207,60,175,
Choo, Shin-Soo,425783,2016,.270,96,232,
Rivera, Rene,425784,2016,.226,134,258,
Wainwright, Adam,425794,2016,.231,35,96,
Francoeur, Jeff,425796,2016,.227,300,396,
Upton Jr., B.J.,425834,2016,.230,266,754,
Greinke, Zack,425844,2016,.241,29,80,
Molina, Yadier,425877,2016,.277,368,737,
Navarro, Dioner,425900,2016,.196,188,421,
Fielder, Prince,425902,2016,.243,238,377,
Cano, Robinson,429664,2016,.277,482,806,
Encarnacion, Edwin,429665,2016,.261,321,910,
Hardy, J.J.,429666,2016,.254,192,463,
Howard, Ryan,429667,2016,.238,301,446,
Gutierrez, Franklin,429711,2016,.246,167,357,
Jackson, Edwin,429719,2016,.164,13,37,
Weeks Jr., Rickie,430001,2016,.260,84,262,
Simon, Alfredo,430580,2016,.065,7,27,
Kelly, Don,430603,2016,.200,17,36,
Raburn, Ryan,430605,2016,.190,133,352,
Johnson, Kelly,430637,2016,.257,195,392,
Bautista, Jose,430832,2016,.251,220,585,
Pena, Brayan,430910,2016,.188,7,13,
Cain, Matt,430912,2016,.066,20,26,
Jones, Adam,430945,2016,.257,552,860,
Aybar, Erick,430947,2016,.216,322,504,
Hill, Aaron,431094,2016,.255,181,510,
Martin, Russell,431145,2016,.221,208,682,
Kazmir, Scott,431148,2016,.054,28,58,
Wright, David,431151,2016,.234,65,209,
McGehee, Casey,431171,2016,.242,41,122,
Blanco, Andres,433217,2016,.241,149,266,
Granderson, Curtis,434158,2016,.242,303,679,
Liriano, Francisco,434538,2016,.216,27,49,
Ruiz, Carlos,434563,2016,.266,85,279,
Soto, Geovany,434567,2016,.290,36,93,
Hammel, Jason,434628,2016,.173,49,97,
Pagan, Angel,434636,2016,.278,246,615,
Davis, Rajai,434658,2016,.231,288,669,
Ramirez, Hanley,434670,2016,.256,384,737,
Morales, Kendrys,434778,2016,.288,452,732,
Kendrick III, Howie,435062,2016,.256,288,685,
Napoli, Mike,435063,2016,.218,369,924,
Wilson, Bobby,435064,2016,.215,163,349,
Kinsler, Ian,435079,2016,.263,302,843,
Andino, Robert,435180,2016,.198,11,33,
McCarthy, Brandon,435221,2016,.025,3,12,
McCann, Brian,435263,2016,.243,343,522,
Walker, Neil,435522,2016,.269,287,571,
Suzuki, Kurt,435559,2016,.237,186,456,
Desmond, Ian,435622,2016,.257,355,842,
Cruz Jr., Nelson,443558,2016,.271,399,890,
Jaso, John,444379,2016,.252,145,546,
